name,address,cuisine,lat,lng,region
Bufala Kerrisdale,5395 West Blvd,Pizza,49.2374814,-123.1556462,Arbutus-Ridge
Ridge Garden Restaurant,4009 Macdonald St,Chinese,49.2508491,-123.1679997,Arbutus-Ridge
Minerva Restaurant,2411 W 41st Ave,Greek,49.2348658,-123.1615716,Arbutus-Ridge
La Buca Restaurant,4025 Macdonald St,Italian,49.2506204,-123.1679983,Arbutus-Ridge
Barra 41,2407 W 41st Ave,Cocktail bar,49.2347594,-123.1615035,Arbutus-Ridge
Sushi Bar Ajisai,2081 W 42nd Ave,Japanese,49.233934,-123.1536816,Kerrisdale
41 Noodle & Rice Pot House,2279 W 41st Ave,Chinese,49.2348021,-123.1591685,Arbutus-Ridge
Sofra Mediterranean Kitchen,2277 W 41st Ave,Lebanese,49.2348041,-123.1591358,Arbutus-Ridge
Moki's Pizza,4027 Macdonald St,Pizza,49.2506063,-123.1680174,Arbutus-Ridge
Burrata Pizzeria,2104 W 41st Ave,Pizza,49.2344827,-123.1559335,Kerrisdale
White Spot Kerrisdale,5367 West Blvd,Family-friendly,49.2376685,-123.1556307,Arbutus-Ridge
Nana's Green Tea,2135 W 41st Ave,Japanese sweets restaurant,49.2348484,-123.1565687,Arbutus-Ridge
Subway,5623 West Blvd,Sandwich,49.2351915,-123.1557238,Arbutus-Ridge
Orange Corner,2257 W 41st Ave,Taiwanese,49.2347804,-123.1587608,Arbutus-Ridge
ASA Sushi,2178 W 41st Ave,Japanese,49.234509,-123.1580221,Kerrisdale
Yuwa Japanese Cuisine,2775 W 16th Ave,Japanese,49.2579886,-123.1678342,Kitsilano
Sushi King House,5333 West Blvd,Japanese,49.2378207,-123.1556788,Arbutus-Ridge
Jiu Jiang Japanese Restaurant,5707 Balsam St,Japanese,49.2343872,-123.1615111,Kerrisdale
ZUBU Ramen - Kerrisdale,2129 W 41st Ave,Japanese,49.2348065,-123.1563953,Arbutus-Ridge
Fiore Famiglia,2603 W 16th Ave,Italian,49.2578287,-123.1651169,Kitsilano
Golden Ocean Seafood Restaurant,2046 W 41st Ave,Chinese,49.2343419,-123.1533765,Kerrisdale
Khao Thai by Legato Cafe,2248 W 41st Ave,Thai,49.2344901,-123.1592032,Kerrisdale
Subway,4665 Arbutus St,Sandwich,49.2439795,-123.1539879,Arbutus-Ridge
Pho Tan Vietnamese Restaurant Beef Noodle Soup & Bubble Tea,2076 W 41st Ave,Vietnamese,49.2344534,-123.1544022,Kerrisdale
Shota Sushi & Grill,5688 Yew St,Japanese,49.2349524,-123.1575019,Arbutus-Ridge
China Lan Lanzhou Beef Noodle,5555 West Blvd,Chinese Noodles,49.2360333,-123.1557741,Arbutus-Ridge
Nando's Kerrisdale,2064 W 41st Ave,Chicken,49.2342436,-123.1540599,Kerrisdale
Gramercy Grill,Arbutus St,Canadian,49.2572832,-123.1529867,Kitsilano
Sip Bowl,2255 W 41st Ave,Chinese Noodles,49.2348048,-123.1587418,Arbutus-Ridge
Finest At Sea,4675 Arbutus St,Seafood,49.2444905,-123.1539172,Arbutus-Ridge
BBT Café,5979 West Blvd,Taiwanese,49.2321709,-123.1558937,Kerrisdale
Harvest Deli,2963 W Broadway,Sandwich,49.2642872,-123.1717761,Kitsilano
Baoguette Vietnamese Bistro,2114 W 41st Ave,Vietnamese,49.234477,-123.1561885,Kerrisdale
Kerrisdale Nakamura Japanese Cuisine,2055 W 41st Ave,Japanese,49.2347027,-123.1535489,Shaughnessy
Dunbar Pizza & Indian Food,3348 Dunbar St,Takeout Restaurant,49.2570142,-123.1847986,Dunbar-Southlands
Yagoto Sushi,2180 W Broadway,Japanese,49.2636627,-123.1546171,Kitsilano
La Notte Restaurant,3307 Dunbar St,Italian,49.2572246,-123.1853608,Dunbar-Southlands
Kuma Japanese Restaurant,Dunbar St,Japanese,49.249012,-123.185207,Dunbar-Southlands
East Is East,3035 W Broadway,Afghani,49.2643887,-123.1726934,Kitsilano
Super Hiro's Restaurant,2585 W Broadway,Japanese,49.2641789,-123.1644463,Kitsilano
Sunshine Diner,2649 W Broadway,Diner,49.2642347,-123.1654094,Kitsilano
Tera V Burger,2961 W Broadway,Fast Food,49.2642995,-123.1717091,Kitsilano
Temaki Sushi,2156 W Broadway,Japanese,49.2635615,-123.153939,Kitsilano
Viet Flavour Restaurant,1822 W Broadway,Vietnamese,49.2635596,-123.1464248,Kitsilano
AnnaLena,1809 W 1st Ave,Canadian,49.2708261,-123.1467714,Kitsilano
Bishop's,2183 W 4th Ave,Pacific Northwest,49.2683236,-123.1547032,Kitsilano
Chef Hung Taiwanese Beef Noodle,2028 W 41st Ave,Taiwanese,49.2344053,-123.1529635,Kerrisdale
Gyo Para Gyoza & Ramen Bar,2120 W Broadway,Japanese,49.2637073,-123.1534552,Kitsilano
Raisu,2340 W 4th Ave,Japanese,49.2680165,-123.158373,Kitsilano
Great Wall Mongolian B.B.Q,2897 W Broadway,Mongolian BBQ,49.2642309,-123.1703606,Kitsilano
Au Comptoir,2278 W 4th Ave,French,49.2679582,-123.1570401,Kitsilano
Olympia Pizza Kits,3205 W Broadway,Pizza,49.2643345,-123.1760455,Kitsilano
Moon Sushi Japanese Restaurant,4385 Dunbar St,Japanese,49.2472936,-123.1855754,Dunbar-Southlands
Dharma Kitchen,3667 W Broadway,Vegan,49.26458,-123.1852558,Kitsilano
Bin 4 Burger Lounge,2996 Granville St,Hamburger,49.2590704,-123.1384745,Fairview
Breakfast Table,3014 Granville St,Breakfast,49.258568,-123.1385172,Fairview
Nuba in Kitsilano,3116 W Broadway,Takeout Restaurant,49.2639376,-123.1745701,Kitsilano
Suika Japanese Restaurant,1626 W Broadway,Izakaya,49.2634105,-123.1416899,Fairview
White Spot Kitsilano,2518 W Broadway,Family-friendly,49.263791,-123.1632683,Kitsilano
Lok's Chinese Restaurant,2436 W 41st Ave,Chinese,49.234479,-123.1618424,Kerrisdale
Tandoori Fusion,2872 W Broadway,Indian,49.2639536,-123.169567,Kitsilano
Osaka Teppanyaki,1788 W Broadway #103,Seafood,49.2634652,-123.1452407,Fairview
Unchai Restaurant,2351 Burrard St,Thai,49.2650115,-123.1459642,Kitsilano
Novo Pizzeria & Wine Bar,2118 Burrard St,Italian,49.2666178,-123.1454221,Fairview
Mr. Red Cafe,2680 W Broadway,Vietnamese,49.2638617,-123.1658286,Kitsilano
Heirloom Vegetarian Restaurant,1509 W 12th Ave,Vegetarian,49.2609126,-123.1391689,Fairview
Nelly's Grill,2061 W 4th Ave,Breakfast,49.2682215,-123.1518528,Kitsilano
Taste of Thai,3629 W Broadway,Thai,49.2645956,-123.184452,Kitsilano
Chi Vegan,1935 W 4th Ave,Vegan,49.2682575,-123.1488595,Kitsilano
Sahel Market & Restaurant,3207 W Broadway,Persian,49.2643375,-123.1762379,Kitsilano
Trattoria,1850 W 4th Ave,Italian,49.2678378,-123.1466983,Kitsilano
Yagger's Kitsilano Restaurant,2884 W Broadway,Sports bar,49.2638702,-123.169692,Kitsilano
The Naam,2724 W 4th Ave,Vegetarian,49.268152,-123.1670302,Kitsilano
Connie's Cook House,2135 W 4th Ave,Chinese Delivery,49.2682704,-123.1536883,Kitsilano
Las Margaritas,1999 W 4th Ave,Takeout Restaurant,49.2683213,-123.1501626,Kitsilano
The Stable House Bistro,1520 W 13th Ave,Bistro,49.259699,-123.139316,Fairview
delhi6 Indian bistro,1766 W 7th Ave,Indian,49.2652347,-123.1449676,Fairview
Jun Sushi Japanese Restaurant,3309 W Broadway,Japanese,49.2645071,-123.1783067,Kitsilano
Raga Restaurant,1177 W Broadway,Indian,49.2637614,-123.1305469,Fairview
Shizenya Restaurant on Broadway,1333 W Broadway #160,Japanese,49.2638726,-123.1342629,Fairview
Ken Wyder Vancouver Westside Realtor,5487 West Blvd,Real estate agents,49.2366093,-123.1556819,Arbutus-Ridge
Sophie's Cosmic Cafe,2095 W 4th Ave,Diner,49.2682476,-123.1526039,Kitsilano
Pho Japolo,2807 W Broadway,Pho,49.2643858,-123.1686467,Kitsilano
Cartems Donuts,3040 W Broadway,Donuts,49.2640281,-123.1728983,Kitsilano
Fiore - South Granville,1485 W 12th Ave,Italian,49.2608974,-123.1382242,Fairview
Napoletana,2576 Arbutus St,Pizza,49.2630191,-123.1527858,Kitsilano
Romer's Burger Bar,1873 W 4th Ave,Hamburger,49.2682742,-123.1472529,Kitsilano
Chewies Smoke & Oyster Bar Kitsilano,2201 W 1st Ave,Oyster Bar,49.2709727,-123.1552829,Kitsilano
Evelyn's Cafe & Bistro,2176 W Broadway,Bistro,49.2636815,-123.154618,Kitsilano
Ramen Danbo,1833 W 4th Ave,Japanese,49.2682861,-123.146425,Kitsilano
Kyuzo Japanese Restaurant,5701 Granville St #112,Japanese,49.2338988,-123.1400315,Kerrisdale
Pure Delight Café,3236 W Broadway,Vietnamese,49.2640653,-123.1766864,Kitsilano
Simpatico Ristorante,2222 W 4th Ave,Greek,49.2680623,-123.1558358,Kitsilano
BiBo Pizzeria con Cucina,1835 W 4th Ave,Pizza,49.2682628,-123.1465315,Kitsilano
Maria's Taverna,2324 W 4th Ave,Greek,49.2679886,-123.158081,Kitsilano
Peaceful Restaurant,2394 W 4th Ave,Chinese,49.2680246,-123.1596199,Kitsilano
Maenam,1938 W 4th Ave,Thai,49.2678675,-123.1488949,Kitsilano
Mamalee,3144 W Broadway,Malaysian,49.2640744,-123.1750357,Kitsilano
Burgoo,4434 W 10th Ave,Bistro,49.2636512,-123.2071521,West Point Grey
Z&W Shanghai Kitchen 龙餐馆 - 龍上海菜,2126 W Broadway,Shanghainese,49.263687,-123.1535823,Kitsilano
Banana Leaf in Kitsilano,3005 W Broadway,Malaysian,49.2643597,-123.1723017,Kitsilano
New Chong Qing Restaurant,2044 W 41st Ave,Chinese,49.2344122,-123.1533619,Kerrisdale
Thai Basil Restaurant,3271 W Broadway,Thai,49.2644159,-123.1772831,Kitsilano
Tractor Everyday Healthy Foods - Kitsilano,1903 W 4th Ave,Health Food,49.2682452,-123.1481382,Kitsilano
Wild Sushi,4288 Dunbar St,Japanese,49.2483133,-123.1850191,Dunbar-Southlands
Sabra Kosher Bakery & Restaurant Ltd,3844 Oak St,Kosher,49.2513234,-123.1272918,South Cambie
Lin Chinese Cuisine and Tea House,1537 W Broadway,Chinese,49.2637731,-123.1397224,Fairview
Subway,2640 Arbutus St,Sandwich,49.2625438,-123.1527909,Kitsilano
Masa Japanese Restaurant Vancouver,1418 W Broadway,Japanese,49.263342,-123.1368041,Fairview
Sushivan,2566 Granville St,Japanese,49.2629632,-123.1383187,Fairview
The Wolf & Hound,3617 W Broadway,Irish pub,49.2644908,-123.1842908,Kitsilano
烫WORLD 麻辣烫,East Blvd CA BC Vancouver,Chinese,49.2327901,-123.1550412,Kerrisdale
Paul's Omelettery Restaurant,2211 Granville St,Breakfast,49.2659984,-123.1387561,Fairview
Osaka Sushi,960 W King Edward Ave,Japanese,49.2485394,-123.1255618,South Cambie
Hi-Nippon Japanese Restaurant,2274 W 4th Ave,Japanese,49.268006,-123.1569265,Kitsilano
Akbar's Own Indian Restaurant,1905 W Broadway,Indian,49.2640234,-123.1484033,Kitsilano
