name,address,cuisine,lat,lng,region
Blue Water Cafe,1095 Hamilton St,Seafood,49.276155,-123.1211291,Downtown
Miku Vancouver,200 Granville St #70,Japanese,49.2868259,-123.112583,Downtown
MeeT in Gastown,12 Water St,Vegetarian,49.2834276,-123.1048588,Downtown
Cafe Medina,780 Richards St,Brunch,49.280408,-123.1168648,Downtown
Lupo Restaurant & Vinoteca,869 Hamilton St,Italian,49.27819299999999,-123.1173485,Downtown
L'Abattoir,217 Carrall St,Pacific Northwest,49.2831234,-123.1044431,Downtown
Minami,1118 Mainland St,Japanese,49.2752011,-123.1207259,Downtown
Bacchus Restaurant & Lounge,845 Hornby St,European,49.2823626,-123.1228112,Downtown
Gotham Steakhouse & Cocktail Bar,615 Seymour St,Steak,49.2828825,-123.1159646,Downtown
Five Sails Restaurant,999 Canada Pl,Fine Dining,49.2886946,-123.1111906,Downtown
Twisted Fork Bistro,213 Carrall St,Brunch,49.2831834,-123.1044482,Downtown
Giardino Restaurant,1328 Hornby St,Tuscan,49.27697819999999,-123.1300609,Downtown
Cioppino's Mediterranean Grill,1133 Hamilton St,Mediterranean,49.2757752,-123.121939,Downtown
Italian Kitchen,860 Burrard St,Italian,49.2824321,-123.1234913,Downtown
Shizenya,965 Hornby St,Japanese,49.2812366,-123.1250519,Downtown
Ancora Waterfront Dining and Patio - False Creek,1600 Howe St #2,Seafood,49.2738114,-123.1325984,Downtown
Nightingale,1017 W Hastings St,Canadian,49.287432,-123.1175609,Downtown
La Taqueria Pinche Taco,322 W Hastings St,Mexican,49.282903,-123.1105901,Downtown
Cora Breakfast and Lunch,1368 Robson St,Breakfast,49.2875008,-123.1297495,West End
Momo Sushi,6-375 Water St,Japanese,49.284686,-123.110254,Downtown
The Flying Pig Gastown,102 Water St,Canadian,49.2837739,-123.1067002,Downtown
Fanny Bay Oyster Bar & Shellfish Market,762 Cambie St,Oyster Bar,49.2786079,-123.1141059,Downtown
Frankie's Italian Kitchen & Bar,765 Beatty St,Southern Italian,49.2781484,-123.1134225,Downtown
Joyeaux Café & Restaurant,551 Howe St,Vietnamese,49.2848652,-123.1170502,Downtown
Gyoza Bar,622 W Pender St,Japanese,49.28415039999999,-123.114433,Downtown
Le Crocodile,909 Burrard St #100,French,49.2823018,-123.1249281,West End
The Templeton,1087 Granville St,Diner,49.278481,-123.124598,Downtown
Meat & Bread,370 Cambie St,Sandwich,49.23398299999999,-123.116576,South Cambie
Hy's Steakhouse & Cocktail Bar,637 Hornby St,Steak,49.2846711,-123.1193051,Downtown
Chancho Tortilleria,560 Davie St,Mexican,49.2761398,-123.1249744,Downtown
Scoozis Bar & Grill,445 Howe St,Grill,49.2859071,-123.115404,Downtown
Rodney's Oyster House,1228 Hamilton St,Oyster Bar,49.2743299,-123.1231956,Downtown
Nuba in Gastown,207 W Hastings St,Takeout Restaurant,49.28278599999999,-123.1097021,Downtown
Gringo,27 Blood Alley Square,Mexican,49.2833607,-123.1053151,Downtown
The Old Spaghetti Factory (Gastown,53 Water St,Italian,49.2837374,-123.1052117,Downtown
#e food,1308 Burrard St,Sandwich,49.2777097,-123.1309215,Downtown
Joe Fortes Seafood & Chop House,777 Thurlow St,Seafood,49.2849406,-123.1247733,West End
Water St. Café,300 Water St,Canadian,49.2841708,-123.1090542,Downtown
Brioche Urban Eatery,401 W Cordova St,Italian,49.2842375,-123.1099282,Downtown
Bali Thai,88 W Pender St,Indonesian,49.2804064,-123.1069714,Downtown
Wildebeest,120 W Hastings St,Pacific Northwest,49.2819194,-123.1080066,Downtown
Hungry Guys Kitchen,988 Granville St,Mexican,49.2792922,-123.1226648,Downtown
Di Beppe Restaurant,8 W Cordova St,Italian,49.282365,-123.104637,Downtown
Straight Outta Brooklyn NYC Pizzeria,350 Robson St,Pizza,49.2791013,-123.1166285,Downtown
Autostrada Osteria Downtown,350 W Pender St,Italian,49.2825512,-123.112021,Downtown
PiDGiN Restaurant,350 Carrall St,Asian,49.28188100000001,-123.104145,Downtown
Botanist,1038 Canada Pl,Pacific Northwest,49.2880938,-123.1165232,Downtown
Manoush'eh,620 Davie St,Syrian,49.27667880000001,-123.1256815,Downtown
Basil Pasta Bar,636 Davie St,Italian,49.2767546,-123.1259051,Downtown
Bao Bei,163 Keefer St,Chinese,49.2796534,-123.1006157,Downtown
Tacofino Taco Bar,15 W Cordova St,Mexican,49.2827731,-123.1047979,Downtown
Pizza Garden,675 Smithe St,Pizza,49.280165,-123.1209115,Downtown
Top Of Vancouver Revolving Restaurant,555 W Hastings St,Continental restaurant,49.2846966,-123.1119349,Downtown
Pizzeria Farina,915 Main St,Pizza,49.2765892,-123.1000905,Downtown
Pholicious,550 W Hastings St,Pho,49.2841432,-123.1126064,Downtown
Kaide Sushi Bar,1375 Richards St,Japanese,49.274238,-123.1270952,Downtown
Al Porto Ristorante,321 Water St,Italian,49.2846566,-123.1093607,Downtown
Pita Wrap Cafe,565 Dunsmuir St,Middle Eastern,49.2828269,-123.1149952,Downtown
The Poke Guy,420 Richards St,Hawaiian,49.28377039999999,-123.1120424,Downtown
Glowbal,590 W Georgia St,Fusion restaurant,49.2811002,-123.1177713,Downtown
Elisa,1109 Hamilton St,Steak,49.2759238,-123.1214577,Downtown
Vegan Cave Cafe,415 Abbott St,Vegan,49.28182349999999,-123.1075054,Downtown
Jules Bistro,216 Abbott St,French,49.28344269999999,-123.1064141,Downtown
Nicli Antica Pizzeria,62 E Cordova St,Pizza,49.28217919999999,-123.1028313,Downtown
Guu Original Thurlow,838 Thurlow St,Izakaya,49.2840076,-123.1254334,West End
La Terrazza,1088 Cambie St,Italian,49.2749917,-123.1186413,Downtown
Gyu-Kaku Japanese BBQ,888 Nelson St g3,Japanese,49.2800583,-123.1252306,Downtown
Fresh Sushi,909 Expo Blvd,Japanese,49.2756851,-123.1154129,Downtown
Chinatown BBQ,130 E Pender St,Chinese,49.28016,-123.1015139,Downtown
Coast,1054 Alberni St,Seafood,49.2846237,-123.1232331,West End
La Cantina Tacos,722 Nelson St,Mexican,49.2794339,-123.1235357,Downtown
SMAK Healthy Fast Food,545 Granville St,Fast Food,49.2843619,-123.1159252,Downtown
Black Rice Izakaya,782 Cambie St,Izakaya,49.2783603,-123.1142376,Downtown
The Parlour,1011 Hamilton St,Takeout Restaurant,49.27672099999999,-123.1201634,Downtown
Yamato Sushi,616 Davie St,Japanese,49.2766291,-123.125616,Downtown
Café One,1000 Burrard St,American,49.280314,-123.1264736,Downtown
Wakwak Burger,511 Granville St,Hamburger,49.2845236,-123.1150798,Downtown
Firecrust Neapolitan Pizzeria,808 Davie St,Pizza,49.2777222,-123.1278294,Downtown
Bistro Sakana,1123 Mainland St,Japanese,49.2753816,-123.1211273,Downtown
Burgoo,101-1100 Burrard St,Bistro,49.2798451,-123.1276538,Downtown
Viet Sub Vietnamese Cuisine,520 Robson St,Takeout Restaurant,49.2802009,-123.1182521,Downtown
The Greek By Anatoli,1043 Mainland St,Greek,49.2762117,-123.1198819,Downtown
Pacifico Pizzeria & Ristorante,970 Smithe St,Pizza,49.2818429,-123.1240315,Downtown
Bellaggio Cafe,773 Hornby St,Italian,49.2829809,-123.1215702,Downtown
Calabash Bistro,428 Carrall St,Caribbean,49.28103369999999,-123.1041914,Downtown
Catch 122 Cafe Bistro,122 W Hastings St,Bistro,49.28184419999999,-123.1081617,Downtown
Indigo Age Catering,436 Richards St,Vegan,49.283463,-123.1125294,Downtown
Cibo Trattoria,900 Seymour St,Italian,49.2793994,-123.1204307,Downtown
Nuba in Yaletown,508 Davie St,Lebanese,49.2759072,-123.1246107,Downtown
Pokerrito,558 Dunsmuir St,Hawaiian,49.282647,-123.1151179,Downtown
Indian Delicacy,1130 W Pender St Unit 105,Indian,49.2874843,-123.1216047,Downtown
Tasty Indian Bistro | Yaletown,1261 Hamilton St,Indian,49.2742853,-123.1239474,Downtown
Thai Away Home on Granville,1081 Granville St,Thai,49.2785035,-123.1245091,Downtown
Paramount Fine Foods,560 Robson St,Middle Eastern,49.2803212,-123.1185948,Downtown
Baghdad Cafe,548 Seymour St,Middle Eastern,49.2834649,-123.1144324,Downtown
Sushi Mugen,903 Davie St,Japanese,49.2787454,-123.1282384,Downtown
Cafe Il Nido,780 Thurlow St,Italian,49.28463139999999,-123.1242731,West End
White Spot Dunsmuir,405 Dunsmuir St,Family-friendly,49.2819406,-123.1135203,Downtown
Crave India Restaurant,1019 Granville St,Indian,49.279099,-123.1235367,Downtown
Wow Thai Food,88 W Pender St #2007,Thai,49.2804064,-123.1069714,Downtown
Kamei Baru,990 Smithe St,Japanese,49.28190499999999,-123.1241268,Downtown
Black+Blue,1032 Alberni St,Steak,49.2844825,-123.1230584,West End
Revel Room Supper Club & Live Music Restaurant,238 Abbott St,Southern,49.28307909999999,-123.1065521,Downtown
Le Petit Belge,340 Robson St,Breakfast,49.2788987,-123.1164103,Downtown
SMAK Healthy Fast Food,840 Howe St,Health Food,49.2810497,-123.1217849,Downtown
Chipotle Mexican Grill,818 Howe St,Mexican,49.28151250000001,-123.1210674,Downtown
Tacofino Yaletown,1025 Mainland St,Mexican,49.27647109999999,-123.1195878,Downtown
OEB Breakfast Co.,1137 Marinaside Crescent,Breakfast,49.2734565,-123.119265,Downtown
Nero waffles,1002 Seymour St,Dessert,49.2782787,-123.1219729,Downtown
per se Social Corner,891 Homer St,Spanish,49.2786163,-123.1184615,Downtown
Kobe Japanese Steakhouse,1042 Alberni St,Japanese steakhouse,49.2845448,-123.1231404,West End
Robba da Matti,1127 Mainland St,Italian,49.2754729,-123.1213374,Downtown
La Casita - Gastown,101 W Cordova St,Mexican,49.2831085,-123.1069497,Downtown
Mr Greek Donair Town,1173 Granville St,Middle Eastern,49.277553,-123.1259781,Downtown
Patron Tacos & Cantina,265 Robson St,Mexican,49.2786425,-123.1153525,Downtown
Holts Café Vancouver,Holt Renfrew Vancouver 737 Dunsmuir St,Canadian,49.28401479999999,-123.1165937,Downtown
Save On Meats,43 W Hastings St,Diner,49.2820917,-123.1059682,Downtown
The Edge Social Grille & Lounge,1100 Granville St,Grill,49.2778204,-123.1246014,Downtown
Simply Thai,1211 Hamilton St,Thai,49.2748962,-123.1230955,Downtown
TWB - The Wine Bar,1167 Marinaside Crescent,Grill,49.2733765,-123.1194802,Downtown
Roxy Burger,910 Granville St,Hamburger,49.2798685,-123.1215208,Downtown
La Taqueria Pinche Taco Shop,586 Hornby St,Mexican,49.28504119999999,-123.1178533,Downtown
The Pawn Shop YVR,1117 Granville St,Mexican,49.2781493,-123.1252321,Downtown
Sala Thai,888 Burrard St #102,Thai,49.2822067,-123.1238037,Downtown
Ask For Luigi Restaurant,305 Alexander St,Italian,49.2842,-123.0977177,Strathcona
Haru Korean Kitchen,324 Cambie St,Korean,49.2829075,-123.1091588,Downtown
Bibiko,530 Hornby St,Korean,49.2854132,-123.1172916,Downtown
Steamworks Brewpub,375 Water St,Brewpub,49.28486660000001,-123.1105007,Downtown
Guu with Otokomae,375 Water St #105,Izakaya,49.2847191,-123.1103983,Downtown
Hubbub,859 Hornby St,Sandwich,49.2819932,-123.1230964,Downtown
Peaceful Restaurant,602 Seymour St,Chinese,49.28282,-123.1154086,Downtown
Sitar Restaurant,8 Powell St,Indian,49.2850084,-123.0643792,Grandview-Woodland
Yagger's Downtown Restaurant & Sports Bar,433 W Pender St,Takeout Restaurant,49.28317639999999,-123.1122509,Downtown
Guu Garden,888 Nelson St m101,Japanese,49.2800364,-123.1252786,Downtown
Heirs Pears,605 Nelson St,Gluten Free,49.2788773,-123.1221668,Downtown
TAKO - Taqueria Korean,601 Expo Blvd,Korean,49.2788834,-123.1082574,Downtown
Bistro Verde,799 Robson St,American,49.2819563,-123.120054,Downtown
Mean Poutine,718 Nelson S,Fast Food,49.2793909,-123.1234558,Downtown
Hapa Izakaya Yaletown,1193 Hamilton St,Japanese,49.2751446,-123.1225872,Downtown
Ramen Gojiro,501 Dunsmuir St,Japanese,49.2824997,-123.1144563,Downtown
Fritz European Fry House,718 Davie St,Fast Food,49.2773086,-123.1266618,Downtown
SMAK Healthy Fast Food,1139 W Pender St,Gluten Free,49.28799,-123.1214007,Downtown
JOS,1190 W Cordova St,Pizza,49.2888993,-123.1222175,Downtown
Devil's Elbow Ale and Smoke House,562 Beatty St,Barbecue,49.2802264,-123.1098262,Downtown
One Saigon,979 Hornby St,Vietnamese,49.2808056,-123.1248433,Downtown
De Dutch,1055 Canada Pl #60,Brunch,49.2886624,-123.1168056,Downtown
Ha Long Bay Restaurant,430 W Pender St,Vietnamese,49.2830164,-123.1127467,Downtown
Sai Woo,158 E Pender St,Asian,49.2801505,-123.1009936,Downtown
CinCin Ristorante + Bar,1154 Robson St,Italian,49.285261,-123.1261391,West End
arturosmexico2go,777 W Cordova St,Mexican,49.2865036,-123.1134803,Downtown
Phnom Penh Restaurant,244 E Georgia St,Cambodian,49.2783154,-123.0981947,Strathcona
Tractor Foods,547 Robson St,Health Food,49.2804996,-123.118019,Downtown
Patterson Wonton House,917 Davie St,Chinese,49.2787832,-123.1282499,Downtown
The Victor,39 Smithe St,Steak,49.27537419999999,-123.1128477,Downtown
Marutama Ra-men Canada Central Library,270 Robson St,Japanese,49.2785153,-123.1158076,Downtown
India Gate Restaurant,616 Robson St,Indian,49.2808576,-123.1194517,Downtown
Nando's Davie & Howe (Downtown,828 Davie St,Chicken,49.2778637,-123.1276568,Downtown
Five Guys,635 Robson St,Hamburger,49.2810806,-123.119066,Downtown
Johnny Rockets,755 Nelson St,Hamburger,49.2797997,-123.1235319,Downtown
Edo Japan,CF Pacific Centre 701 W Georgia St,Fast Food,49.2833319,-123.1183909,Downtown
St Lawrence Restaurant,269 Powell St,French,49.2833058,-123.0979713,Strathcona
