name,address,cuisine,lat,lng,region
Moon Sushi Japanese Restaurant,4385 Dunbar St,Japanese,49.2472936,-123.1855754,Dunbar-Southlands
The Cheese Inn,4585 Dunbar St,British,49.24545939999999,-123.1854706,Dunbar-Southlands
Dunbar Pizza & Indian Food,3348 Dunbar St,Takeout Restaurant,49.2570142,-123.1847986,Dunbar-Southlands
Cosy Inn Cafe,4455 Dunbar St,Breakfast,49.24656960000001,-123.1854609,Dunbar-Southlands
Kuma Japanese Restaurant,Dunbar St,Japanese,49.249012,-123.185207,Dunbar-Southlands
Wild Sushi,4288 Dunbar St,Japanese,49.2483133,-123.1850191,Dunbar-Southlands
La Notte Restaurant,3307 Dunbar St,Italian,49.2572246,-123.1853608,Dunbar-Southlands
Dunbar Sushi,3626 W 16th Ave,Japanese,49.25765980000001,-123.1857399,Dunbar-Southlands
Midam Cafe - Vancouver,3211 W Broadway,Korean,49.26442489999999,-123.1764298,Kitsilano
Pokay Vancouver,2965 W Broadway,Hawaiian,49.26439999999999,-123.171859,Kitsilano
East Is East,3035 W Broadway,Afghani,49.2643887,-123.1726934,Kitsilano
Dijon Kitchen - Vietnamese Street Food,3648 W Broadway,Lunch,49.2641979,-123.1848604,Kitsilano
Bufala Kerrisdale,5395 West Blvd,Pizza,49.2374814,-123.1556462,Arbutus-Ridge
Dharma Kitchen,3667 W Broadway,Vegan,49.26458,-123.1852558,Kitsilano
Red Tuna Japanese Restaurant,3592 W 41st Ave,Japanese,49.2345003,-123.1845455,Dunbar-Southlands
Q Coffee,5607 Dunbar St,Coffee shop,49.235643,-123.1856148,Dunbar-Southlands
Fiore Famiglia,2603 W 16th Ave,Italian,49.2578287,-123.1651169,Kitsilano
La Quercia,3689 W 4th Ave,Italian,49.2687506,-123.1854023,Kitsilano
Moki's Pizza,4027 Macdonald St,Pizza,49.2506063,-123.1680174,Arbutus-Ridge
Tera V Burger,2961 W Broadway,Fast Food,49.2642995,-123.1717091,Kitsilano
The Wolf & Hound,3617 W Broadway,Irish pub,49.2644908,-123.1842908,Kitsilano
Rajio Japanese Public House,3763 W 10th Ave,Izakaya,49.2636263,-123.1871358,West Point Grey
Handi Grill,3618 W Broadway,Indian,49.2642143,-123.1840813,Kitsilano
Chewies Smoke & Oyster Bar Kitsilano,2201 W 1st Ave,Oyster Bar,49.27097269999999,-123.1552829,Kitsilano
Aphrodite's Organic Cafe,3605 W 4th Ave,Organic,49.2687759,-123.1838257,Kitsilano
Super Hiro's Restaurant,2585 W Broadway,Japanese,49.2641789,-123.1644463,Kitsilano
Olympia Pizza Kits,3205 W Broadway,Pizza,49.2643345,-123.1760455,Kitsilano
Hitoe Sushi gluten free,3347 W 4th Ave,Japanese,49.26865429999999,-123.1787084,Kitsilano
Nuba in Kitsilano,3116 W Broadway,Takeout Restaurant,49.2639376,-123.1745701,Kitsilano
t.cup,4495 Dunbar St,Bubble Tea,49.2463533,-123.1855645,Dunbar-Southlands
La Buca Restaurant,4025 Macdonald St,Italian,49.2506204,-123.1679983,Arbutus-Ridge
Bombay Masala Restaurant,4473 W 10th Ave,Indian,49.264024,-123.2083768,West Point Grey
Banana Leaf in Kitsilano,3005 W Broadway,Malaysian,49.2643597,-123.1723017,Kitsilano
Deacon's Corner Kits,3189 W Broadway,Diner,49.2643674,-123.1757517,Kitsilano
Tandoori Fusion,2872 W Broadway,Indian,49.2639536,-123.169567,Kitsilano
Koi Sushi,4532 W 10th Ave,Japanese,49.2636389,-123.2101844,West Point Grey
The Naam,2724 W 4th Ave,Vegetarian,49.268152,-123.1670302,Kitsilano
Minerva Restaurant,2411 W 41st Ave,Greek,49.23486579999999,-123.1615716,Arbutus-Ridge
Ridge Garden Restaurant,4009 Macdonald St,Chinese,49.2508491,-123.1679997,Arbutus-Ridge
Jiu Jiang Japanese Restaurant,5707 Balsam St,Japanese,49.2343872,-123.1615111,Kerrisdale
Linh Café,2836 W 4th Ave,Vietnamese,49.2682348,-123.1690502,Kitsilano
Sahel Market & Restaurant,3207 W Broadway,Persian,49.2643375,-123.1762379,Kitsilano
Rice Burger,2630 Sasamat St,Asian,49.2634268,-123.2089782,West Point Grey
Sushi Bar Ajisai,2081 W 42nd Ave,Japanese,49.233934,-123.1536816,Kerrisdale
Nelly's Grill,2061 W 4th Ave,Breakfast,49.2682215,-123.1518528,Kitsilano
Bento Sushi,4221 Dunbar St,Japanese,49.2486793,-123.1854813,Dunbar-Southlands
Domino's Pizza,4298 Dunbar St,Pizza,49.2558103,-123.1848639,Dunbar-Southlands
Taste of Thai,3629 W Broadway,Thai,49.2645956,-123.184452,Kitsilano
Raisu,2340 W 4th Ave,Japanese,49.26801649999999,-123.158373,Kitsilano
delhi6 Indian bistro,1766 W 7th Ave,Indian,49.2652347,-123.1449676,Fairview
The Diner,4556 W 10th Ave W,British,49.2636064,-123.2108682,West Point Grey
Breakfast Table,3014 Granville St,Breakfast,49.258568,-123.1385172,Fairview
Freshslice Pizza,2083 Alma St #230,Pizza,49.2681947,-123.1859178,West Point Grey
Healthy Noodle House,2716 W 4th Ave,Noodle Shop,49.2682121,-123.1668536,Kitsilano
Sofra Mediterranean Kitchen,2277 W 41st Ave,Lebanese,49.2348041,-123.1591358,Arbutus-Ridge
Yuwa Japanese Cuisine,2775 W 16th Ave,Japanese,49.2579886,-123.1678342,Kitsilano
Sazon Mexican Cuisine,2698 W 4th Ave,Mexican,49.268204,-123.166196,Kitsilano
Las Margaritas,1999 W 4th Ave,Takeout Restaurant,49.2683213,-123.1501626,Kitsilano
L'ufficio,3687 W 4th Ave,Italian,49.26874189999999,-123.1853333,Kitsilano
Bishop's,2183 W 4th Ave,Pacific Northwest,49.2683236,-123.1547032,Kitsilano
Burgoo,4434 W 10th Ave,Bistro,49.2636512,-123.2071521,West Point Grey
Trattoria,1850 W 4th Ave,Italian,49.2678378,-123.1466983,Kitsilano
Sunshine Diner,2649 W Broadway,Diner,49.2642347,-123.1654094,Kitsilano
Döner Kebab,1956 W 4th Ave,Middle Eastern,49.2679155,-123.1492544,Kitsilano
Double DD Pizza,3510 W 4th Ave,Greek,49.2684317,-123.1821449,Kitsilano
Novo Pizzeria & Wine Bar,2118 Burrard St,Italian,49.2666178,-123.1454221,Fairview
Heirloom Vegetarian Restaurant,1509 W 12th Ave,Vegetarian,49.2609126,-123.1391689,Fairview
Romer's Burger Bar,1873 W 4th Ave,Hamburger,49.26827420000001,-123.1472529,Kitsilano
Donair Dude,3209 W Broadway,Fast Food,49.26433400000001,-123.176389,Kitsilano
Dunbar Painting,3891 Dunbar St,Painting,49.2521024,-123.1856125,Dunbar-Southlands
Enigma Urban Eatery & Bar,4397 W 10th Ave,Canadian,49.2639001,-123.2059181,West Point Grey
Viet Flavour Restaurant,1822 W Broadway,Vietnamese,49.2635596,-123.1464248,Kitsilano
Mr. Red Cafe,2680 W Broadway,Vietnamese,49.2638617,-123.1658286,Kitsilano
Cafe Zen On Yew,1631 Yew St,Breakfast,49.2711495,-123.1551892,Kitsilano
Four Olives Restaurant,4510 W 10th Ave,Greek,49.263669,-123.2095599,West Point Grey
Little Bird Dim Sum + Craft Beer,2958 W 4th Ave,Chinese,49.2683013,-123.1715524,Kitsilano
Ah Long Sushi,2697 W Broadway,Japanese,49.2641934,-123.1662771,Kitsilano
Iki Japanese Restaurant,2756 W Broadway,Japanese,49.26385459999999,-123.1674147,Kitsilano
Hundy,2042-B W 4th Ave,Hamburger,49.2679152,-123.1514302,Kitsilano
Pho Tan Vietnamese Restaurant Beef Noodle Soup & Bubble Tea,2076 W 41st Ave,Vietnamese,49.2344534,-123.1544022,Kerrisdale
Ramen Danbo,1833 W 4th Ave,Japanese,49.2682861,-123.146425,Kitsilano
Golden Ocean Seafood Restaurant,2046 W 41st Ave,Chinese,49.2343419,-123.1533765,Kerrisdale
Jun Sushi Japanese Restaurant,3309 W Broadway,Japanese,49.2645071,-123.1783067,Kitsilano
Peaceful Restaurant,2394 W 4th Ave,Chinese,49.2680246,-123.1596199,Kitsilano
Suika Japanese Restaurant,1626 W Broadway,Izakaya,49.2634105,-123.1416899,Fairview
Gyo Para Gyoza & Ramen Bar,2120 W Broadway,Japanese,49.2637073,-123.1534552,Kitsilano
Barra 41,2407 W 41st Ave,Cocktail bar,49.23475939999999,-123.1615035,Arbutus-Ridge
Thai Basil Restaurant,3271 W Broadway,Thai,49.2644159,-123.1772831,Kitsilano
41 Noodle & Rice Pot House,2279 W 41st Ave,Chinese,49.2348021,-123.1591685,Arbutus-Ridge
ASA Sushi,2178 W 41st Ave,Japanese,49.234509,-123.1580221,Kerrisdale
White Spot Kitsilano,2518 W Broadway,Family-friendly,49.263791,-123.1632683,Kitsilano
Sun Sushi,4512 W 10th Ave,Japanese,49.26369589999999,-123.2095971,West Point Grey
Nook,1525 Yew St,Italian,49.2722315,-123.155229,Kitsilano
Unchai Restaurant,2351 Burrard St,Thai,49.2650115,-123.1459642,Kitsilano
A&W Canada,2083 Alma St #200,Hamburger,49.268477,-123.185978,West Point Grey
Ginger & Chili Restaurant,4409 W 10th Ave,Chinese,49.2639581,-123.206341,West Point Grey
Akbar's Own Indian Restaurant,1905 W Broadway,Indian,49.2640234,-123.1484033,Kitsilano
Yagger's Kitsilano Restaurant,2884 W Broadway,Sports bar,49.2638702,-123.169692,Kitsilano
Nando's Kerrisdale,2064 W 41st Ave,Chicken,49.2342436,-123.1540599,Kerrisdale
