name,address,cuisine,lat,lng,region
Salmon n' Bannock,1128 W Broadway #7,Pacific Northwest,49.263303,-123.1297697,Fairview
Tony's Fish & Oyster Cafe,1511 Anderson St,Seafood,49.2707061,-123.1364206,Fairview
Café Salade de Fruits,1555 W 7th Ave,French,49.26559659999999,-123.1400696,Fairview
Apollonia Greek Restaurant,1830 Fir St,Takeout Restaurant,49.2694416,-123.1406537,Fairview
The Sandbar Seafood Restaurant,1535 Johnston Street Creekhouse #102,Seafood,49.2715164,-123.134276,Fairview
Suika Japanese Restaurant,1626 W Broadway,Izakaya,49.2634105,-123.1416899,Fairview
Breakfast Table,3014 Granville St,Breakfast,49.258568,-123.1385172,Fairview
Go Fish,1505 W 1st Ave,Fish & Chips,49.2724945,-123.1404146,Fairview
The Vancouver Fish Company,1517 Anderson St,Seafood,49.2705997,-123.1365764,Fairview
Peaceful Restaurant,532 W Broadway #110,Chinese,49.2630874,-123.1160779,Fairview
Yanaki Sushi,816 W 6th Ave,Japanese,49.26571999999999,-123.1223239,Fairview
Heirloom Vegetarian Restaurant,1509 W 12th Ave,Vegetarian,49.2609126,-123.1391689,Fairview
Blue Hat Bistro,1505 W 2nd Ave #101,Bistro,49.2698875,-123.1379948,Fairview
Pizza Pzazz,1689 Johnston St,Pizza,49.2727014,-123.1352146,Fairview
Raga Restaurant,1177 W Broadway,Indian,49.2637614,-123.1305469,Fairview
Shizenya Restaurant on Broadway,1333 W Broadway #160,Japanese,49.2638726,-123.1342629,Fairview
Bin 4 Burger Lounge,2996 Granville St,Hamburger,49.2590704,-123.1384745,Fairview
Tojo's Restaurant,1133 W Broadway,Japanese,49.2636964,-123.1297159,Fairview
My Forno Pizza,1630 W Broadway,Pizza,49.2635028,-123.1417719,Fairview
Subway,1288 W Broadway,Sandwich,49.2633442,-123.1329176,Fairview
New India Buffet + Bar & Restaurant,901 W Broadway,Indian,49.2635544,-123.124491,Fairview
Gyu-Kaku Japanese BBQ,950 W Broadway #201,Yakiniku,49.2632584,-123.1257975,Fairview
Dynasty Seafood Restaurant,108-777 W Broadway,Chinese,49.2637681,-123.1216281,Fairview
Edible Canada,1596 Johnston St,Canadian,49.2716722,-123.1348861,Fairview
Osaka Teppanyaki,1788 W Broadway #103,Seafood,49.26346520000001,-123.1452407,Fairview
Fiore - South Granville,1485 W 12th Ave,Italian,49.2608974,-123.1382242,Fairview
Chipotle Mexican Grill,532 Broadway W Unit 100,Mexican,49.2630941,-123.116148,Fairview
Culinary Capers Catering,620 Clark Dr,Caterer,49.2792272,-123.0767164,Grandview-Woodland
Novo Pizzeria & Wine Bar,2118 Burrard St,Italian,49.2666178,-123.1454221,Fairview
Indian Roti Kitchen,2961 Cambie St,Indian,49.2590241,-123.1153551,Fairview
Mixx Bao Taiwanese Street Food,1426 W 8th Ave,Taiwanese,49.2642942,-123.1367416,Fairview
Branas Mediterranean Grill,617 Stamps Landing,Mediterranean,49.26850049999999,-123.1187213,Fairview
Afghan Horsemen Restaurant,1833 Anderson St #202,Afghani,49.2693903,-123.1389283,Fairview
Lin Chinese Cuisine and Tea House,1537 W Broadway,Chinese,49.26377309999999,-123.1397224,Fairview
Paul's Omelettery Restaurant,2211 Granville St,Breakfast,49.2659984,-123.1387561,Fairview
Masa Japanese Restaurant Vancouver,1418 W Broadway,Japanese,49.26334199999999,-123.1368041,Fairview
Hokkaido Ramen Santouka,558 W Broadway,Japanese,49.2630882,-123.1168634,Fairview
YuShang Hot Pot 御上火锅,950 W Broadway #202,Chinese,49.263169,-123.125569,Fairview
The Stable House Bistro,1520 W 13th Ave,Bistro,49.259699,-123.139316,Fairview
Yolks,546 W Broadway,Breakfast,49.26311159999999,-123.1165845,Fairview
Sushi Dragon,614 W Broadway,Japanese,49.2630952,-123.1182667,Fairview
Sushivan,2566 Granville St,Japanese,49.26296319999999,-123.1383187,Fairview
5 Spice Vietnamese Cuisine,1513 W Broadway,Vietnamese,49.2638171,-123.1391631,Fairview
The Marquis Grill,2666 Granville St,Grill,49.2621327,-123.1383634,Fairview
Kisokoma Japanese Restaurant,805 W Broadway #112,Japanese,49.2635695,-123.1220303,Fairview
delhi6 Indian bistro,1766 W 7th Ave,Indian,49.2652347,-123.1449676,Fairview
Saku Broadway,548 W Broadway,Japanese,49.26310059999999,-123.1166394,Fairview
Joon's Kitchen,3093 Oak St,Korean,49.2580519,-123.1271478,Fairview
Zaccary's Pizza,3150 Oak St,Pizza,49.2574657,-123.1270033,Fairview
Banana Leaf Broadway & Willow,820 W Broadway,Malaysian,49.2631202,-123.1224844,Fairview
Bob Likes Thai Food,1521 W Broadway,Thai,49.2637902,-123.1393566,Fairview
Ro Sushi Japanese Bistro,678 W Broadway,Asian,49.2631001,-123.1192423,Fairview
Kaisereck Deli,1689 Johnston St #114,Sandwich,49.2727014,-123.1352146,Fairview
Pepper Lunch,2323 Cambie St,Japanese,49.2646119,-123.1150465,Fairview
Kathy's Sandwich House,1505 W Broadway,Sandwich,49.2637785,-123.1390622,Fairview
Bridges Restaurant,1696 Duranleau St,Seafood,49.272817,-123.1364204,Fairview
Moderne Burger,865 W Broadway,Hamburger,49.2635355,-123.1233966,Fairview
Ebisu on Broadway,601 12 W Broadway #12,Japanese,49.2637363,-123.1180045,Fairview
Ta-Ke Don,802 W Broadway,Japanese,49.2631709,-123.1221441,Fairview
Pokedoki - Poke,693 W Broadway,Hawaiian,49.2634971,-123.1195716,Fairview
Liquids + Solids,1550 W Broadway,Soup,49.2634672,-123.1400913,Fairview
Szechuan Chili,804 W 6th Ave,Sichuan,49.265607,-123.121984,Fairview
i-Cafe,2525 Heather St,Chinese,49.2630104,-123.1200936,Fairview
Freshii,561 W Broadway,Health Food,49.2634909,-123.1170326,Fairview
Rayhan,3170 Oak St,Mediterranean,49.2574073,-123.1269061,Fairview
Mellowbite Pizza,106 1833 Anderson St # 106,Pizza,49.2693126,-123.1385521,Fairview
A&W Canada,777 W Broadway,Hamburger,49.2635975,-123.1213494,Fairview
Freshslice Pizza,2418 Granville St,Pizza,49.2642232,-123.1382236,Fairview
Rocky Mountain Flatbread,1876 W 1st Ave,Pizza,49.2704812,-123.1472846,Kitsilano
Viet Flavour Restaurant,1822 W Broadway,Vietnamese,49.2635596,-123.1464248,Kitsilano
Sushi HANABI,1542 W 2nd Ave,Japanese,49.269572,-123.1400543,Fairview
Bella Pizza,2525 Hemlock St,Pizza,49.263255,-123.136615,Fairview
Benkei Ramen Noodle Shop,545 W Broadway,Japanese,49.2634328,-123.1164873,Fairview
Minato Sushi Restaurant (Vancouver BC,1001 W Broadway #102,Japanese,49.2636471,-123.1270408,Fairview
Johnny Rockets,2538 Oak St,Hamburger,49.2630639,-123.1263056,Fairview
Shanghai Lu Restaurant,705 W Broadway,Shanghainese,49.26361259999999,-123.1200751,Fairview
Royal Seoul House Restaurant,1215 W Broadway,Korean,49.2636516,-123.1318882,Fairview
The Liberty Distillery,1494 Old Bridge St,Distillery,49.270394,-123.134551,Fairview
Stages Restaurant & Lounge,711 W Broadway,Bistro,49.263578,-123.120284,Fairview
Vij's Restaurant,3106 Cambie St,Indian,49.2575375,-123.1147883,Mount Pleasant
Unchai Restaurant,2351 Burrard St,Thai,49.2650115,-123.1459642,Kitsilano
BiBo Pizzeria con Cucina,1835 W 4th Ave,Pizza,49.2682628,-123.1465315,Kitsilano
QQ Sushi,1640 W Broadway,Japanese,49.2634926,-123.1419998,Fairview
Carlos O'Bryan's Neighborhood Pub,1774 W 7th Ave,Irish pub,49.265325,-123.1452,Fairview
