name,address,cuisine,region,lat,lng
The Patty Shop,4019 Macdonald St,Caribbean,Arbutus-Ridge,49.2507667,-123.1680264
Butter Baked Goods,4907 Mackenzie St,Bakery,Dunbar-Southlands,49.2421678,-123.1704101
La Buca,4025 MacDonald Street,Italian,Arbutus-Ridge,49.2506204,-123.1679983
Bufala,5395 West Blvd,Pizza,Arbutus-Ridge,49.2374814,-123.1556462
White Spot,5367 West Blvd,Burgers,Arbutus-Ridge,49.23766850000001,-123.1556307
Subway,4665 Arbutus Street,Sandwiches,Arbutus-Ridge,49.24397949999999,-123.1539879
Wakwak Burger,511 Granville St,Food Truck,Downtown,49.2845236,-123.1150798
A&W,"4255 Arbutus Street, #104",Fast Food,Arbutus-Ridge,49.2485248,-123.1540053
Van Den Bosch Bakery,4255 Arbutus Street,Bakery,Arbutus-Ridge,49.2485248,-123.1540053
Finest at Sea,4675 Arbutus Street,Seafood,Arbutus-Ridge,49.2444905,-123.1539172
Gotham Steakhouse & Cocktail Bar,615 Seymour St.,Steakhouse,Downtown,49.2828825,-123.1159646
Medina Café,780 Richards St,Breakfast,Downtown,49.280408,-123.1168648
Fanny Bay Oyster Bar,762 Cambie St,Seafood,Downtown,49.2786079,-123.1141059
Japadog,530 Robson St,Hot Dogs,Downtown,49.28022319999999,-123.1183207
Lupo,869 Hamilton St,Italian,Downtown,49.27819299999999,-123.1173485
Paramount Fine Foods,560 Robson St,Lebanese,Downtown,49.2803212,-123.1185948
Cartems Donuterie,534 W Pender St,Donuts,Downtown,49.2835993,-123.113811
Triple O's,700 Hamilton St. (inside CBC Vancouver),Burgers,Downtown,49.27952879999999,-123.1138787
Chambar,568 Beatty St,Belgian,Downtown,49.2801598,-123.109912
Finch’s Tea & Coffee House,353 W Pender St,Sandwiches,Downtown,49.2827746,-123.1116823
Gallery Café,750 Hornby St,Café,Downtown,49.2830077,-123.1208179
Hubbub Sandwiches,859 Hornby St,Sandwiches,Downtown,49.2819932,-123.1230964
Meat & Bread,370 Cambie St,Sandwiches,South Cambie,49.23398299999999,-123.116576
La Taqueria,322 W Hastings St,Mexican,Downtown,49.282903,-123.1105901
Tacofino,1025 Mainland St,Mexican,Downtown,49.27647109999999,-123.1195878
Five Guys,635 Robson Street,Burgers,Downtown,49.2810806,-123.119066
Bacchus Lounge,845 Hornby St,French,Downtown,49.2823626,-123.1228112
New Amsterdam Cafe,301 W Hastings,Café,Downtown,49.2829108,-123.1099049
PureBread,159 W. Hastings DT,Bakery,Downtown,49.2825319,-123.1090594
Blue Water Cafe + Raw Bar,1095 Hamilton St,Seafood,Downtown,49.276155,-123.1211291
Kokoro Tokyo Mazesoba,551 Seymore St,Noodles,Downtown,49.2834164,-123.1150628
Jam Cafe,556 Beatty St.,Breakfast,Downtown,49.280155,-123.1095422
The Parlour,1011 Hamilton St.,Italian,Downtown,49.27672099999999,-123.1201634
Baghdad Cafe,548 Seymour St.,Middle Eastern,Downtown,49.2834649,-123.1144324
Pizza Garden,675 Smithe St.,Pizza,Downtown,49.280165,-123.1209115
