name,address,cuisine,lat,lng,region
Absinthe Bistro,952 Commercial Dr,French,49.2759736,-123.0693516,Grandview-Woodland
The Cannibal Cafe,1818 Commercial Dr,Hamburger,49.2683788,-123.0694713,Grandview-Woodland
Tacofino Commissary,2327 E Hastings St,Mexican,49.28128419999999,-123.0575022,Grandview-Woodland
Sula Indian Restaurant - Commercial Drive,1128 Commercial Dr,Indian,49.2744339,-123.0691883,Grandview-Woodland
Fets Whisky Kitchen,1230 Commercial Dr,Grill,49.2735267,-123.0692475,Grandview-Woodland
La Mezcaleria,1622 Commercial Dr,Mexican,49.2700977,-123.0692773,Grandview-Woodland
Bombay Kitchen and Bar,1018 Commercial Dr,Indian,49.27537909999999,-123.0692183,Grandview-Woodland
Poke Five,2247 Commercial Dr,Seafood,49.264394,-123.0699988,Grandview-Woodland
Harbour Oyster + Bar,1408 Commercial Dr,Oyster Bar,49.2718947,-123.0691815,Grandview-Woodland
Cafe Deux Soleils,2096 Commercial Dr,Breakfast,49.2660509,-123.0694337,Grandview-Woodland
Ginger Sushi,1437 Commercial Dr,Takeout Restaurant,49.2717096,-123.0697506,Grandview-Woodland
Scandilicious,25 Victoria Dr,Scandinavian,49.2843937,-123.065746,Grandview-Woodland
Bar Corso,1566 Commercial Dr,Tapas,49.2707543,-123.069445,Grandview-Woodland
Kishimoto Japanese Restaurant,2054 Commercial Dr,Japanese,49.2667364,-123.0694112,Grandview-Woodland
Kin Kao Thai Kitchen,903 Commercial Dr,Takeout Restaurant,49.2763558,-123.0696924,Grandview-Woodland
CHOMP vegan eatery,2234 E Hastings St,Vegan,49.2810132,-123.0591164,Grandview-Woodland
Bon's Off Broadway,2451 Nanaimo St,Breakfast,49.2626943,-123.0571017,Grandview-Woodland
Hanai Family Table,1370 E Georgia St,Hawaiian,49.278305,-123.0755801,Grandview-Woodland
Yolks,1598 E Hastings St,Breakfast,49.2811259,-123.072895,Grandview-Woodland
Windjammer Restaurant,937 Commercial Dr,British,49.2760328,-123.0696455,Grandview-Woodland
Eternal Abundance Organic Market & Eatery,1025 Commercial Dr,Vegan,49.275432,-123.0698104,Grandview-Woodland
Downlow Chicken Shack,905 Commercial Dr,Chicken,49.27632699999999,-123.069732,Grandview-Woodland
Pepino's Spaghetti House,631 Commercial Dr,Italian,49.2788717,-123.0706063,Grandview-Woodland
