name,address,cuisine,lat,lng,region
Silks,188 N Renfrew St,Buffet,49.285492,-123.0401347,Hastings-Sunrise
Tacofino Commissary,2327 E Hastings St,Mexican,49.28128419999999,-123.0575022,Grandview-Woodland
Vancity Pizza,2411 E Hastings St,Italian,49.2813327,-123.0562333,Hastings-Sunrise
Blowfish Sushi & Japanese Food,2828 E Hastings St #107,Japanese,49.280817,-123.0459715,Hastings-Sunrise
James On Hastings Chinese Restaurant,2683 E Hastings St,Chinese,49.2814925,-123.0498771,Hastings-Sunrise
Mordimi bite of italy,2638 E Hastings St,Pizza,49.2810072,-123.0509476,Hastings-Sunrise
Laksa King,2546 E Hastings St,Malaysian,49.28102519999999,-123.0533381,Hastings-Sunrise
BeaverTails,2901 E Hastings St,Fast Food,49.28606509999999,-123.036971,Hastings-Sunrise
Le Pho Vietnamese Restaurant,2503 E Hastings St,Vietnamese,49.2812758,-123.0543241,Hastings-Sunrise
Bao Chau Restaurant,2717 E Hastings St,Vietnamese,49.2812747,-123.0489068,Hastings-Sunrise
Tamam: Fine Palestinian Cuisine,2616 E Hastings St,Middle Eastern,49.2809355,-123.051436,Hastings-Sunrise
Bai Bua Thai Cuisine,1-2443 E Hastings St,Thai,49.2812869,-123.0556328,Hastings-Sunrise
Sushi Nanaimo,350 Nanaimo St,Japanese,49.2815242,-123.0562663,Hastings-Sunrise
Indian Village Eatery,2745 E Hastings St #130,Indian,49.2813652,-123.0479261,Hastings-Sunrise
Le Petit Saigon,2783 E Hastings St,Vietnamese,49.281355,-123.0472672,Hastings-Sunrise
Whiskey Six BBQ,826 Renfrew St,Barbecue,49.2770139,-123.0438715,Hastings-Sunrise
Poor Italian Ristorante,3296 E 1st Ave,Italian,49.2690821,-123.0341384,Hastings-Sunrise
Basil Garden Restaurant,2889 E Broadway,Vietnamese,49.2622722,-123.0448569,Hastings-Sunrise
Thailicious,2404 E Hastings St,Thai,49.2810006,-123.0563166,Hastings-Sunrise
CHOMP vegan eatery,2234 E Hastings St,Vegan,49.2810132,-123.0591164,Grandview-Woodland
Vallarta's Mexican Restaurant,2891 E Broadway,Mexican,49.2623245,-123.0448669,Hastings-Sunrise
Vietnamese tea house,2526 E Hastings St,Vietnamese,49.2810284,-123.0536915,Hastings-Sunrise
The Laughing Bean Coffee Co.,2695 E Hastings St,Coffee store,49.2814832,-123.0496297,Hastings-Sunrise
Pho Don,2838 E Hastings St #109,Vietnamese,49.2809719,-123.0451099,Hastings-Sunrise
Kook Korean BBQ Restaurant,2800 E 1st Ave #211A,Korean,49.26894490000001,-123.0454708,Hastings-Sunrise
Fuku Ramen,2800 E 1st Ave #114,Japanese,49.2687407,-123.0456402,Hastings-Sunrise
Tentatsu,2430 E Hastings St,Japanese,49.2809765,-123.0558969,Hastings-Sunrise
Freshslice Pizza,2529 E Hastings St,Pizza,49.2812847,-123.0538249,Hastings-Sunrise
Yook Korean Grilled BBQ & Bistro (육 코리안 바베큐,2408 Nanaimo St,Korean,49.2627316,-123.0563706,Hastings-Sunrise
Triple O's Pacific Coliseum,100 N Renfrew St,Fast Food,49.285843,-123.0426334,Hastings-Sunrise
New Brighton Pool Concession,3201 New Brighton Rd,Fast Food,49.2891534,-123.0344965,Hastings-Sunrise
DUNDAS Eat + Drink - six o pho,2077 Dundas St,Fusion restaurant,49.28510499999999,-123.062289,Grandview-Woodland
Fortune City Seafood Restaurant,2800 E 1st Ave,Chinese,49.26894490000001,-123.0454708,Hastings-Sunrise
Delish Gluten Free Bakery,2166 E Hastings St,Gluten Free,49.2810138,-123.0602546,Grandview-Woodland
Cindys Palace,1796 Nanaimo St,Chinese,49.2686838,-123.0562864,Hastings-Sunrise
Scandilicious,25 Victoria Dr,Scandinavian,49.2843937,-123.065746,Grandview-Woodland
Sushi High,3311 E Broadway,Japanese,49.262059,-123.0332862,Hastings-Sunrise
Jiro Sushi & Ramen,1801 Renfrew St,Japanese,49.26831780000001,-123.0445229,Hastings-Sunrise
Vietnam House Restaurant,2122 E Hastings St,Vietnamese,49.2809485,-123.0612294,Grandview-Woodland
Bianca-Maria Italian Foods,2469 E Hastings St,Deli Shop,49.2812849,-123.0553114,Hastings-Sunrise
Mr Red Cafe,2131 E Hastings St,Vietnamese,49.2813021,-123.0608714,Grandview-Woodland
Aleph Eatery,1889 Powell St,Vegan,49.2848444,-123.0659429,Grandview-Woodland
Le Do Restaurant,2292 E Hastings St,Vietnamese,49.2809537,-123.0581034,Grandview-Woodland
Van Dragon Seafood Restaurant,2163 E Hastings St,Seafood,49.281302,-123.0601107,Grandview-Woodland
Volcano Sushi & Grill,1991 E Hastings St,Japanese,49.28152799999999,-123.063824,Grandview-Woodland
Koko Japanese Restaurant Ltd,2053 E Hastings St,Japanese,49.2813178,-123.0625702,Grandview-Woodland
Song Huong Restaurant,1613 Nanaimo St,Vietnamese,49.2701941,-123.0569066,Grandview-Woodland
Pho Win Vietnamese restaurant,2138 E Hastings St,Pho,49.2810297,-123.060808,Grandview-Woodland
Got Pho Thien Kim,2523 Nanaimo St,Vietnamese,49.2618001,-123.0568296,Kensington-Cedar Cottage
Happy Valley Dim Sum Seafood Restaurant,3432 Lougheed Hwy,Chinese,49.2620924,-123.0296453,Renfrew-Collingwood
Pelican Seafood Restaurant,1895 E Hastings St,Seafood,49.2815691,-123.0662004,Grandview-Woodland
Via Tevere Pizzeria,1190 Victoria Dr,Pizza,49.2738774,-123.0653991,Grandview-Woodland
Golden Seafood Restaurant,2425 Nanaimo St,Chinese,49.2628705,-123.057018,Grandview-Woodland
Church's Chicken,2304 E Hastings St,Chicken,49.2809743,-123.0574231,Grandview-Woodland
Bombay Kitchen and Bar,1018 Commercial Dr,Indian,49.27537909999999,-123.0692183,Grandview-Woodland
Motonobu Udon,3501 E Hastings St,Japanese,49.2812657,-123.0280715,Hastings-Sunrise
On Lok Restaurant & Wun Tun House,2010 E Hastings St,Chinese Noodles,49.2808579,-123.0633045,Grandview-Woodland
Freshii,2920 Virtual Way,Health Food,49.2597161,-123.0436942,Renfrew-Collingwood
McDonald's,3444 E Hastings St,Fast Food,49.2808895,-123.0305558,Hastings-Sunrise
Sula Indian Restaurant - Commercial Drive,1128 Commercial Dr,Indian,49.2744339,-123.0691883,Grandview-Woodland
Absinthe Bistro,952 Commercial Dr,French,49.2759736,-123.0693516,Grandview-Woodland
Kishimoto Japanese Restaurant,2054 Commercial Dr,Japanese,49.2667364,-123.0694112,Grandview-Woodland
Dairy Queen Grill & Chill,2805 E Hastings St E,Fast Food,49.28120910000001,-123.0466884,Hastings-Sunrise
Sopra Sotto Pizzeria,1510 Commercial Dr,Italian,49.271035,-123.0692425,Grandview-Woodland
Axum Restaurant,1279 E Hastings St,Ethiopian,49.2816149,-123.0777844,Strathcona
El Pulgarcito Restaurant,2522 E Hastings St,Salvadoran,49.281029,-123.0537945,Hastings-Sunrise
Yolks,1598 E Hastings St,Breakfast,49.2811259,-123.072895,Grandview-Woodland
The Cannibal Cafe,1818 Commercial Dr,Hamburger,49.2683788,-123.0694713,Grandview-Woodland
A&W Canada,2033 E Hastings St,Hamburger,49.2813825,-123.0630549,Grandview-Woodland
Sunrise Pizza & Steak House,949 Commercial Dr,Pizza,49.2758896,-123.0696667,Grandview-Woodland
Stickions Bistro,2679 E Hastings St,Bistro,49.28128969999999,-123.0500427,Hastings-Sunrise
La Mezcaleria,1622 Commercial Dr,Mexican,49.2700977,-123.0692773,Grandview-Woodland
Knight & Day Restaurant,3684 Lougheed Hwy,Family-friendly,49.2650534,-123.0243001,Renfrew-Collingwood
Marcello Ristorante & Pizzeria,1404 Commercial Dr,Italian,49.2720501,-123.0694232,Grandview-Woodland
Freshslice Pizza,2889 Grandview Hwy #2,Pizza,49.258601,-123.04477,Renfrew-Collingwood
THE PIZZA CASTLE & INDIAN CURRY,1110 Commercial Dr,Vegan,49.27459409999999,-123.0692425,Grandview-Woodland
McDonald's,3695 Lougheed Highway,Fast Food,49.26592249999999,-123.0243296,Hastings-Sunrise
Kin Kao Thai Kitchen,903 Commercial Dr,Takeout Restaurant,49.2763558,-123.0696924,Grandview-Woodland
Zazie Vancouver,1859 Commercial Dr,Indian,49.2681046,-123.0699447,Grandview-Woodland
Jamjar Canteen,2290 Commercial Dr,Lebanese,49.264293,-123.0695535,Grandview-Woodland
Tandoori Palace,1439 Commercial Dr,Indian,49.2716292,-123.0699829,Grandview-Woodland
Poke Five,2247 Commercial Dr,Seafood,49.264394,-123.0699988,Grandview-Woodland
Subway,2828 E Hastings St Unit 108,Sandwich,49.280817,-123.0459715,Hastings-Sunrise
Johny's Shop,1375 Boundary Rd,Snack bar,49.2722689,-123.0242779,Hastings-Sunrise
Fire Pizza,1918 Commercial Dr,Pizza,49.26740840000001,-123.0694962,Grandview-Woodland
Windjammer Restaurant,937 Commercial Dr,British,49.2760328,-123.0696455,Grandview-Woodland
Lombardo's Pizzeria & Ristorante,1641 Commercial Dr,Italian,49.2700044,-123.0698928,Grandview-Woodland
Pepino's Spaghetti House,631 Commercial Dr,Italian,49.2788717,-123.0706063,Grandview-Woodland
Famoso Neapolitan Pizzeria - Commercial Drive,1380 Commercial Dr,Pizza,49.2722609,-123.0692191,Grandview-Woodland
Jackalopes Neighbourhood Dive,2257 E Hastings St,Bar,49.2812947,-123.0589523,Grandview-Woodland
Arriva Ristorante Ltd,1537 Commercial Dr,Italian,49.2709212,-123.0698917,Grandview-Woodland
Farroghi's,1370 E Georgia St,Fast Food,49.278305,-123.0755801,Grandview-Woodland
Pizza Garden,1042 Commercial Dr,Pizza,49.2750233,-123.0692198,Grandview-Woodland
4 Brothers Pizza,1914 Commercial Dr,Pizza,49.2674189,-123.0694534,Grandview-Woodland
Ugly Dumpling,1590 Commercial Dr,Asian,49.2706489,-123.0694667,Grandview-Woodland
Siddhartha's Indian Kitchen,2066 Commercial Dr,Indian,49.2665657,-123.0695155,Grandview-Woodland
La Grotta Del Formaggio,1791 Commercial Dr,Deli,49.26884889999999,-123.0699837,Grandview-Woodland
Downlow Chicken Shack,905 Commercial Dr,Chicken,49.27632699999999,-123.069732,Grandview-Woodland
Kojima Sushi,1836 Commercial Dr,Japanese,49.2681034,-123.0694691,Grandview-Woodland
Pink Pearl Chinese Seafood Restaurant,1132 E Hastings St,Chinese,49.2806949,-123.0802963,Strathcona
Boston Pizza,2850 Bentall St,Pizza,49.2584746,-123.0306817,Renfrew-Collingwood
Memphis Blues Barbeque House,1342 Commercial Dr,Takeout Restaurant,49.2724944,-123.0692524,Grandview-Woodland
Portuguese Club Of Vancouver,1144 Commercial Dr,Portuguese,49.274256,-123.0691892,Grandview-Woodland
Yama Cafe,2007 E Hastings St,Cafe,49.2814297,-123.0633912,Grandview-Woodland
Britannia Sushi,1016 Commercial Dr,Japanese,49.2754328,-123.0693353,Grandview-Woodland
PiDGiN Restaurant,350 Carrall St,Asian,49.28188100000001,-123.104145,Downtown
Cafe Du Soleil,1393 Commercial Dr,Breakfast,49.272438,-123.069862,Grandview-Woodland
A&W Canada,1520 Main St,Hamburger,49.27195589999999,-123.1000013,Strathcona
