name,address,cuisine,lat,lng,region
Bufala Kerrisdale,5395 West Blvd,Pizza,49.2374814,-123.1556462,Arbutus-Ridge
Hikari Cafe,5701 Granville St,Japanese,49.2340907,-123.14012,Kerrisdale
Golden Ocean Seafood Restaurant,2046 W 41st Ave,Chinese,49.2343419,-123.1533765,Kerrisdale
Pho Tan Vietnamese Restaurant Beef Noodle Soup & Bubble Tea,2076 W 41st Ave,Vietnamese,49.2344534,-123.1544022,Kerrisdale
ASA Sushi,2178 W 41st Ave,Japanese,49.234509,-123.1580221,Kerrisdale
Jiu Jiang Japanese Restaurant,5707 Balsam St,Japanese,49.2343872,-123.1615111,Kerrisdale
George's Pizza,6109 West Blvd,Pizza,49.2306249,-123.1558819,Kerrisdale
Southern Delicacy,6055 West Blvd,Chinese,49.23135,-123.1559366,Kerrisdale
Burrata Pizzeria,2104 W 41st Ave,Pizza,49.2344827,-123.1559335,Kerrisdale
Sofra Mediterranean Kitchen,2277 W 41st Ave,Lebanese,49.2348041,-123.1591358,Arbutus-Ridge
Chi Noodle Bar,6019 West Blvd,Noodle Shop,49.2316206,-123.1558541,Kerrisdale
Nando's Kerrisdale,2064 W 41st Ave,Chicken,49.2342436,-123.1540599,Kerrisdale
Baoguette Vietnamese Bistro,2114 W 41st Ave,Vietnamese,49.234477,-123.1561885,Kerrisdale
Chef Hung Taiwanese Beef Noodle,2028 W 41st Ave,Taiwanese,49.2344053,-123.1529635,Kerrisdale
Khao Thai by Legato Cafe,2248 W 41st Ave,Thai,49.2344901,-123.1592032,Kerrisdale
Sushi Bar Ajisai,2081 W 42nd Ave,Japanese,49.233934,-123.1536816,Kerrisdale
Minerva Restaurant,2411 W 41st Ave,Greek,49.23486579999999,-123.1615716,Arbutus-Ridge
Grand Honour Restaurant 阿一鲍翅,5701 Granville St B1,Cantonese,49.2341451,-123.140103,Kerrisdale
Kyuzo Japanese Restaurant,5701 Granville St #112,Japanese,49.2338988,-123.1400315,Kerrisdale
BBT Café,5979 West Blvd,Taiwanese,49.2321709,-123.1558937,Kerrisdale
Sushi King House,8176 Granville St,Japanese,49.2116627,-123.1401882,Marpole
ZUBU Ramen - Kerrisdale,2129 W 41st Ave,Japanese,49.2348065,-123.1563953,Arbutus-Ridge
Nana's Green Tea,2135 W 41st Ave,Japanese sweets restaurant,49.2348484,-123.1565687,Arbutus-Ridge
Talay Thai Restaurant,8369 Granville St,Thai,49.2107897,-123.140745,Marpole
Orange Corner,2257 W 41st Ave,Taiwanese,49.2347804,-123.1587608,Arbutus-Ridge
White Spot Kerrisdale,5367 West Blvd,Family-friendly,49.23766850000001,-123.1556307,Arbutus-Ridge
Barra 41,2407 W 41st Ave,Cocktail bar,49.23475939999999,-123.1615035,Arbutus-Ridge
41 Noodle & Rice Pot House,2279 W 41st Ave,Chinese,49.2348021,-123.1591685,Arbutus-Ridge
Lok's Chinese Restaurant,2436 W 41st Ave,Chinese,49.234479,-123.1618424,Kerrisdale
Kerrisdale Nakamura Japanese Cuisine,2055 W 41st Ave,Japanese,49.2347027,-123.1535489,Shaughnessy
Sushi King House,5333 West Blvd,Japanese,49.2378207,-123.1556788,Arbutus-Ridge
烫WORLD 麻辣烫,East Blvd CA BC Vancouver,Chinese,49.2327901,-123.1550412,Kerrisdale
Mirchi Restaurant,7964 Granville St,Indian,49.2135408,-123.1401398,Marpole
China Lan Lanzhou Beef Noodle,5555 West Blvd,Chinese Noodles,49.2360333,-123.1557741,Arbutus-Ridge
Subway,5623 West Blvd,Sandwich,49.2351915,-123.1557238,Arbutus-Ridge
Sip Bowl,2255 W 41st Ave,Chinese Noodles,49.2348048,-123.1587418,Arbutus-Ridge
Panago Pizza,8333 Granville St,Pizza,49.2111805,-123.1408436,Marpole
Chuan Yue,8329 Oak St,Chinese,49.2104311,-123.1305624,Marpole
Pho Ever,8178 Granville St,Pho,49.2117182,-123.1399784,Marpole
Shota Sushi & Grill,5688 Yew St,Japanese,49.2349524,-123.1575019,Arbutus-Ridge
Me + Crepe,5971 West Blvd,Diner,49.2322068,-123.1558017,Kerrisdale
New Chong Qing Restaurant,2044 W 41st Ave,Chinese,49.2344122,-123.1533619,Kerrisdale
Applause Japanese Restaurant,8269 Oak St,Japanese,49.2109319,-123.1305183,Marpole
Red Star Seafood Restaurant,8298 Granville St,Chinese,49.2111772,-123.1401991,Marpole
Sushi Wow,8273 Granville St,Japanese,49.2116601,-123.1407641,Marpole
Irashai Sushi,2260 W 41st Ave,Japanese,49.2344862,-123.1593285,Kerrisdale
Freshslice Pizza,8618 Granville St,Pizza,49.2082081,-123.1401279,Marpole
Caffe Artigiano,2154 W 41st Ave,Cafe,49.2344246,-123.1573023,Kerrisdale
Pizza Hut,8155 Granville St,Pizza,49.2121552,-123.1409273,Marpole
Tai Tung Chinese Seafood Restaurant,8012 Granville St,Chinese,49.21290219999999,-123.1400916,Marpole
Red Tuna Japanese Restaurant,3592 W 41st Ave,Japanese,49.2345003,-123.1845455,Dunbar-Southlands
Neptune BBQ House 鳳鳴燒臘 (Vancouver,8175 Granville St,Chinese,49.21193969999999,-123.1408327,Marpole
Michele Cake Shop,6033 West Blvd,Bakery,49.2314497,-123.1558396,Kerrisdale
别不同茶餐厅 Ming Tak Hong Kong Style Restaurant,8363 Granville St,Chinese,49.2108334,-123.1407047,Marpole
Maple Grove Park Concession,6875 Yew St,Fast Food,49.2231011,-123.159651,Kerrisdale
Sushi Mura,6485 Oak St,Japanese,49.2268452,-123.1287853,Oakridge
A&W Canada,6491 Oak St,Hamburger,49.22676269999999,-123.1289195,Oakridge
Tao's Kitchen,5701 Granville St #110,Chinese,49.2339553,-123.1399271,Kerrisdale
Q Coffee,5607 Dunbar St,Coffee shop,49.235643,-123.1856148,Dunbar-Southlands
McDonald's,2095 W 41st Ave,Fast Food,49.2349143,-123.1548416,Shaughnessy
Dylan's,561 W 57th Ave,Lunch,49.21942550000001,-123.1180213,Oakridge
Plethore by Faubourg,2156 W 41st Ave,Bakery,49.2343768,-123.1574157,Kerrisdale
Golden Pair Vietnamese Asian Cuisine,8167 Granville St,Vietnamese,49.211983,-123.140896,Marpole
The Cheese Inn,4585 Dunbar St,British,49.24545939999999,-123.1854706,Dunbar-Southlands
Honolulu Coffee,2098 W 41st Ave,Cafe,49.234297,-123.1547419,Kerrisdale
Parm'z Pizza Factory,8319 Oak St,Pizza,49.2105495,-123.1304717,Marpole
La Buca Restaurant,4025 Macdonald St,Italian,49.2506204,-123.1679983,Arbutus-Ridge
Moki's Pizza,4027 Macdonald St,Pizza,49.2506063,-123.1680174,Arbutus-Ridge
Ridge Garden Restaurant,4009 Macdonald St,Chinese,49.2508491,-123.1679997,Arbutus-Ridge
Ajisai 2 Go,2087 W 42nd Ave,Takeout Restaurant,49.2337368,-123.154002,Kerrisdale
Kim Express,952 W King Edward Ave,Takeout Restaurant,49.2485223,-123.1254486,South Cambie
Breakfast Table,3014 Granville St,Breakfast,49.258568,-123.1385172,Fairview
Cosy Inn Cafe,4455 Dunbar St,Breakfast,49.24656960000001,-123.1854609,Dunbar-Southlands
Dunbar Pizza & Indian Food,3348 Dunbar St,Takeout Restaurant,49.2570142,-123.1847986,Dunbar-Southlands
Kuma Japanese Restaurant,Dunbar St,Japanese,49.249012,-123.185207,Dunbar-Southlands
Osaka Sushi,960 W King Edward Ave,Japanese,49.2485394,-123.1255618,South Cambie
White Spot Oakridge,613 650 W 41st Ave A,Family-friendly,49.2333095,-123.1175731,Oakridge
Sweet E's Pastries and Sweets,2032 W 41st Ave,Bakery,49.2343209,-123.1530873,Kerrisdale
