name,address,cuisine,lat,lng,region
Wang's Shanghai Cuisine,3328 Kingsway #110,Shanghainese,49.2331241,-123.0344459,Killarney
Pho Thai Ha,2653 E 49th Ave,Vietnamese,49.225388,-123.053545,Victoria-Fraserview
Joojak Restaurant,3337 Kingsway,Chinese,49.2336784,-123.0345324,Renfrew-Collingwood
Kinemi's Kitchen,7751 Champlain Cres,Italian,49.2149295,-123.0304365,Killarney
Chosun Korean BBQ,3486 Kingsway,Takeout Restaurant,49.2317416,-123.0303984,Killarney
Kung Fu Noodle Kingsway–Joyce,5615 Harold St,Chinese Noodles,49.2334472,-123.0353403,Killarney
Romer's Burger Bar,8683 Kerr St,Hamburger,49.2058825,-123.0426519,Killarney
A&W Canada,7092 Kerr St,Hamburger,49.2192674,-123.0408866,Killarney
Wally's Burgers,2661 E 49th Ave,Hamburger,49.2253486,-123.0535419,Victoria-Fraserview
Papa John's Pizza,#300-3320 Kingsway,Pizza,49.2333626,-123.0348768,Killarney
Beijiang Restaurant 北疆饭店,3281 Kingsway,Chinese,49.2344793,-123.036161,Renfrew-Collingwood
Futian Dumpling Restaurant,3490 Kingsway #7,Chinese,49.2317297,-123.0299525,Killarney
Dumpling House,3141 Kingsway,Dumpling,49.2355494,-123.0387062,Renfrew-Collingwood
Sushi Go,7026 Kerr St,Japanese,49.2195921,-123.0410176,Killarney
Panago Pizza,3458 Sawmill Crescent,Pizza,49.20585519999999,-123.0318989,Killarney
Love for Pho,3524 Kingsway,Pho,49.2317099,-123.0281859,Killarney
Peaceful Restaurant,3320 Kingsway,Chinese,49.2333626,-123.0348768,Killarney
Jambo Grill Tandoor & Paan House,3219 Kingsway,Indian,49.2349448,-123.0371593,Renfrew-Collingwood
Michi Craft Kitchen,3665 Kingsway #180,Asian,49.2324554,-123.02436,Renfrew-Collingwood
Sushi Aji,3339 Kingsway,Japanese,49.2336608,-123.034465,Renfrew-Collingwood
Dragon Crepe,3499 Kingsway,Chinese,49.23221299999999,-123.0294687,Renfrew-Collingwood
Mt. Fuji Japanese Restaurant,2607 E 49th Ave,Japanese,49.22536119999999,-123.0544384,Victoria-Fraserview
Fortune Lamb Dining 鸿羊轩,3-3377 Kingsway,Chinese,49.2329936,-123.0330474,Renfrew-Collingwood
Max's Restaurant Cuisine of the Philippines Vancouver,3546 Kingsway,Filipino,49.23195399999999,-123.0273921,Killarney
Happy Day Cafe (Vancouver,3312 Kingsway,Chinese,49.2335577,-123.0353925,Killarney
Japanese Bistro Kamome,5228 Joyce St,Japanese,49.2372008,-123.0327046,Renfrew-Collingwood
Subway,7172 Kerr St,Sandwich,49.2189764,-123.040185,Killarney
Congee Noodle King,3313 Kingsway,Cantonese,49.2340119,-123.035255,Renfrew-Collingwood
钢管厂五区小郡肝火锅串串香 HOT POT Master,5737 Battison St,Chinese,49.2315968,-123.0308143,Killarney
Bubble Waffle Cafe,CA 2639 E 49th Ave,Chinese,49.2255119,-123.053541,Victoria-Fraserview
Domino's Pizza,5522 Joyce St,Pizza,49.23344460000001,-123.0360016,Killarney
54th Ave Cafe,7088 Kerr St,Cantonese,49.2192575,-123.0411135,Killarney
Honolulu Cafe,3340 Kingsway,Cantonese,49.2331602,-123.0345164,Killarney
Dharma Garden Veggie Deli,3195 Kingsway,Vegan,49.2352333,-123.0378501,Renfrew-Collingwood
The Captain's Boil,3309 Kingsway,Seafood,49.2341589,-123.0352979,Renfrew-Collingwood
K & H Seafood Restaurant,3415 Kingsway,Chinese,49.2324432,-123.0320058,Renfrew-Collingwood
Happy Tree House BBQ Kingsway,3502 Kingsway,Chinese,49.23186339999999,-123.0289157,Killarney
Celeshmet Restaurant,6956 Victoria Dr,Persian,49.2207446,-123.0655405,Victoria-Fraserview
利源冰店 Icy Bar Boundary,3618 Kingsway,Dessert,49.2320601,-123.0260584,Killarney
On May Chinese Restaurant,6443 Victoria Dr,Chinese,49.2257985,-123.0661677,Victoria-Fraserview
Chili Pepper House,3003 Kingsway #1,Chinese,49.2362021,-123.041154,Renfrew-Collingwood
Northern Cafe,1640 East Kent Ave S,Diner,49.2089234,-123.0729807,Victoria-Fraserview
Yu Kee BBQ Kitchen,2609 E 49th Ave,Chinese,49.2256543,-123.0543547,Victoria-Fraserview
Pizza Hut,2619-2625 E 49th Ave,Pizza,49.2255936,-123.0535762,Victoria-Fraserview
Joyce Jiaozi Restaurant,5171 Joyce St,Chinese,49.23785909999999,-123.0326907,Renfrew-Collingwood
Chef Pin,3293 Kingsway,Mandarin restaurant,49.2344273,-123.0360543,Renfrew-Collingwood
LE BL CAFÉ,5088 Victoria Dr,Vietnamese,49.2382751,-123.0652076,Kensington-Cedar Cottage
Tasty Wok,7180 Kerr St,Chinese Takeout,49.2188426,-123.039869,Killarney
Super Great Pizza,3388 Vanness Ave,Pizza,49.2383461,-123.0323181,Renfrew-Collingwood
Weirdo Cafe,6459 Victoria Dr,Fusion restaurant,49.225727,-123.066243,Victoria-Fraserview
Chau Veggie Express,5052 Victoria Dr,Vietnamese,49.2385526,-123.0651974,Kensington-Cedar Cottage
Panago Pizza,5738 Tyne St,Pizza,49.2314324,-123.0315171,Killarney
Adelitas Restaurant,5178 Victoria Dr,Mexican,49.2377146,-123.0651428,Kensington-Cedar Cottage
Pampanga's Cuisine,5179 Joyce St,Filipino,49.2377809,-123.0326363,Renfrew-Collingwood
Freshslice Pizza,5845 Victoria Dr,Pizza,49.2311839,-123.0657887,Victoria-Fraserview
Sushi Taku,4902 Joyce St,Japanese,49.2398062,-123.0299092,Renfrew-Collingwood
Grandt Kitchen Joyce,4963 Joyce St,Filipino,49.2396035,-123.0310206,Renfrew-Collingwood
Freshslice Pizza,5128 Joyce St,Pizza,49.2378945,-123.0319888,Renfrew-Collingwood
Amay’s House,5076 Victoria Dr,Burmese,49.23833800000001,-123.0650596,Kensington-Cedar Cottage
Wing Hing BBQ & Meat,5872 Victoria Dr,Chinese,49.2307034,-123.0653088,Victoria-Fraserview
Todak Todak,3510 Kingsway,Korean,49.23175089999999,-123.0287484,Killarney
Neighbour's Restaurant & Pizza House,6493 Victoria Dr,Pizza,49.2254343,-123.0659526,Victoria-Fraserview
Viet Mama Cafe,5118 Victoria Dr,Vietnamese,49.23796,-123.0652168,Kensington-Cedar Cottage
Western Lake Chinese Seafood Restaurant,4989 Victoria Dr,Chinese,49.239343,-123.0655693,Kensington-Cedar Cottage
Panaderia Latina Bakery,4906 Joyce St,Takeout Restaurant,49.2397739,-123.030048,Renfrew-Collingwood
Hapag Ihaw-Ihaw Restaurant,5432 Victoria Dr,Filipino,49.2355374,-123.0652908,Kensington-Cedar Cottage
McKim Wonton Mein Saga,2780 Kingsway,Chinese,49.2370618,-123.0483267,Renfrew-Collingwood
Andamiro Korean Bistro,2568 Kingsway,Korean,49.2392139,-123.0528253,Renfrew-Collingwood
Kim Phung Restaurant,5764 Victoria Dr,Vietnamese,49.2318753,-123.0653781,Victoria-Fraserview
Hoi An Cafe,5002 Victoria Dr,Vietnamese,49.2388048,-123.0651262,Kensington-Cedar Cottage
El Caracol Cafe,5190 Victoria Dr,Salvadoran,49.2375504,-123.065129,Kensington-Cedar Cottage
Bun Cha Ca Hoang Yen,5083 Victoria Dr,Vietnamese,49.2385267,-123.0655737,Kensington-Cedar Cottage
Huang's Beef Noodle Restaurant,6940 Victoria Dr,Noodle Shop,49.22084719999999,-123.0656879,Victoria-Fraserview
Hanoi Old Quarter Restaurant,5207 Victoria Dr,Vietnamese,49.2373775,-123.0656173,Kensington-Cedar Cottage
Sushi By Yuji,2252 Kingsway,Japanese,49.2424827,-123.0598354,Kensington-Cedar Cottage
Kwan Luck Restaurant,2516 Kingsway,Chinese,49.2396428,-123.0542507,Renfrew-Collingwood
Donair Land,3384 Vanness Ave,Middle Eastern,49.2384585,-123.032642,Renfrew-Collingwood
Shima-Ya Sushi,5589 Victoria Dr,Japanese,49.2337864,-123.0657079,Kensington-Cedar Cottage
Cafe Dang Anh,1C9 5186 Victoria Dr,Vietnamese,49.2376066,-123.0651502,Kensington-Cedar Cottage
Mui Ngo Gai Restaurant,2052 Kingsway,Vietnamese,49.2445738,-123.0645772,Kensington-Cedar Cottage
Little Caesars Pizza,7052 Kerr St,Pizza,49.2196088,-123.0407749,Killarney
The First Dessert,5857 Victoria Dr,Traditional restaurant,49.2310847,-123.0657996,Victoria-Fraserview
Karakoram Restaurant,6990 Victoria Dr,Pakistani,49.2204869,-123.0655142,Victoria-Fraserview
Kalvin's Restaurant,5225 Victoria Dr,Taiwanese,49.2372789,-123.0656188,Kensington-Cedar Cottage
Madras Spice Restaurant,6260 Fraser St,Indian,49.2277989,-123.0904622,Sunset
RGK BBQ 烧鹅大王,5755 Victoria Dr,Cantonese,49.2320912,-123.065792,Victoria-Fraserview
Banh Mi Saigon,5397 Victoria Dr,Vietnamese,49.235361,-123.0657601,Kensington-Cedar Cottage
Yue Ting Seafood Restaurant,2532 Kingsway,Seafood,49.23963089999999,-123.0536173,Renfrew-Collingwood
Do Chay,1392 Kingsway,Vietnamese,49.2500602,-123.0764991,Kensington-Cedar Cottage
Pink Peppercorn Seafood House,1485 Kingsway,Seafood,49.2493907,-123.0736372,Kensington-Cedar Cottage
Come Along Chinese Restaurant,2550 Kingsway,Chinese,49.2393614,-123.0531504,Renfrew-Collingwood
Vegan Pizza House,2119 Kingsway,Pizza,49.2443956,-123.0631994,Kensington-Cedar Cottage
Kokoro Ramen,5695 Victoria Dr,Japanese,49.23288119999999,-123.0657482,Kensington-Cedar Cottage
Church's Chicken,2504 Kingsway & Slocan St,Chicken,49.2399881,-123.0547464,Renfrew-Collingwood
B House Restaurant,2270 Commercial Dr,Asian,49.2644738,-123.0695334,Grandview-Woodland
La Maison Da Nang,5195 Victoria Dr,Vietnamese,49.23764660000001,-123.0658125,Kensington-Cedar Cottage
Truong Thanh Restaurant,2096 Kingsway,Vietnamese,49.24435980000001,-123.0641388,Kensington-Cedar Cottage
Top Cantonese Cuisine Restaurant,2752 Kingsway,Cantonese,49.2374664,-123.0494301,Renfrew-Collingwood
Kumare Express,5183 Joyce St,Filipino,49.2377471,-123.0326674,Renfrew-Collingwood
Mui Garden Restaurant,5797 Victoria Dr,Chinese,49.2317383,-123.0657785,Victoria-Fraserview
Grand Chinese Hot Pot,6967 Victoria Dr,Chinese,49.2208258,-123.0660325,Victoria-Fraserview
Indian Bay Leaf,4890 Victoria Dr,Indian,49.2401042,-123.0649584,Kensington-Cedar Cottage
Ashiana Tandoori,1440 Kingsway,Indian,49.2492719,-123.0745971,Kensington-Cedar Cottage
Viva Sushi Bar,CA BC Vancouver 1947 Kingsway,Japanese,49.24580479999999,-123.0660097,Kensington-Cedar Cottage
So Hyang Korean Cuisine,6345 Fraser St,Korean,49.227,-123.0909235,Sunset
Pho Thai Hang 2 Restaurant,1962 Kingsway,Pho,49.2452153,-123.0657358,Kensington-Cedar Cottage
Gia Minh Restaurant,6181 Fraser St,Vietnamese,49.2285587,-123.0908461,Sunset
Good Choice Restaurant,6007 Fraser St,Chinese,49.2299962,-123.0908133,Sunset
Sunflower Bubble Tea,5125 Joyce St,Bubble Tea,49.2380697,-123.0323807,Renfrew-Collingwood
Church's Chicken,5704 Fraser Street E 41st Ave,Fast Food,49.2325792,-123.0901337,Sunset
Golden Swan Restaurant,5380 Victoria Dr,Takeout Restaurant,49.2361844,-123.0649258,Kensington-Cedar Cottage
Thai Son Restaurant,6471 Victoria Dr,Vietnamese,49.2257118,-123.0660246,Victoria-Fraserview
La Piazza Dario,3075 Slocan St,Italian,49.2564704,-123.0504383,Renfrew-Collingwood
Pho Tan Restaurant,4598 Main St,Asian,49.2434312,-123.1011702,Riley Park
Supreme Pizza,6539 Victoria Dr,Pizza,49.2248084,-123.0659377,Victoria-Fraserview
Jun Yuan Restaurant,5728 Victoria Dr,Chinese,49.2324182,-123.0652523,Victoria-Fraserview
Chu Kiang Chinese Restaurant,6491 Knight St,Chinese,49.2256096,-123.0778425,Sunset
Sandy La Chinese Restaurant,5257 Victoria Dr,Chinese,49.2370473,-123.0656135,Kensington-Cedar Cottage
Ho Yuen Kee Restaurant,6236 Fraser St,Chinese,49.22796030000001,-123.0903879,Sunset
時代文華海鮮酒家 New Mandarin Seafood Restaurant,4650 Gladstone St,Cantonese,49.2431012,-123.0620071,Kensington-Cedar Cottage
Sun Tin Day Cafe,5137 Victoria Dr,Chinese,49.2379826,-123.0658152,Kensington-Cedar Cottage
Booster Juice,3555 Sawmill Crescent,Juice,49.20591539999999,-123.0297006,Killarney
Happy Family Restaurant,2178 Kingsway,Chinese,49.2435351,-123.0624268,Kensington-Cedar Cottage
SUSHI HUB,4855 Main St,Japanese,49.2411806,-123.1016703,Riley Park
Subway,6402 Victoria Dr,Sandwich,49.2261757,-123.0654783,Victoria-Fraserview
Nammos Estiatorio,3980 Fraser St,Greek,49.2494546,-123.0898053,Kensington-Cedar Cottage
Happy Sushi,5632 Victoria Dr,Japanese,49.2335229,-123.0653115,Kensington-Cedar Cottage
Pho Thai Hoa Restaurant,1625 Kingsway,Takeout Restaurant,49.2481213,-123.071125,Kensington-Cedar Cottage
Aling Ening Restaurant,4253 Fraser St,Filipino,49.247027,-123.0905809,Riley Park
Village Pub,7725 Champlain Cres,Pub,49.2152249,-123.030586,Killarney
Masayoshi,4376 Fraser St,Japanese,49.24579869999999,-123.0900391,Kensington-Cedar Cottage
Pin Pin Restaurant,6113 Fraser St,Filipino,49.2289761,-123.0909249,Sunset
Angel Cafe,5995 Fraser St,Chinese,49.2302215,-123.0908067,Sunset
Deutsches Haus (Vancouver Alpen Club,4875 Victoria Dr,German,49.24050039999999,-123.0656204,Kensington-Cedar Cottage
Freshslice Pizza,2889 Grandview Hwy #2,Pizza,49.258601,-123.04477,Renfrew-Collingwood
Papa Day's Pizza & Indian Cuisine,6483 Knight St,Indian,49.2257184,-123.0778229,Sunset
Freshslice Pizza,6374 Fraser St,Pizza,49.2266807,-123.0905333,Sunset
Nishiki Sushi Bar,6501 Victoria Dr,Japanese,49.2250574,-123.0659426,Victoria-Fraserview
Lucky Dragon Palace Restaurant,5822 Victoria Dr,Chinese,49.2309756,-123.0652542,Victoria-Fraserview
Dairy Queen Grill & Chill,4990 Victoria Dr,Fast Food,49.23907500000001,-123.0650184,Kensington-Cedar Cottage
Pita House Restaurant,6196 Fraser St,Greek,49.228313,-123.0904919,Sunset
Wendy's,3698 Grandview Hwy,Fast Food,49.2577852,-123.0243352,Renfrew-Collingwood
Hometown Pizza,6665 Fraser St,Italian,49.2239973,-123.0911232,Sunset
McDonald's,7289 Knight St,Fast Food,49.2183554,-123.0774499,Sunset
Tim Hortons,5698 Victoria Dr,Takeout Restaurant,49.2330736,-123.065215,Kensington-Cedar Cottage
McDonald's,5661 Victoria Dr,Fast Food,49.2331558,-123.0658793,Kensington-Cedar Cottage
Little Caesars Pizza,5927 Fraser St,Pizza,49.2307429,-123.0908638,Sunset
Slice Of Chicago Deep Dish Pizza,5812 Fraser St,Pizza,49.2318017,-123.0904133,Sunset
A&W,Joyce-Collingwood Station,American,49.2383732,-123.0317578,Renfrew-Collingwood
Kopitiam malaysia,3885 Rupert St,Malaysian,49.24988390000001,-123.0341413,Renfrew-Collingwood
Peaceful Restaurant,532 W Broadway #110,Chinese,49.2630874,-123.1160779,Fairview
Song Huong Restaurant,1613 Nanaimo St,Vietnamese,49.2701941,-123.0569066,Grandview-Woodland
Peaceful Restaurant,43 E 5th Ave,Chinese,49.2666437,-123.1037431,Mount Pleasant
KFC,2190 Kingsway,Fast Food,49.2434777,-123.0622015,Kensington-Cedar Cottage
KFC,6487 Knight St,Fast Food,49.2256662,-123.0778129,Sunset
Scandilicious,25 Victoria Dr,Scandinavian,49.2843937,-123.065746,Grandview-Woodland
Eternal Abundance Organic Market & Eatery,1025 Commercial Dr,Vegan,49.275432,-123.0698104,Grandview-Woodland
Milk & Sugar Cafe,3365 Kingsway,Bubble Tea,49.2333138,-123.0338152,Renfrew-Collingwood
Pizza Hut,6082 Fraser St,Pizza,49.2293879,-123.0903305,Sunset
Bubble World Tea House,3377 2 Kingsway #2,Bubble Tea,49.233055,-123.0330923,Renfrew-Collingwood
ChongQing on Robson,1260 Robson St,Sichuan,49.286478,-123.1281157,West End
Peaceful Restaurant,2394 W 4th Ave,Chinese,49.2680246,-123.1596199,Kitsilano
Yummy To Go,1711 Davie St,Japanese,49.2865407,-123.1404008,West End
Starbucks,2685 E 49th Ave,Coffee store,49.2251112,-123.0534421,Victoria-Fraserview
Pho Hoa + Jazen Tea - Kingsway,2257 Kingsway,Pho,49.2426317,-123.0592661,Kensington-Cedar Cottage
Kadoya Japanese Restaurant,1063 Davie St,Japanese,49.2802392,-123.1305632,West End
Edo Japan,CF Pacific Centre 701 W Georgia St,Fast Food,49.2833319,-123.1183909,Downtown
Baoguette Vietnamese Bistro,2114 W 41st Ave,Vietnamese,49.234477,-123.1561885,Kerrisdale
On Lok Restaurant & Wun Tun House,2010 E Hastings St,Chinese Noodles,49.2808579,-123.0633045,Grandview-Woodland
Peaceful Restaurant,602 Seymour St,Chinese,49.28282,-123.1154086,Downtown
Glowbal,590 W Georgia St,Fusion restaurant,49.2811002,-123.1177713,Downtown
Jenjudan - Kingsway,3490 Kingsway,Bubble Tea,49.2317297,-123.0299525,Killarney
Starbucks,3410 Kingsway,Coffee store,49.2321398,-123.0332299,Killarney
JAPADOG,530 Robson St,Hot Dog,49.28022319999999,-123.1183207,Downtown
Best Dim Sum Company,2800 E 1st Ave,Frozen food store,49.26894490000001,-123.0454708,Hastings-Sunrise
Killarney Community Centre,6260 Killarney St,Community center,49.2274099,-123.0443906,Killarney
Blarney Stone,216 Carrall St,Irish pub,49.28277199999999,-123.1039827,Downtown
Gotham Steakhouse & Cocktail Bar,615 Seymour St,Steak,49.2828825,-123.1159646,Downtown
Tim Hortons,3451 Kingsway,Cafe,49.232254,-123.0311502,Renfrew-Collingwood
Subway,1807 Burrard St #101,Sandwich,49.2696547,-123.1460958,Kitsilano
Tim Hortons,5055 Joyce St Unit 150,Cafe,49.2387706,-123.0316897,Renfrew-Collingwood
Tim Hortons,2889 E 12th Ave,Cafe,49.25941659999999,-123.0446561,Renfrew-Collingwood
Jules Bistro,216 Abbott St,French,49.28344269999999,-123.1064141,Downtown
Boundary Plaza - Lot #1871,3665 Kingsway,Parking lot,49.2326922,-123.0241837,Renfrew-Collingwood
Incognito Coffee,School Of Music 843 Seymour Street Atrium of VSO,Coffee shop,49.2803288,-123.1196634,Downtown
Tetsu Sushi Bar,775 Denman St,Japanese,49.2918295,-123.1352117,West End
