name,address,cuisine,lat,lng,region
Au Comptoir,2278 W 4th Ave,French,49.2679582,-123.1570401,Kitsilano
Trattoria,1850 W 4th Ave,Italian,49.2678378,-123.1466983,Kitsilano
Chewies Smoke & Oyster Bar Kitsilano,2201 W 1st Ave,Oyster Bar,49.27097269999999,-123.1552829,Kitsilano
East Is East,3035 W Broadway,Afghani,49.2643887,-123.1726934,Kitsilano
The Eatery,3431 W Broadway,Japanese,49.2644072,-123.180761,Kitsilano
Rocky Mountain Flatbread,1876 W 1st Ave,Pizza,49.2704812,-123.1472846,Kitsilano
Sophie's Cosmic Cafe,2095 W 4th Ave,Diner,49.2682476,-123.1526039,Kitsilano
Banana Leaf in Kitsilano,3005 W Broadway,Malaysian,49.2643597,-123.1723017,Kitsilano
Las Margaritas,1999 W 4th Ave,Takeout Restaurant,49.2683213,-123.1501626,Kitsilano
Raisu,2340 W 4th Ave,Japanese,49.26801649999999,-123.158373,Kitsilano
Nuba in Kitsilano,3116 W Broadway,Takeout Restaurant,49.2639376,-123.1745701,Kitsilano
Nook,1525 Yew St,Italian,49.2722315,-123.155229,Kitsilano
Bangkok City Cafe,2953 W 4th Ave,Thai,49.2685582,-123.1706353,Kitsilano
Chi Vegan,1935 W 4th Ave,Vegan,49.2682575,-123.1488595,Kitsilano
AnnaLena,1809 W 1st Ave,Canadian,49.2708261,-123.1467714,Kitsilano
Cafe Zen On Yew,1631 Yew St,Breakfast,49.2711495,-123.1551892,Kitsilano
Bishop's,2183 W 4th Ave,Pacific Northwest,49.2683236,-123.1547032,Kitsilano
Nelly's Grill,2061 W 4th Ave,Breakfast,49.2682215,-123.1518528,Kitsilano
La Quercia,3689 W 4th Ave,Italian,49.2687506,-123.1854023,Kitsilano
Linh Café,2836 W 4th Ave,Vietnamese,49.2682348,-123.1690502,Kitsilano
The Naam,2724 W 4th Ave,Vegetarian,49.268152,-123.1670302,Kitsilano
La Cigale Bistro,1961 W 4th Ave,French,49.2682732,-123.1494515,Kitsilano
Tractor Everyday Healthy Foods - Kitsilano,1903 W 4th Ave,Health Food,49.2682452,-123.1481382,Kitsilano
Aphrodite's Organic Cafe,3605 W 4th Ave,Organic,49.2687759,-123.1838257,Kitsilano
Oddfish Restaurant,1889 W 1st Ave,Seafood,49.270894,-123.147586,Kitsilano
Maenam,1938 W 4th Ave,Thai,49.2678675,-123.1488949,Kitsilano
Tandoori Fusion,2872 W Broadway,Indian,49.2639536,-123.169567,Kitsilano
Romer's Burger Bar,1873 W 4th Ave,Hamburger,49.26827420000001,-123.1472529,Kitsilano
Sunshine Diner,2649 W Broadway,Diner,49.2642347,-123.1654094,Kitsilano
Tera V Burger,2961 W Broadway,Fast Food,49.2642995,-123.1717091,Kitsilano
Harvest Deli,2963 W Broadway,Sandwich,49.2642872,-123.1717761,Kitsilano
Their There,2042 W 4th Ave,Takeout Restaurant,49.2679152,-123.1514302,Kitsilano
Hitoe Sushi gluten free,3347 W 4th Ave,Japanese,49.26865429999999,-123.1787084,Kitsilano
Best Falafel Kitsilano,1859 W 4th Ave,Middle Eastern,49.2683119,-123.1470673,Kitsilano
Temaki Sushi,2156 W Broadway,Japanese,49.26356149999999,-123.153939,Kitsilano
Olympia Pizza Kits,3205 W Broadway,Pizza,49.2643345,-123.1760455,Kitsilano
Kokomo,2028 Vine St,Vegan,49.2678921,-123.1573825,Kitsilano
Novo Pizzeria & Wine Bar,2118 Burrard St,Italian,49.2666178,-123.1454221,Fairview
Fiore Famiglia,2603 W 16th Ave,Italian,49.2578287,-123.1651169,Kitsilano
Iki Japanese Restaurant,2756 W Broadway,Japanese,49.26385459999999,-123.1674147,Kitsilano
White Spot Kitsilano,2518 W Broadway,Family-friendly,49.263791,-123.1632683,Kitsilano
Hi-Nippon Japanese Restaurant,2274 W 4th Ave,Japanese,49.268006,-123.1569265,Kitsilano
Charqui,1955 Cornwall Ave,Grill,49.2726202,-123.1492414,Kitsilano
BiBo Pizzeria con Cucina,1835 W 4th Ave,Pizza,49.2682628,-123.1465315,Kitsilano
Deacon's Corner Kits,3189 W Broadway,Diner,49.2643674,-123.1757517,Kitsilano
Simpatico Ristorante,2222 W 4th Ave,Greek,49.2680623,-123.1558358,Kitsilano
Peaceful Restaurant,2394 W 4th Ave,Chinese,49.2680246,-123.1596199,Kitsilano
Ramen Danbo,1833 W 4th Ave,Japanese,49.2682861,-123.146425,Kitsilano
Tacofino - Kitsilano,1909 W 4th Ave,Mexican,49.2682619,-123.1483231,Kitsilano
Connie's Cook House,2135 W 4th Ave,Chinese Delivery,49.2682704,-123.1536883,Kitsilano
Super Hiro's Restaurant,2585 W Broadway,Japanese,49.2641789,-123.1644463,Kitsilano
Maria's Taverna,2324 W 4th Ave,Greek,49.2679886,-123.158081,Kitsilano
Mi Casa Mexicana,2015 Burrard St,Mexican,49.2678281,-123.1459089,Kitsilano
The Wolf & Hound,3617 W Broadway,Irish pub,49.2644908,-123.1842908,Kitsilano
Healthy Noodle House,2716 W 4th Ave,Noodle Shop,49.2682121,-123.1668536,Kitsilano
Ah Long Sushi,2697 W Broadway,Japanese,49.2641934,-123.1662771,Kitsilano
Double DD Pizza,3510 W 4th Ave,Greek,49.2684317,-123.1821449,Kitsilano
Viet Flavour Restaurant,1822 W Broadway,Vietnamese,49.2635596,-123.1464248,Kitsilano
Taste of Thai,3629 W Broadway,Thai,49.2645956,-123.184452,Kitsilano
Octopus's Garden Restaurant,1995 Cornwall Ave,Japanese,49.27262990000001,-123.1498174,Kitsilano
Thai Basil Restaurant,2184 Cornwall Ave,Thai,49.2724915,-123.1545326,Kitsilano
Döner Kebab,1956 W 4th Ave,Middle Eastern,49.2679155,-123.1492544,Kitsilano
Little Bird Dim Sum + Craft Beer,2958 W 4th Ave,Chinese,49.2683013,-123.1715524,Kitsilano
Mr. Red Cafe,2680 W Broadway,Vietnamese,49.2638617,-123.1658286,Kitsilano
Jun Sushi Japanese Restaurant,3309 W Broadway,Japanese,49.2645071,-123.1783067,Kitsilano
Sazon Mexican Cuisine,2698 W 4th Ave,Mexican,49.268204,-123.166196,Kitsilano
Great Wall Mongolian B.B.Q,2897 W Broadway,Mongolian BBQ,49.2642309,-123.1703606,Kitsilano
RedBeef Noodle Kitchen,1947 W 4th Ave,Taiwanese,49.2682489,-123.1490825,Kitsilano
Hundy,2042-B W 4th Ave,Hamburger,49.2679152,-123.1514302,Kitsilano
Dijon Kitchen - Vietnamese Street Food,3648 W Broadway,Lunch,49.2641979,-123.1848604,Kitsilano
Vera's Burger Shack,1925 Cornwall Ave,Hamburger,49.2725945,-123.148281,Kitsilano
Yuwa Japanese Cuisine,2775 W 16th Ave,Japanese,49.2579886,-123.1678342,Kitsilano
Lucky Taco,1685 Yew St,Mexican,49.2710205,-123.1551751,Kitsilano
My Forno Pizza,1630 W Broadway,Pizza,49.2635028,-123.1417719,Fairview
Nat's New York Pizzeria,2684 W Broadway,Pizza,49.2638609,-123.1659229,Kitsilano
Sahel Market & Restaurant,3207 W Broadway,Persian,49.2643375,-123.1762379,Kitsilano
