name,address,cuisine,lat,lng,region
Mirchi Restaurant,7964 Granville St,Indian,49.2135408,-123.1401398,Marpole
Ipoh Malay Cuisine,1316 W 73rd Ave,Malaysian,49.2040797,-123.1352609,Marpole
Applause Japanese Restaurant,8269 Oak St,Japanese,49.2109319,-123.1305183,Marpole
Talay Thai Restaurant,8369 Granville St,Thai,49.2107897,-123.140745,Marpole
Cafe Mai-Mai,8636 Granville St,Pho,49.2080893,-123.1400808,Marpole
Chuan Yue,8329 Oak St,Chinese,49.2104311,-123.1305624,Marpole
Sushi Wow,8273 Granville St,Japanese,49.2116601,-123.1407641,Marpole
Sushi King House,8176 Granville St,Japanese,49.2116627,-123.1401882,Marpole
Jasmine Flower Shanghai Cuisine,8532 Granville St,Shanghainese,49.2092328,-123.1401842,Marpole
Red Star Seafood Restaurant,8298 Granville St,Chinese,49.2111772,-123.1401991,Marpole
Dublin Crossing - Vancouver,466 SW Marine Dr,Irish pub,49.2100079,-123.1157887,Marpole
Freshslice Pizza,8618 Granville St,Pizza,49.2082081,-123.1401279,Marpole
Panago Pizza,8333 Granville St,Pizza,49.2111805,-123.1408436,Marpole
Pho Ever,8178 Granville St,Pho,49.2117182,-123.1399784,Marpole
Wang's Taiwan Beef Noodle House,8390 Granville St,Taiwanese,49.21020559999999,-123.1400582,Marpole
Dylan's,561 W 57th Ave,Lunch,49.21942550000001,-123.1180213,Oakridge
Thai Son Restaurant,1450 SW Marine Dr,Vietnamese,49.2042456,-123.1395324,Marpole
Tai Tung Chinese Seafood Restaurant,8012 Granville St,Chinese,49.21290219999999,-123.1400916,Marpole
Neptune Palace Seafood Restaurant,470 SW Marine Dr Unit 308,Chinese,49.21004800000001,-123.116603,Marpole
Parm'z Pizza Factory,8319 Oak St,Pizza,49.2105495,-123.1304717,Marpole
Wo's Chinese Restaurant,8166 Main St,Chinese,49.21142099999999,-123.1017591,Sunset
Solo Pasta,8620 Granville St,Italian,49.2081592,-123.1401636,Marpole
Friends Cafe,1750 W 75th Ave,Diner,49.2068314,-123.1486499,Marpole
A&W Canada,468 SW Marine Dr,Hamburger,49.209364,-123.116783,Marpole
Neptune BBQ House 鳳鳴燒臘 (Vancouver,8175 Granville St,Chinese,49.21193969999999,-123.1408327,Marpole
别不同茶餐厅 Ming Tak Hong Kong Style Restaurant,8363 Granville St,Chinese,49.2108334,-123.1407047,Marpole
Fraserview Tandoori House,7271 Main St,Indian,49.2187876,-123.1021848,Sunset
Freshslice Pizza,498 SW Marine Dr,Pizza,49.2099567,-123.1168429,Marpole
McDonald's,830 SW Marine Dr,Fast Food,49.20607,-123.1255132,Marpole
Hi Five Chicken,203 SE Marine Dr,Fast Food,49.2113019,-123.1018701,Sunset
Panago Pizza,120-511 SW Marine Dr,Pizza,49.2100905,-123.1178353,Marpole
Ikura Sushi,8646 Granville St,Japanese,49.2079003,-123.1403017,Marpole
Golden Pair Vietnamese Asian Cuisine,8167 Granville St,Vietnamese,49.211983,-123.140896,Marpole
Subway,474 SW Marine Dr,Sandwich,49.20986019999999,-123.1165335,Marpole
Vancouver Veggie Pizza,7229 Main St,Pizza,49.2189956,-123.1020791,Sunset
Wendy's,10 SE Marine Dr,Fast Food,49.21188730000001,-123.1061557,Sunset
朱老弟麻辣烫香锅Spicy Soup Hot Pot & 一仙水果茶 Yixian Fruit Tea,8028 Granville St,Chinese,49.2128045,-123.1401193,Marpole
Best Quality Sweets & Rest,7260 Main St,Vegetarian,49.21879999999999,-123.101596,Sunset
惊叹麻辣烫 Amazing Spicy Hotpot,8542 Granville St,Chinese,49.2090918,-123.1401744,Marpole
White Spot (Coast Hotel,1041 SW Marine Dr,Family-friendly,49.2048294,-123.130886,Marpole
McDonald's,160 SW Marine Dr,Fast Food,49.2118921,-123.1091875,Marpole
Pizza Hut,8155 Granville St,Pizza,49.2121552,-123.1409273,Marpole
OutTakes Backstage Bistro,489 Interurban Way,Snack bar,49.2097345,-123.1162884,Marpole
Subway,644 SW Marine Dr Unit 101,Sandwich,49.2085891,-123.1197921,Marpole
Sushi Bar Ajisai,2081 W 42nd Ave,Japanese,49.233934,-123.1536816,Kerrisdale
Hometown Pizza,6665 Fraser St,Italian,49.2239973,-123.0911232,Sunset
Canan 2 For 1 Pizza,7270 Main St,Pizza,49.2187363,-123.10141,Sunset
Pink Elephant Thai,434 SW Marine Dr,Thai,49.2101841,-123.1161936,Marpole
Dosa Corner,8248 Fraser St,Indian,49.2097506,-123.0908287,Sunset
Sushi Mura,6485 Oak St,Japanese,49.2268452,-123.1287853,Oakridge
Kuy's Lechon,660 W 71st Ave,Filipino,49.2072015,-123.1196878,Marpole
Southern Delicacy,6055 West Blvd,Chinese,49.23135,-123.1559366,Kerrisdale
Tandoori King Restaurant (Old,8061 Fraser Street E 65th Ave,Indian,49.2119569,-123.0915718,Sunset
Burrata Pizzeria,2104 W 41st Ave,Pizza,49.2344827,-123.1559335,Kerrisdale
Subway,8347 Granville St,Sandwich,49.211083,-123.1406811,Marpole
Bufala Kerrisdale,5395 West Blvd,Pizza,49.2374814,-123.1556462,Arbutus-Ridge
