name,address,cuisine,lat,lng,region
Les Faux Bourgeois,663 E 15th Ave,French,49.2573518,-123.0896297,Mount Pleasant
Mangia Cucina & Bar,2211 Manitoba St,Italian,49.265396,-123.1069483,Mount Pleasant
Italia Bella Bar & Grill,215 Kingsway,Italian,49.26165719999999,-123.0980671,Mount Pleasant
The Wallflower,2420 Main St,Diner,49.2635552,-123.1007275,Mount Pleasant
Burgoo,3096 Main St,Bistro,49.2576348,-123.1008393,Mount Pleasant
Argo Cafe,1836 Ontario St,Diner,49.268574,-123.104545,Mount Pleasant
Maizal RMF,2815 Main St,Mexican,49.2599696,-123.1014001,Mount Pleasant
Fassil Restaurant,736 E Broadway,Ethiopian,49.2622223,-123.0882139,Mount Pleasant
Osteria Savio Volpe,615 Kingsway,Italian,49.2574913,-123.0909344,Mount Pleasant
The Whip Restaurant & Gallery,209 6th Avenue East,Takeout Restaurant,49.26560869999999,-123.1001642,Mount Pleasant
Sal y Limón,701 Kingsway #5,Mexican,49.2567896,-123.089226,Mount Pleasant
Los Cuervos Taqueria & Cantina,603 Kingsway,Mexican,49.2574346,-123.0911227,Mount Pleasant
Sprezzatura Restaurant,265 Kingsway,Italian,49.2612756,-123.0978145,Mount Pleasant
Papa's Gourmet Pizza,3030 Main St,Pizza,49.258249,-123.1008873,Mount Pleasant
Toshi Sushi,181 E 16th Ave,Japanese,49.25671029999999,-123.1019284,Mount Pleasant
Shiro Japanese,3096 Cambie St,Japanese,49.2579297,-123.1146171,Mount Pleasant
Burdock & Co,2702 Main St,Small Plates,49.260986,-123.100708,Mount Pleasant
Marulilu Café,451 W Broadway,Japanese,49.2633418,-123.1141032,Mount Pleasant
Como Taperia,201 E 7th Ave,Spanish,49.2647398,-123.1006238,Mount Pleasant
Budgies Burritos,44 Kingsway,Vegetarian,49.263639,-123.1004686,Mount Pleasant
Lucy's Eastside Diner,2708 Main St,Diner,49.2608828,-123.1008169,Mount Pleasant
Seiza Japanese Cuisine,3068 Main St,Japanese,49.2578688,-123.1008956,Mount Pleasant
Ignite Pizzeria,2588 Main St,Pizza,49.26213,-123.1007895,Mount Pleasant
Martini's Whole Wheat Pizza,151 Broadway W,Pizza,49.26322649999999,-123.1082126,Mount Pleasant
Carp Sushi + Bowl,2516 Prince Edward St,Japanese,49.2623104,-123.095829,Mount Pleasant
Sushiyama,371 E Broadway,Japanese,49.2630221,-123.0972043,Mount Pleasant
Nirvana Restaurant,2313 Main St,Indian,49.2643576,-123.1012003,Mount Pleasant
Zocalo Modern Cantina,646 Kingsway,Pan-Latin restaurant,49.256925,-123.0908729,Mount Pleasant
The Basic,3048 Main St,Diner,49.2580108,-123.100896,Mount Pleasant
Hime Sushi,315 E Broadway,Japanese,49.263087,-123.09876,Mount Pleasant
Pizza 604,2444 Main St,Pizza,49.2633014,-123.100714,Mount Pleasant
AJ's Brooklyn Pizza Joint,325 E Broadway,Pizza,49.26296610000001,-123.0983789,Mount Pleasant
Uma Sushi,450 W 8th Ave,Japanese,49.2638104,-123.1137727,Mount Pleasant
Peaceful Restaurant,43 E 5th Ave,Chinese,49.2666437,-123.1037431,Mount Pleasant
The Firewood Café,3004 Cambie St,Pizza,49.25852740000001,-123.1148738,Mount Pleasant
Tacofino Ocho,8 E 5th Ave,Mexican,49.2662163,-123.1044144,Mount Pleasant
Nook,195 W 2nd Ave,Italian,49.2694803,-123.1092073,Mount Pleasant
Chutney Villa South Indian Cuisine,147 E Broadway,Indian,49.2631923,-123.1018777,Mount Pleasant
The Lion's Den Cafe,651 E 15th Ave,Caribbean,49.2574057,-123.0899468,Mount Pleasant
Klasik Inasal and Noodle Express,650 E Broadway,Filipino,49.2623212,-123.089898,Mount Pleasant
Pho Goodness (Main Street,3079 Main St,Vietnamese,49.2577224,-123.1014771,Mount Pleasant
Kaori Izakaya,3043 Main St,Japanese,49.2579913,-123.1014181,Mount Pleasant
The Flying Pig Olympic Village,127 W 2nd Ave,Canadian,49.2694598,-123.1074993,Mount Pleasant
Peaceful Restaurant,532 W Broadway #110,Chinese,49.2630874,-123.1160779,Fairview
Poke Bar,280 E Broadway,Hawaiian,49.26275099999999,-123.0997253,Mount Pleasant
Vera's Burger Shack,2922 Main St,Hamburger,49.2589048,-123.1008504,Mount Pleasant
Sushi California,388 W Broadway,Japanese,49.2630257,-123.1124925,Mount Pleasant
Jitlada Thai Restaurant,118 W 6th Ave,Thai,49.265512,-123.1075603,Mount Pleasant
El Camino's,3250 Main St,Latin American,49.25617039999999,-123.1010147,Riley Park
Heritage Asian Eatery,382 W Broadway,Asian,49.262908,-123.1124017,Mount Pleasant
Straight Outta Brooklyn NYC Pizzeria,701 Kingsway,Pizza,49.2567896,-123.089226,Mount Pleasant
Thai Son Restaurant,373 E Broadway,Vietnamese,49.2629861,-123.0967649,Mount Pleasant
Westcoast Poké,463 W 8th Ave,Seafood,49.264087,-123.1138642,Mount Pleasant
Kwong Chow Congee & Noodle House,3163 Main St,Cantonese,49.2570141,-123.1014822,Mount Pleasant
Vij's Restaurant,3106 Cambie St,Indian,49.2575375,-123.1147883,Mount Pleasant
Manna Sushi,6 E 2nd Ave,Japanese,49.2690952,-123.1044923,Mount Pleasant
Pizza Garden,3033 Main St,Pizza,49.2581219,-123.1014093,Mount Pleasant
Congee Noodle House,141 E Broadway,Chinese,49.263084,-123.1020899,Mount Pleasant
Hyde Restaurant & Lounge,2960 Main St,Grill,49.2586779,-123.1009464,Mount Pleasant
Pho Quynh Express,89 W 2nd Ave,Takeout Restaurant,49.2694397,-123.1061413,Mount Pleasant
Red Burrito,2328 Cambie St,Mexican,49.2645544,-123.1144752,Mount Pleasant
Marutama Gaiden,2858 Main St,Japanese,49.25955829999999,-123.100899,Mount Pleasant
Pizza Pizza,311 E Broadway,Pizza,49.2630472,-123.0987406,Mount Pleasant
Ophelia,165 W 2nd Ave,Mexican,49.2694703,-123.1080946,Mount Pleasant
Freshslice Pizza,183 E Broadway,Pizza,49.2630214,-123.1012976,Mount Pleasant
Sing Sing,2718 Main St,Beer hall,49.2607188,-123.1007335,Mount Pleasant
Rocanini Coffee Roasters,127 W 5th Ave,Takeout Restaurant,49.2666505,-123.1076901,Mount Pleasant
Chipotle Mexican Grill,532 Broadway W Unit 100,Mexican,49.2630941,-123.116148,Fairview
Dairy Queen Grill & Chill,2888 Main St,Fast Food,49.2594249,-123.1007522,Mount Pleasant
The Five Point Restaurant & Pub,3124 Main St,Pub,49.2571085,-123.1009123,Mount Pleasant
Menya Raizo,401 W Broadway,Japanese,49.2633699,-123.1130696,Mount Pleasant
Anh and Chi,3388 Main St,Vietnamese,49.2549852,-123.1008596,Riley Park
Nha Trang Vietnamese Beef Noodle Soup,720 E Broadway,Vietnamese,49.2622138,-123.0885161,Mount Pleasant
A&W Canada,467 W Broadway,Hamburger,49.2633988,-123.1144605,Mount Pleasant
Freshii,561 W Broadway,Health Food,49.2634909,-123.1170326,Fairview
Donair Spot,806 W Broadway,Kebab shop,49.2630496,-123.1222281,Fairview
Blue Water Cafe,1095 Hamilton St,Seafood,49.276155,-123.1211291,Downtown
Nikkyu Japanese Restaurant,3302 Main St,Japanese,49.255567,-123.101019,Riley Park
The Acorn Restaurant,3995 Main St,Vegetarian,49.2495953,-123.1013533,Riley Park
De Dutch Pannekoek House,410 W 2nd Ave,Breakfast,49.2671356,-123.1131742,Mount Pleasant
The Fish Counter,3825 Main St,Seafood,49.2507804,-123.1012704,Riley Park
Hot Delivery Chinese Food,3002 Cambie St,Chinese Delivery,49.2585541,-123.1148653,Mount Pleasant
Pizzeria Farina,915 Main St,Pizza,49.2765892,-123.1000905,Downtown
Kishimoto Japanese Restaurant,2054 Commercial Dr,Japanese,49.2667364,-123.0694112,Grandview-Woodland
Uncle Fatih's Pizza - CAMBIE,477 W 8th Ave,Pizza,49.2640751,-123.1140519,Mount Pleasant
Viet House,3420 Cambie St,Vietnamese,49.2546251,-123.1149973,Riley Park
The General Public Sushi Lodge,3289 Main St,Japanese,49.2558553,-123.1015339,Riley Park
A&W Canada,1150 Station St,Hamburger,49.2737759,-123.097836,Strathcona
Wendy's,480 W 8th Ave,Fast Food,49.2636949,-123.1144896,Mount Pleasant
Whisk Matcha Cafe,39 Kingsway,Cafe,49.2639097,-123.1000823,Mount Pleasant
Chickpea Restaurant,4298 Main St,Vegan,49.2465536,-123.1010436,Riley Park
Phnom Penh Restaurant,244 E Georgia St,Cambodian,49.2783154,-123.0981947,Strathcona
Pür & Simple,299 E 10th Ave,Breakfast,49.262108,-123.0992918,Mount Pleasant
MeeT on Main,4288 Main St,Vegetarian,49.246713,-123.1008309,Riley Park
Trilussa Pizza & Pane,4363 Main St,Pizza,49.2464617,-123.1014422,Riley Park
Cafe Medina,780 Richards St,Brunch,49.280408,-123.1168648,Downtown
Rodney's Oyster House,1228 Hamilton St,Oyster Bar,49.2743299,-123.1231956,Downtown
The Arbor Restaurant,3941 Main St,Vegetarian,49.24995089999999,-123.101352,Riley Park
Hon's Wonton House - Olympic Village,25 E 2nd Ave,Chinese,49.2695381,-123.1041682,Mount Pleasant
33 Brewing Experiment,25 W 8th Ave,Brewpub,49.2640094,-123.1055426,Mount Pleasant
Do Chay,1392 Kingsway,Vietnamese,49.2500602,-123.0764991,Kensington-Cedar Cottage
Nammos Estiatorio,3980 Fraser St,Greek,49.2494546,-123.0898053,Kensington-Cedar Cottage
Marcello Ristorante & Pizzeria,1404 Commercial Dr,Italian,49.2720501,-123.0694232,Grandview-Woodland
Twisted Fork Bistro,213 Carrall St,Brunch,49.2831834,-123.1044482,Downtown
Sushi Loku,592 E Broadway,Japanese,49.262358,-123.091274,Mount Pleasant
Pink Peppercorn Seafood House,1485 Kingsway,Seafood,49.2493907,-123.0736372,Kensington-Cedar Cottage
Saola,2419 Main St,Asian,49.2633297,-123.1012681,Mount Pleasant
Hawkers Delight Deli,4127 Main St,Malaysian,49.2483626,-123.101467,Riley Park
Sushi Main,3710 Main St,Japanese,49.25186189999999,-123.100658,Riley Park
PiDGiN Restaurant,350 Carrall St,Asian,49.28188100000001,-123.104145,Downtown
Ask For Luigi Restaurant,305 Alexander St,Italian,49.2842,-123.0977177,Strathcona
Joon's Kitchen,3093 Oak St,Korean,49.2580519,-123.1271478,Fairview
Zakkushi Dining on Main,4075 Main St,Izakaya,49.2490989,-123.1015353,Riley Park
Nuba in Gastown,207 W Hastings St,Takeout Restaurant,49.28278599999999,-123.1097021,Downtown
Glory Juice Co.,78 E 2nd Ave,Cafe,49.269065,-123.102959,Mount Pleasant
Tasty Indian Bistro | Yaletown,1261 Hamilton St,Indian,49.2742853,-123.1239474,Downtown
Grand View Szechuan Restaurant,4181 Fraser St,Sichuan,49.2478619,-123.0903444,Riley Park
Sun Sui Wah,3888 Main St,Chinese,49.2504277,-123.1006395,Riley Park
A&W Canada,777 W Broadway,Hamburger,49.2635975,-123.1213494,Fairview
Nam Nam Noodle,4191 Main St,Chinese Noodles,49.2481699,-123.1013299,Riley Park
La Grotta Del Formaggio,1791 Commercial Dr,Deli,49.26884889999999,-123.0699837,Grandview-Woodland
Sushi Ville,2068 Commercial Dr,Japanese,49.2663588,-123.0695003,Grandview-Woodland
Sawasdee Thai Restaurant,4250 Main St,Thai,49.2470563,-123.1008276,Riley Park
Food Hall by ZUBU,159 W 4th Ave,Japanese,49.2675831,-123.1086523,Mount Pleasant
Pho Extreme Xe Lua,457 W Broadway,Pho,49.2634031,-123.1143093,Mount Pleasant
A&W Canada,1399 Main St #110,Hamburger,49.27313729999999,-123.10036,Downtown
Mali Thai Restaurant,2710 Main St,Thai,49.26085519999999,-123.100867,Mount Pleasant
Nuba in Yaletown,508 Davie St,Lebanese,49.2759072,-123.1246107,Downtown
Matchstick Fraser Street,639 E 15th Ave,Cafe,49.2572938,-123.0902815,Mount Pleasant
Sushi TonTon,4018 Cambie St,Japanese,49.2498517,-123.1150166,Riley Park
Domino's Pizza,585 Broadway E,Pizza,49.2626839,-123.0916553,Mount Pleasant
CHI HOUSE,4063 Main St,Sichuan,49.2492976,-123.101588,Riley Park
Campagnolo Upstairs,1020 Main St second floor,Bar,49.2754049,-123.0997124,Strathcona
KFC,795 E Broadway,Fast Food,49.2626796,-123.0874839,Mount Pleasant
Billy Button Dessert Bar,144 E Broadway,Dessert,49.262807,-123.1017956,Mount Pleasant
McDonald's,1527 Main St,Fast Food,49.2719008,-123.1006967,Mount Pleasant
Chipotle Mexican Grill,818 Howe St,Mexican,49.28151250000001,-123.1210674,Downtown
Five Guys,635 Robson St,Hamburger,49.2810806,-123.119066,Downtown
Triple O's CBC,700 Hamilton St #10,Hamburger,49.2796085,-123.1143842,Downtown
The Federal Store Luncheonette & Grocer,2601 Quebec St,Cafe,49.2619295,-123.1032115,Mount Pleasant
Ignite Pizzeria Express,508 W Cordova St,Pizza,49.28473899999999,-123.111158,Downtown
Uncle Abe's,3032 Main St,Bar,49.2581133,-123.1008261,Mount Pleasant
Kranky Cafe,216 E 4th Ave,Coffee shop,49.2671837,-123.0998803,Mount Pleasant
Freshii,1291 Howe St,Health Food,49.2769971,-123.1286647,Downtown
Afghan Horsemen Restaurant,1833 Anderson St #202,Afghani,49.2693903,-123.1389283,Fairview
Trafiq,4216 Main St,Bakery,49.2473463,-123.1007201,Riley Park
Glowbal,590 W Georgia St,Fusion restaurant,49.2811002,-123.1177713,Downtown
Field & Social,415 Dunsmuir St,Salad,49.2820832,-123.1136857,Downtown
Peaceful Restaurant,602 Seymour St,Chinese,49.28282,-123.1154086,Downtown
Joe Fortes Seafood & Chop House,777 Thurlow St,Seafood,49.2849406,-123.1247733,West End
Thida Thai Restaurant,1193 Davie St,Thai,49.2817776,-123.1329753,West End
Western Lake Chinese Seafood Restaurant,4989 Victoria Dr,Chinese,49.239343,-123.0655693,Kensington-Cedar Cottage
The Gluten Free Epicurean,633 E 15th Ave,Bakery,49.2573055,-123.0905028,Mount Pleasant
A&W Canada,555 12th Ave W Unit 25,Hamburger,49.2609881,-123.1164951,Fairview
Subway,615 E Broadway #8,Sandwich,49.2626839,-123.0905008,Mount Pleasant
Triple O's,800 Griffiths Way,Fast Food,49.2777744,-123.1085205,Downtown
Long's Noodle House,4853 Main St,Shanghainese,49.2412498,-123.1016585,Riley Park
Aperture Coffee Bar,W Broadway,Coffee shop,49.26376459999999,-123.14866,Kitsilano
Toko Foods Ltd,223 W 7th Ave,Food manufacturer,49.2650339,-123.1101477,Mount Pleasant
Coffee Roastery Modus,112 W Broadway,Coffee shop,49.2629228,-123.1072618,Mount Pleasant
Fife Bakery,64 E 3rd Ave,Bakery,49.26803630000001,-123.1032466,Mount Pleasant
Zefferelli's,1136 Robson St 2nd Floor,Italian,49.28502719999999,-123.126053,West End
Cartems Donuts,2190 Main St,Donuts,49.26562329999999,-123.1006429,Mount Pleasant
Our Town Cafe,255 E Broadway,Cafe,49.2630829,-123.0999902,Mount Pleasant
Guu with Garlic,1698 Robson St,Izakaya,49.2902019,-123.133953,West End
Boston Pizza,808 Beatty St,Pizza,49.2771786,-123.1140883,Downtown
