name,address,cuisine,lat,lng,region
Café FortyOne,5750 Oak St,Kosher,49.2334656,-123.1276148,Oakridge
White Spot Oakridge,613 650 W 41st Ave A,Family-friendly,49.2333095,-123.1175731,Oakridge
Hikari Cafe,5701 Granville St,Japanese,49.2340907,-123.14012,Kerrisdale
Dylan's,561 W 57th Ave,Lunch,49.21942550000001,-123.1180213,Oakridge
Nava Creative Kosher Cuisine,950 W 41st Ave,Cafe,49.23344280000001,-123.1267225,Oakridge
Sushi Mura,6485 Oak St,Japanese,49.2268452,-123.1287853,Oakridge
Samurai Sushi House,5888 Cambie St,Japanese,49.2318904,-123.1159603,Oakridge
Yu Xiang Yuan Restaurant,6591 Fraser St,Chinese,49.2246746,-123.0910083,Sunset
Sushi & Co,6520 Fraser St,Japanese,49.22520799999999,-123.0903776,Sunset
A&W Canada,6491 Oak St,Hamburger,49.22676269999999,-123.1289195,Oakridge
Peninsula (Oakridge) Seafood Restaurant,650 W 41st Ave,Seafood,49.2320456,-123.1186835,Oakridge
Fraserview Tandoori House,7271 Main St,Indian,49.2187876,-123.1021848,Sunset
Freshii,6541 Main St,Health Food,49.2251807,-123.1018668,Sunset
Van. Tea Cafe,5688 Main St,Chinese,49.2332905,-123.1010171,Riley Park
Kyuzo Japanese Restaurant,5701 Granville St #112,Japanese,49.2338988,-123.1400315,Kerrisdale
Hometown Pizza,6665 Fraser St,Italian,49.2239973,-123.0911232,Sunset
Shoom Restaurant,6555 Fraser St,Chinese,49.224886,-123.091114,Sunset
So Hyang Korean Cuisine,6345 Fraser St,Korean,49.227,-123.0909235,Sunset
Tandoori Oven,6452 Main St,Indian,49.2261634,-123.1013709,Sunset
Lian Hong Chinese Bakery,6400 Fraser St,Chinese,49.2264827,-123.0903596,Sunset
Pho Hong on Fraser,6348 Fraser St,Vietnamese,49.2268627,-123.0903511,Sunset
Subway,6471 Oak St,Sandwich,49.2269357,-123.128909,Oakridge
Madras Spice Restaurant,6260 Fraser St,Indian,49.2277989,-123.0904622,Sunset
Lee Loy BBQ Meat Co Ltd,6340 Fraser St,Barbecue,49.2269313,-123.0904264,Sunset
SAMURAI SUSHI ON FRASER,6428 Fraser St,Japanese,49.22622579999999,-123.0905627,Sunset
