name,address,cuisine,lat,lng,region
The Acorn Restaurant,3995 Main St,Vegetarian,49.2495953,-123.1013533,Riley Park
The Fish Counter,3825 Main St,Seafood,49.2507804,-123.1012704,Riley Park
MeeT on Main,4288 Main St,Vegetarian,49.246713,-123.1008309,Riley Park
Trilussa Pizza & Pane,4363 Main St,Pizza,49.2464617,-123.1014422,Riley Park
East is East,4433 Main St,Organic,49.2453531,-123.1014848,Riley Park
Hawkers Delight Deli,4127 Main St,Malaysian,49.2483626,-123.101467,Riley Park
Rocky Mountain Flatbread Main Street,4186 Main St,Pizza,49.2478042,-123.1007361,Riley Park
Chickpea Restaurant,4298 Main St,Vegan,49.2465536,-123.1010436,Riley Park
Sawasdee Thai Restaurant,4250 Main St,Thai,49.2470563,-123.1008276,Riley Park
Indian Junction Bar & Grill,3364 Cambie St,Indian,49.25525769999999,-123.1147778,Riley Park
Cambie Vietnamese Restaurant,4136 Main St,Vietnamese,49.24832550000001,-123.1008158,Riley Park
Pizza Carano,4241 Fraser St,Pizza,49.24724699999999,-123.0904024,Riley Park
The Shameful Tiki Room,4362 Main St,Polynesian restaurant,49.2461036,-123.1010655,Riley Park
El Camino's,3250 Main St,Latin American,49.25617039999999,-123.1010147,Riley Park
Old Bird,3950 Main St,Chinese,49.2498714,-123.100783,Riley Park
Bon Cafe,4909 Main St,Pho,49.2403618,-123.1017427,Riley Park
Pho Tan Restaurant,4598 Main St,Asian,49.2434312,-123.1011702,Riley Park
Helen's Grill,4102 Main St,Diner,49.2486433,-123.1007253,Riley Park
Anh and Chi,3388 Main St,Vietnamese,49.2549852,-123.1008596,Riley Park
Autostrada Osteria Main Street,4811 Main St,Italian,49.2417397,-123.1016277,Riley Park
Viet House,3420 Cambie St,Vietnamese,49.2546251,-123.1149973,Riley Park
Toshi Sushi,181 E 16th Ave,Japanese,49.25671029999999,-123.1019284,Mount Pleasant
Bob Likes Thai Food.,3755 Main Street @ E 21st Ave,Thai,49.2513423,-123.101333,Riley Park
Sushi Mania,3851 Main St,Japanese,49.2506311,-123.1013081,Riley Park
