name,address,cuisine,lat,lng,region
Sorella,3369 Cambie St,Italian,49.2553882,-123.1154401,South Cambie
Kim Express,952 W King Edward Ave,Takeout Restaurant,49.2485223,-123.1254486,South Cambie
Indian Junction Bar & Grill,3364 Cambie St,Indian,49.25525769999999,-123.1147778,Riley Park
Corduroy Pie Company,758 W 16th Ave,Pizza,49.2569247,-123.1212866,South Cambie
Osaka Sushi,960 W King Edward Ave,Japanese,49.2485394,-123.1255618,South Cambie
Tokyo John Sushi,3365 Cambie St,Japanese,49.2554431,-123.1153495,South Cambie
Viet House,3420 Cambie St,Vietnamese,49.2546251,-123.1149973,Riley Park
Café Gloucester,3338 Cambie St,Chinese,49.2555333,-123.1147493,Riley Park
Sushi TonTon,4018 Cambie St,Japanese,49.2498517,-123.1150166,Riley Park
Sabra Kosher Bakery & Restaurant Ltd,3844 Oak St,Kosher,49.2513234,-123.1272918,South Cambie
Corner 23,4008 Cambie St,Taiwanese,49.2499562,-123.1150368,Riley Park
Flying Wedge Pizza Co,3357 Cambie St,Pizza,49.2555016,-123.1154329,South Cambie
Landmark Hotpot House,4023 Cambie St,Chinese,49.2498405,-123.1155811,South Cambie
City 1 Cafe,954 W King Edward Ave,Singaporean,49.2483912,-123.1254967,South Cambie
Shiro Japanese,3096 Cambie St,Japanese,49.2579297,-123.1146171,Mount Pleasant
Dutch Wooden Shoe Cafe,3292 Cambie St,Dutch,49.2560013,-123.1148992,Riley Park
Hachibei,778 W 16th Ave,Japanese,49.256928,-123.1215673,South Cambie
Vij's Restaurant,3106 Cambie St,Indian,49.2575375,-123.1147883,Mount Pleasant
Sushi 7,3488 Cambie St,Japanese,49.25417290000001,-123.1148366,Riley Park
Mandarin Hong Kong Cafe 文華餐廳,904 W King Edward Ave,Chinese,49.248413,-123.1251604,South Cambie
Thai Away Home,3315 Cambie St,Thai,49.2557391,-123.1153778,South Cambie
Pho Xe Lua 24,3346 Cambie St,Pho,49.2554106,-123.1149547,Riley Park
Rayhan,3170 Oak St,Mediterranean,49.2574073,-123.1269061,Fairview
Zaccary's Pizza,3150 Oak St,Pizza,49.2574657,-123.1270033,Fairview
The Firewood Café,3004 Cambie St,Pizza,49.25852740000001,-123.1148738,Mount Pleasant
Cambie Vietnamese Restaurant,4136 Main St,Vietnamese,49.24832550000001,-123.1008158,Riley Park
Indian Roti Kitchen,2961 Cambie St,Indian,49.2590241,-123.1153551,Fairview
White Spot Oakridge,613 650 W 41st Ave A,Family-friendly,49.2333095,-123.1175731,Oakridge
Breakfast Table,3014 Granville St,Breakfast,49.258568,-123.1385172,Fairview
Marulilu Café,451 W Broadway,Japanese,49.2633418,-123.1141032,Mount Pleasant
Trilussa Pizza & Pane,4363 Main St,Pizza,49.2464617,-123.1014422,Riley Park
Peaceful Restaurant,532 W Broadway #110,Chinese,49.2630874,-123.1160779,Fairview
The Fish Counter,3825 Main St,Seafood,49.2507804,-123.1012704,Riley Park
Whitewood Coffee,3208 Oak St,Coffee store,49.2567937,-123.1268805,South Cambie
Burgoo,3096 Main St,Bistro,49.2576348,-123.1008393,Mount Pleasant
Bin 4 Burger Lounge,2996 Granville St,Hamburger,49.2590704,-123.1384745,Fairview
Chickpea Restaurant,4298 Main St,Vegan,49.2465536,-123.1010436,Riley Park
Tropika,2975 Cambie St,Malaysian,49.2589021,-123.1153024,Fairview
Rocky Mountain Flatbread Main Street,4186 Main St,Pizza,49.2478042,-123.1007361,Riley Park
Toshi Sushi,181 E 16th Ave,Japanese,49.25671029999999,-123.1019284,Mount Pleasant
Sushi Mania,3851 Main St,Japanese,49.2506311,-123.1013081,Riley Park
Seiza Japanese Cuisine,3068 Main St,Japanese,49.2578688,-123.1008956,Mount Pleasant
Subway,3890 Oak St,Sandwich,49.25094379999999,-123.1270301,South Cambie
De Dutch Pannekoek House,3192 Oak St,Breakfast,49.25726419999999,-123.1270022,Fairview
The Stable House Bistro,1520 W 13th Ave,Bistro,49.259699,-123.139316,Fairview
East is East,4433 Main St,Organic,49.2453531,-123.1014848,Riley Park
Raga Restaurant,1177 W Broadway,Indian,49.2637614,-123.1305469,Fairview
MeeT on Main,4288 Main St,Vegetarian,49.246713,-123.1008309,Riley Park
Heirloom Vegetarian Restaurant,1509 W 12th Ave,Vegetarian,49.2609126,-123.1391689,Fairview
El Camino's,3250 Main St,Latin American,49.25617039999999,-123.1010147,Riley Park
Long's Noodle House,4853 Main St,Shanghainese,49.2412498,-123.1016585,Riley Park
The Acorn Restaurant,3995 Main St,Vegetarian,49.2495953,-123.1013533,Riley Park
Saku Broadway,548 W Broadway,Japanese,49.26310059999999,-123.1166394,Fairview
Soho Tea Room,3466 Cambie St,Chinese,49.2542909,-123.114925,Riley Park
Samurai Sushi House,5888 Cambie St,Japanese,49.2318904,-123.1159603,Oakridge
Kind Cafe,3080 Main St,Vegan,49.2577372,-123.1008267,Mount Pleasant
The Arbor Restaurant,3941 Main St,Vegetarian,49.24995089999999,-123.101352,Riley Park
Uma Sushi,450 W 8th Ave,Japanese,49.2638104,-123.1137727,Mount Pleasant
Sprezzatura Restaurant,265 Kingsway,Italian,49.2612756,-123.0978145,Mount Pleasant
Hawkers Delight Deli,4127 Main St,Malaysian,49.2483626,-123.101467,Riley Park
Anh and Chi,3388 Main St,Vietnamese,49.2549852,-123.1008596,Riley Park
Sun Garden Chinese Restaurant,3832 Oak St,Chinese,49.2514875,-123.1272813,South Cambie
The Shameful Tiki Room,4362 Main St,Polynesian restaurant,49.2461036,-123.1010655,Riley Park
Helen's Grill,4102 Main St,Diner,49.2486433,-123.1007253,Riley Park
Pho Tan Restaurant,4598 Main St,Asian,49.2434312,-123.1011702,Riley Park
Bon Cafe,4909 Main St,Pho,49.2403618,-123.1017427,Riley Park
Hot Delivery Chinese Food,3002 Cambie St,Chinese Delivery,49.2585541,-123.1148653,Mount Pleasant
Sawasdee Thai Restaurant,4250 Main St,Thai,49.2470563,-123.1008276,Riley Park
Paul's Omelettery Restaurant,2211 Granville St,Breakfast,49.2659984,-123.1387561,Fairview
5 Spice Vietnamese Cuisine,1513 W Broadway,Vietnamese,49.2638171,-123.1391631,Fairview
Gyu-Kaku Japanese BBQ,950 W Broadway #201,Yakiniku,49.2632584,-123.1257975,Fairview
Subway,3297 Cambie St Unit #2,Sandwich,49.2561084,-123.1153776,South Cambie
Autostrada Osteria Main Street,4811 Main St,Italian,49.2417397,-123.1016277,Riley Park
Nam Nam Noodle,4191 Main St,Chinese Noodles,49.2481699,-123.1013299,Riley Park
Bob Likes Thai Food.,3755 Main Street @ E 21st Ave,Thai,49.2513423,-123.101333,Riley Park
Pepper Lunch,2323 Cambie St,Japanese,49.2646119,-123.1150465,Fairview
Papa's Gourmet Pizza,3030 Main St,Pizza,49.258249,-123.1008873,Mount Pleasant
CHI HOUSE,4063 Main St,Sichuan,49.2492976,-123.101588,Riley Park
Simply Delicious Restaurant & Bar,4316 Main St,Asian,49.2464954,-123.1010225,Riley Park
Fiore - South Granville,1485 W 12th Ave,Italian,49.2608974,-123.1382242,Fairview
Martini's Whole Wheat Pizza,151 Broadway W,Pizza,49.26322649999999,-123.1082126,Mount Pleasant
Copa Cafe,4032 Cambie St,Chinese,49.2496738,-123.1151586,Riley Park
Sun Sui Wah,3888 Main St,Chinese,49.2504277,-123.1006395,Riley Park
Ignite Pizzeria,2588 Main St,Pizza,49.26213,-123.1007895,Mount Pleasant
SUSHI HUB,4855 Main St,Japanese,49.2411806,-123.1016703,Riley Park
Sushi Bar Ajisai,2081 W 42nd Ave,Japanese,49.233934,-123.1536816,Kerrisdale
Boiling Point,4148 Main St,Chinese,49.2482504,-123.1008849,Riley Park
Mitra Canteen,3034 Main St,Middle Eastern,49.2580707,-123.1008151,Mount Pleasant
Sushi Mura,6485 Oak St,Japanese,49.2268452,-123.1287853,Oakridge
Kwong Chow Congee & Noodle House,3163 Main St,Cantonese,49.2570141,-123.1014822,Mount Pleasant
Yu Xiang Yuan Restaurant,6591 Fraser St,Chinese,49.2246746,-123.0910083,Sunset
Pho Goodness (Main Street,3079 Main St,Vietnamese,49.2577224,-123.1014771,Mount Pleasant
