name,address,cuisine,lat,lng,region
Northern Cafe,1640 East Kent Ave S,Diner,49.2089234,-123.0729807,Victoria-Fraserview
So Hyang Korean Cuisine,6345 Fraser St,Korean,49.227,-123.0909235,Sunset
Hometown Pizza,6665 Fraser St,Italian,49.2239973,-123.0911232,Sunset
Sushi & Co,6520 Fraser St,Japanese,49.22520799999999,-123.0903776,Sunset
Yu Xiang Yuan Restaurant,6591 Fraser St,Chinese,49.2246746,-123.0910083,Sunset
Madras Spice Restaurant,6260 Fraser St,Indian,49.2277989,-123.0904622,Sunset
Shoom Restaurant,6555 Fraser St,Chinese,49.224886,-123.091114,Sunset
Freshii,6541 Main St,Health Food,49.2251807,-123.1018668,Sunset
Pho Hong on Fraser,6348 Fraser St,Vietnamese,49.2268627,-123.0903511,Sunset
Lian Hong Chinese Bakery,6400 Fraser St,Chinese,49.2264827,-123.0903596,Sunset
Tandoori King Restaurant (Old,8061 Fraser Street E 65th Ave,Indian,49.2119569,-123.0915718,Sunset
GJS Kitchen and Catering,418 East Kent Ave S unit 119,Takeout Restaurant,49.2062645,-123.0978066,Sunset
Good Choice Restaurant,6007 Fraser St,Chinese,49.2299962,-123.0908133,Sunset
Dosa Corner,8248 Fraser St,Indian,49.2097506,-123.0908287,Sunset
SAMURAI SUSHI ON FRASER,6428 Fraser St,Japanese,49.22622579999999,-123.0905627,Sunset
GWH Kitchen,642 SE Marine Dr,Rice restaurant,49.2106336,-123.0923888,Sunset
Panos Greek Taverna,654 SE Marine Dr,Greek,49.2106133,-123.0922313,Sunset
Pin Pin Restaurant,6113 Fraser St,Filipino,49.2289761,-123.0909249,Sunset
Pita House Restaurant,6196 Fraser St,Greek,49.228313,-123.0904919,Sunset
Wo's Chinese Restaurant,8166 Main St,Chinese,49.21142099999999,-123.1017591,Sunset
Hi Five Chicken,203 SE Marine Dr,Fast Food,49.2113019,-123.1018701,Sunset
Lee Loy BBQ Meat Co Ltd,6340 Fraser St,Barbecue,49.2269313,-123.0904264,Sunset
Flamingo Chinese Restaurant,1652 SE Marine Dr,Chinese,49.2105806,-123.0727278,Victoria-Fraserview
Chu Kiang Chinese Restaurant,6491 Knight St,Chinese,49.2256096,-123.0778425,Sunset
Fraserview Tandoori House,7271 Main St,Indian,49.2187876,-123.1021848,Sunset
Slice Of Chicago Deep Dish Pizza,5812 Fraser St,Pizza,49.2318017,-123.0904133,Sunset
Tandoori Oven,6452 Main St,Indian,49.2261634,-123.1013709,Sunset
Thai Luong Vietnamese Noodle House,5744 Fraser St,Vietnamese,49.232366,-123.090393,Sunset
Gia Minh Restaurant,6181 Fraser St,Vietnamese,49.2285587,-123.0908461,Sunset
Ho Yuen Kee Restaurant,6236 Fraser St,Chinese,49.22796030000001,-123.0903879,Sunset
Wendy's,10 SE Marine Dr,Fast Food,49.21188730000001,-123.1061557,Sunset
Freshslice Pizza,6374 Fraser St,Pizza,49.2266807,-123.0905333,Sunset
Koon Bo Restaurant 冠寶美食之家,5682 Fraser St,Seafood,49.2332615,-123.0901367,Kensington-Cedar Cottage
Vancouver Veggie Pizza,7229 Main St,Pizza,49.2189956,-123.1020791,Sunset
Tandoori Raj Restaurant,689 E 65th Ave E,Indian,49.2119569,-123.0915718,Sunset
Papa Day's Pizza & Indian Cuisine,6483 Knight St,Indian,49.2257184,-123.0778229,Sunset
Deer Garden Signatures,6270 Fraser St,Chinese,49.2276714,-123.0903203,Sunset
Church's Chicken,5704 Fraser Street E 41st Ave,Fast Food,49.2325792,-123.0901337,Sunset
Best Quality Sweets & Rest,7260 Main St,Vegetarian,49.21879999999999,-123.101596,Sunset
Angel Cafe,5995 Fraser St,Chinese,49.2302215,-123.0908067,Sunset
Dosa Hut,7233 Fraser St,Indian,49.21899370000001,-123.0911392,Sunset
Win Win Chick-N,8197 Main St,Fast Food,49.2114286,-123.1025054,Sunset
Dewan-E-Khass,5750 Fraser St,Pakistani,49.23227300000001,-123.0903934,Sunset
Fiesta Pina Ham,8580 Fraser St,Hamburger,49.2063292,-123.0911007,Sunset
Little Caesars Pizza,5927 Fraser St,Pizza,49.2307429,-123.0908638,Sunset
Dairy Queen Grill & Chill,5907 Fraser St,Fast Food,49.2308508,-123.0909761,Sunset
New Novelty Sweet & Restaurant,6669 Fraser St,Indian,49.2239119,-123.0910513,Sunset
White Spot Marine Drive,1126 SE Marine Dr,Family-friendly,49.2105107,-123.0833322,Sunset
All India Sweets & Restaurant,6560 Main St,Indian,49.225123,-123.1013989,Sunset
Canan 2 For 1 Pizza,7270 Main St,Pizza,49.2187363,-123.10141,Sunset
Weirdo Cafe,6459 Victoria Dr,Fusion restaurant,49.225727,-123.066243,Victoria-Fraserview
Neighbour's Restaurant & Pizza House,6493 Victoria Dr,Pizza,49.2254343,-123.0659526,Victoria-Fraserview
Original Tandoori Kitchen,7215 Main St,Indian,49.2190826,-123.1021212,Sunset
Autostrada Osteria Main Street,4811 Main St,Italian,49.2417397,-123.1016277,Riley Park
Shima-Ya Sushi,5589 Victoria Dr,Japanese,49.2337864,-123.0657079,Kensington-Cedar Cottage
Chau Veggie Express,5052 Victoria Dr,Vietnamese,49.2385526,-123.0651974,Kensington-Cedar Cottage
Karakoram Restaurant,6990 Victoria Dr,Pakistani,49.2204869,-123.0655142,Victoria-Fraserview
O! Taho,4223 Fraser St,Filipino,49.2473531,-123.090327,Riley Park
Pizza Carano,4241 Fraser St,Pizza,49.24724699999999,-123.0904024,Riley Park
Amay’s House,5076 Victoria Dr,Burmese,49.23833800000001,-123.0650596,Kensington-Cedar Cottage
Super Dhaba Sweets and Catering Ltd.,7273 Fraser St,Indian,49.2185528,-123.0913256,Sunset
Breka Bakery & Cafe (Fraser,6533 Fraser St,Bakery,49.2251384,-123.0909897,Sunset
The First Dessert,5857 Victoria Dr,Traditional restaurant,49.2310847,-123.0657996,Victoria-Fraserview
Pho Tan Restaurant,4598 Main St,Asian,49.2434312,-123.1011702,Riley Park
Freshslice Pizza,5845 Victoria Dr,Pizza,49.2311839,-123.0657887,Victoria-Fraserview
Wally's Burgers,2661 E 49th Ave,Hamburger,49.2253486,-123.0535419,Victoria-Fraserview
Western Lake Chinese Seafood Restaurant,4989 Victoria Dr,Chinese,49.239343,-123.0655693,Kensington-Cedar Cottage
Kalvin's Restaurant,5225 Victoria Dr,Taiwanese,49.2372789,-123.0656188,Kensington-Cedar Cottage
Long's Noodle House,4853 Main St,Shanghainese,49.2412498,-123.1016585,Riley Park
Samurai Sushi House,5888 Cambie St,Japanese,49.2318904,-123.1159603,Oakridge
Apna Bhaia Sweet & Restaurant,6616 Fraser St,Indian,49.2243044,-123.0906297,Sunset
Hikari Cafe,5701 Granville St,Japanese,49.2340907,-123.14012,Kerrisdale
White Spot Oakridge,613 650 W 41st Ave A,Family-friendly,49.2333095,-123.1175731,Oakridge
Hapag Ihaw-Ihaw Restaurant,5432 Victoria Dr,Filipino,49.2355374,-123.0652908,Kensington-Cedar Cottage
JAPADOG(South Vancouver,400-8206 Ontario St,Hot Dog Stand,49.2104782,-123.1060265,Sunset
Applause Japanese Restaurant,8269 Oak St,Japanese,49.2109319,-123.1305183,Marpole
Hoi An Cafe,5002 Victoria Dr,Vietnamese,49.2388048,-123.0651262,Kensington-Cedar Cottage
McDonald's,160 SW Marine Dr,Fast Food,49.2118921,-123.1091875,Marpole
McDonald's,7289 Knight St,Fast Food,49.2183554,-123.0774499,Sunset
El Caracol Cafe,5190 Victoria Dr,Salvadoran,49.2375504,-123.065129,Kensington-Cedar Cottage
GJS Kitchen,119 - 418 East Kent Ave S,Takeout Restaurant,49.2062645,-123.0978066,Sunset
Chuan Yue,8329 Oak St,Chinese,49.2104311,-123.1305624,Marpole
Bento Sushi,350 SE Marine Dr,Japanese,49.20915189999999,-123.1004858,Sunset
Wing Hing BBQ & Meat,5872 Victoria Dr,Chinese,49.2307034,-123.0653088,Victoria-Fraserview
Hanoi Old Quarter Restaurant,5207 Victoria Dr,Vietnamese,49.2373775,-123.0656173,Kensington-Cedar Cottage
Pho Thai Ha,2653 E 49th Ave,Vietnamese,49.225388,-123.053545,Victoria-Fraserview
A&W Canada,468 SW Marine Dr,Hamburger,49.209364,-123.116783,Marpole
Himalaya Restaurant Ltd,6587 Main St,Indian,49.2248792,-123.1018768,Sunset
Freshslice Pizza,498 SW Marine Dr,Pizza,49.2099567,-123.1168429,Marpole
Sandy La Chinese Restaurant,5257 Victoria Dr,Chinese,49.2370473,-123.0656135,Kensington-Cedar Cottage
Cafe Dang Anh,1C9 5186 Victoria Dr,Vietnamese,49.2376066,-123.0651502,Kensington-Cedar Cottage
Adelitas Restaurant,5178 Victoria Dr,Mexican,49.2377146,-123.0651428,Kensington-Cedar Cottage
Grand Chinese Hot Pot,6967 Victoria Dr,Chinese,49.2208258,-123.0660325,Victoria-Fraserview
Panago Pizza,120-511 SW Marine Dr,Pizza,49.2100905,-123.1178353,Marpole
Shawarma cafe,1412 E 49th Ave,Mediterranean,49.2250473,-123.0768414,Victoria-Fraserview
Bun Cha Ca Hoang Yen,5083 Victoria Dr,Vietnamese,49.2385267,-123.0655737,Kensington-Cedar Cottage
Uncle Mings Kitchen,8181 Main St,Delivery Restaurant,49.2116536,-123.1024687,Sunset
Huang's Beef Noodle Restaurant,6940 Victoria Dr,Noodle Shop,49.22084719999999,-123.0656879,Victoria-Fraserview
Pho hue,5497 Victoria Dr,Pho,49.2346282,-123.0656954,Kensington-Cedar Cottage
Banh Mi Saigon,5397 Victoria Dr,Vietnamese,49.235361,-123.0657601,Kensington-Cedar Cottage
Freshslice Pizza,8618 Granville St,Pizza,49.2082081,-123.1401279,Marpole
Cafe Mai-Mai,8636 Granville St,Pho,49.2080893,-123.1400808,Marpole
New Bhaia Sweet Shop,5740 Fraser St,Indian,49.2324493,-123.0904074,Sunset
Sushi Mura,6485 Oak St,Japanese,49.2268452,-123.1287853,Oakridge
Kokoro Ramen,5695 Victoria Dr,Japanese,49.23288119999999,-123.0657482,Kensington-Cedar Cottage
Kyuzo Japanese Restaurant,5701 Granville St #112,Japanese,49.2338988,-123.1400315,Kerrisdale
The Acorn Restaurant,3995 Main St,Vegetarian,49.2495953,-123.1013533,Riley Park
Subway,610 SE Marine Dr,Sandwich,49.2105361,-123.0926764,Sunset
Dublin Crossing - Vancouver,466 SW Marine Dr,Irish pub,49.2100079,-123.1157887,Marpole
Neptune Palace Seafood Restaurant,470 SW Marine Dr Unit 308,Chinese,49.21004800000001,-123.116603,Marpole
Sunset Beach Concession Stand,1204 Beach Ave,Hamburger,49.2788042,-123.1378968,West End
Golden Swan Restaurant,5380 Victoria Dr,Takeout Restaurant,49.2361844,-123.0649258,Kensington-Cedar Cottage
Jun Yuan Restaurant,5728 Victoria Dr,Chinese,49.2324182,-123.0652523,Victoria-Fraserview
Sun Tin Day Cafe,5137 Victoria Dr,Chinese,49.2379826,-123.0658152,Kensington-Cedar Cottage
Deutsches Haus (Vancouver Alpen Club,4875 Victoria Dr,German,49.24050039999999,-123.0656204,Kensington-Cedar Cottage
Happy Sushi,5632 Victoria Dr,Japanese,49.2335229,-123.0653115,Kensington-Cedar Cottage
Indian Bay Leaf,4890 Victoria Dr,Indian,49.2401042,-123.0649584,Kensington-Cedar Cottage
KFC,6487 Knight St,Fast Food,49.2256662,-123.0778129,Sunset
Kent's Kitchen 權記,5659 Victoria Dr,Chinese Takeout,49.2331219,-123.0658535,Kensington-Cedar Cottage
Parm'z Pizza Factory,8319 Oak St,Pizza,49.2105495,-123.1304717,Marpole
Mt. Fuji Japanese Restaurant,2607 E 49th Ave,Japanese,49.22536119999999,-123.0544384,Victoria-Fraserview
Romer's Burger Bar,8683 Kerr St,Hamburger,49.2058825,-123.0426519,Killarney
Mui Garden Restaurant,5797 Victoria Dr,Chinese,49.2317383,-123.0657785,Victoria-Fraserview
A&W Canada,6491 Oak St,Hamburger,49.22676269999999,-123.1289195,Oakridge
A&W Canada,650 W 41st Ave W,Hamburger,49.2320456,-123.1186835,Oakridge
The Sandbar Seafood Restaurant,1535 Johnston Street Creekhouse #102,Seafood,49.2715164,-123.134276,Fairview
Nishiki Sushi Bar,6501 Victoria Dr,Japanese,49.2250574,-123.0659426,Victoria-Fraserview
McDonald's,830 SW Marine Dr,Fast Food,49.20607,-123.1255132,Marpole
Triple O's Langara College,100 W 49th Ave,Fast Food,49.224025,-123.108032,Oakridge
Lucky Dragon Palace Restaurant,5822 Victoria Dr,Chinese,49.2309756,-123.0652542,Victoria-Fraserview
Come Along Chinese Restaurant,2550 Kingsway,Chinese,49.2393614,-123.0531504,Renfrew-Collingwood
Peninsula (Oakridge) Seafood Restaurant,650 W 41st Ave,Seafood,49.2320456,-123.1186835,Oakridge
Miku Vancouver,200 Granville St #70,Japanese,49.2868259,-123.112583,Downtown
Brunch,1147 Granville St,Mexican,49.2778708,-123.1256128,Downtown
Giardino Restaurant,1328 Hornby St,Tuscan,49.27697819999999,-123.1300609,Downtown
Kinara Indian Cuisine,1326 Davie St,Indian,49.2830707,-123.1355829,West End
Subway,644 SW Marine Dr Unit 101,Sandwich,49.2085891,-123.1197921,Marpole
Church's Chicken,2504 Kingsway & Slocan St,Chicken,49.2399881,-123.0547464,Renfrew-Collingwood
Kadoya Japanese Restaurant,1063 Davie St,Japanese,49.2802392,-123.1305632,West End
Sunrise Pizza & Steak House,949 Commercial Dr,Pizza,49.2758896,-123.0696667,Grandview-Woodland
Sushi Bar Maumi,1226 Bute St,Japanese,49.2813645,-123.1336464,West End
Ginger Sushi,1437 Commercial Dr,Takeout Restaurant,49.2717096,-123.0697506,Grandview-Woodland
The Italians,1220 Bute St,Italian,49.2813107,-123.1335081,West End
Yue Ting Seafood Restaurant,2532 Kingsway,Seafood,49.23963089999999,-123.0536173,Renfrew-Collingwood
Nelly's Grill,2061 W 4th Ave,Breakfast,49.2682215,-123.1518528,Kitsilano
Go Fish,1505 W 1st Ave,Fish & Chips,49.2724945,-123.1404146,Fairview
Au Comptoir,2278 W 4th Ave,French,49.2679582,-123.1570401,Kitsilano
Cardero's Restaurant,1583 Coal Harbour Quay,Seafood,49.2916101,-123.1274816,Downtown
Dairy Queen Grill & Chill,4990 Victoria Dr,Fast Food,49.23907500000001,-123.0650184,Kensington-Cedar Cottage
Red Umbrella Cafe,1707 Davie St,Breakfast,49.286402,-123.1403028,West End
Subway,6402 Victoria Dr,Sandwich,49.2261757,-123.0654783,Victoria-Fraserview
White Spot (Coast Hotel,1041 SW Marine Dr,Family-friendly,49.2048294,-123.130886,Marpole
Nightingale,1017 W Hastings St,Canadian,49.287432,-123.1175609,Downtown
Bubble Waffle Cafe,CA 2639 E 49th Ave,Chinese,49.2255119,-123.053541,Victoria-Fraserview
Pizza Hut,6082 Fraser St,Pizza,49.2293879,-123.0903305,Sunset
La Belle Patate Vancouver,1215 Davie St,Québécois restaurant,49.2820333,-123.1335487,West End
Pink Elephant Thai,434 SW Marine Dr,Thai,49.2101841,-123.1161936,Marpole
Mary's on Davie,1202 Davie St,Diner,49.2817883,-123.1335975,West End
Samurai Japanese Restaurant,1108 Davie St,Japanese,49.2805439,-123.1317481,West End
Marcello Ristorante & Pizzeria,1404 Commercial Dr,Italian,49.2720501,-123.0694232,Grandview-Woodland
Ancora Waterfront Dining and Patio - False Creek,1600 Howe St #2,Seafood,49.2738114,-123.1325984,Downtown
The Vancouver Fish Company,1517 Anderson St,Seafood,49.2705997,-123.1365764,Fairview
India Bistro,1157 Davie St,Indian,49.2813797,-123.13251,West End
Takis' Taverna,1106 Davie St,Greek,49.2805364,-123.1316731,West End
Five Sails Restaurant,999 Canada Pl,Fine Dining,49.2886946,-123.1111906,Downtown
Branas Mediterranean Grill,617 Stamps Landing,Mediterranean,49.26850049999999,-123.1187213,Fairview
Botanist,1038 Canada Pl,Pacific Northwest,49.2880938,-123.1165232,Downtown
The Whip Restaurant & Gallery,209 6th Avenue East,Takeout Restaurant,49.26560869999999,-123.1001642,Mount Pleasant
