name,address,cuisine,lat,lng,region
Fat Boy Kitchen,6943 Victoria Dr,Asian,49.22094190000001,-123.0662598,Victoria-Fraserview
Northern Cafe,1640 East Kent Ave S,Diner,49.2089234,-123.0729807,Victoria-Fraserview
Weirdo Cafe,6459 Victoria Dr,Fusion restaurant,49.225727,-123.066243,Victoria-Fraserview
On May Chinese Restaurant,6443 Victoria Dr,Chinese,49.2257985,-123.0661677,Victoria-Fraserview
Celeshmet Restaurant,6956 Victoria Dr,Persian,49.2207446,-123.0655405,Victoria-Fraserview
Pho Thai Ha,2653 E 49th Ave,Vietnamese,49.225388,-123.053545,Victoria-Fraserview
Kim Phung Restaurant,5764 Victoria Dr,Vietnamese,49.2318753,-123.0653781,Victoria-Fraserview
Huang's Beef Noodle Restaurant,6940 Victoria Dr,Noodle Shop,49.22084719999999,-123.0656879,Victoria-Fraserview
Wally's Burgers,2661 E 49th Ave,Hamburger,49.2253486,-123.0535419,Victoria-Fraserview
Freshslice Pizza,5845 Victoria Dr,Pizza,49.2311839,-123.0657887,Victoria-Fraserview
Neighbour's Restaurant & Pizza House,6493 Victoria Dr,Pizza,49.2254343,-123.0659526,Victoria-Fraserview
Flamingo Chinese Restaurant,1652 SE Marine Dr,Chinese,49.2105806,-123.0727278,Victoria-Fraserview
Karakoram Restaurant,6990 Victoria Dr,Pakistani,49.2204869,-123.0655142,Victoria-Fraserview
Wing Hing BBQ & Meat,5872 Victoria Dr,Chinese,49.2307034,-123.0653088,Victoria-Fraserview
9Dishes Japanese Restaurant,6507 Victoria Dr,Japanese,49.2249787,-123.0659313,Victoria-Fraserview
Mui Garden Restaurant,5797 Victoria Dr,Chinese,49.2317383,-123.0657785,Victoria-Fraserview
The First Dessert,5857 Victoria Dr,Traditional restaurant,49.2310847,-123.0657996,Victoria-Fraserview
Thai Son Restaurant,6471 Victoria Dr,Vietnamese,49.2257118,-123.0660246,Victoria-Fraserview
RGK BBQ 烧鹅大王,5755 Victoria Dr,Cantonese,49.2320912,-123.065792,Victoria-Fraserview
Supreme Pizza,6539 Victoria Dr,Pizza,49.2248084,-123.0659377,Victoria-Fraserview
Shima-Ya Sushi,5589 Victoria Dr,Japanese,49.2337864,-123.0657079,Kensington-Cedar Cottage
Kokoro Ramen,5695 Victoria Dr,Japanese,49.23288119999999,-123.0657482,Kensington-Cedar Cottage
Pho hue,5497 Victoria Dr,Pho,49.2346282,-123.0656954,Kensington-Cedar Cottage
Hometown Pizza,6665 Fraser St,Italian,49.2239973,-123.0911232,Sunset
LE BL CAFÉ,5088 Victoria Dr,Vietnamese,49.2382751,-123.0652076,Kensington-Cedar Cottage
Grand Chinese Hot Pot,6967 Victoria Dr,Chinese,49.2208258,-123.0660325,Victoria-Fraserview
Kent's Kitchen 權記,5659 Victoria Dr,Chinese Takeout,49.2331219,-123.0658535,Kensington-Cedar Cottage
Mt. Fuji Japanese Restaurant,2607 E 49th Ave,Japanese,49.22536119999999,-123.0544384,Victoria-Fraserview
Subway,6402 Victoria Dr,Sandwich,49.2261757,-123.0654783,Victoria-Fraserview
Sushi & Co,6520 Fraser St,Japanese,49.22520799999999,-123.0903776,Sunset
Amay’s House,5076 Victoria Dr,Burmese,49.23833800000001,-123.0650596,Kensington-Cedar Cottage
Jun Yuan Restaurant,5728 Victoria Dr,Chinese,49.2324182,-123.0652523,Victoria-Fraserview
Bubble Waffle Cafe,CA 2639 E 49th Ave,Chinese,49.2255119,-123.053541,Victoria-Fraserview
Hapag Ihaw-Ihaw Restaurant,5432 Victoria Dr,Filipino,49.2355374,-123.0652908,Kensington-Cedar Cottage
Hanoi Old Quarter Restaurant,5207 Victoria Dr,Vietnamese,49.2373775,-123.0656173,Kensington-Cedar Cottage
Nishiki Sushi Bar,6501 Victoria Dr,Japanese,49.2250574,-123.0659426,Victoria-Fraserview
Teemway Seafood Co Ltd,6653 Victoria Dr,Caterer,49.22382959999999,-123.0660052,Victoria-Fraserview
Lucky Dragon Palace Restaurant,5822 Victoria Dr,Chinese,49.2309756,-123.0652542,Victoria-Fraserview
Viet Mama Cafe,5118 Victoria Dr,Vietnamese,49.23796,-123.0652168,Kensington-Cedar Cottage
Shoom Restaurant,6555 Fraser St,Chinese,49.224886,-123.091114,Sunset
Adelitas Restaurant,5178 Victoria Dr,Mexican,49.2377146,-123.0651428,Kensington-Cedar Cottage
Yu Xiang Yuan Restaurant,6591 Fraser St,Chinese,49.2246746,-123.0910083,Sunset
Banh Mi Saigon,5397 Victoria Dr,Vietnamese,49.235361,-123.0657601,Kensington-Cedar Cottage
A&W Canada,7092 Kerr St,Hamburger,49.2192674,-123.0408866,Killarney
Kalvin's Restaurant,5225 Victoria Dr,Taiwanese,49.2372789,-123.0656188,Kensington-Cedar Cottage
Chau Veggie Express,5052 Victoria Dr,Vietnamese,49.2385526,-123.0651974,Kensington-Cedar Cottage
Joojak Restaurant,3337 Kingsway,Chinese,49.2336784,-123.0345324,Renfrew-Collingwood
Lian Hong Chinese Bakery,6400 Fraser St,Chinese,49.2264827,-123.0903596,Sunset
Cafe Dang Anh,1C9 5186 Victoria Dr,Vietnamese,49.2376066,-123.0651502,Kensington-Cedar Cottage
Hoi An Cafe,5002 Victoria Dr,Vietnamese,49.2388048,-123.0651262,Kensington-Cedar Cottage
El Caracol Cafe,5190 Victoria Dr,Salvadoran,49.2375504,-123.065129,Kensington-Cedar Cottage
Western Lake Chinese Seafood Restaurant,4989 Victoria Dr,Chinese,49.239343,-123.0655693,Kensington-Cedar Cottage
Wang's Shanghai Cuisine,3328 Kingsway #110,Shanghainese,49.2331241,-123.0344459,Killarney
Madras Spice Restaurant,6260 Fraser St,Indian,49.2277989,-123.0904622,Sunset
McKim Wonton Mein Saga,2780 Kingsway,Chinese,49.2370618,-123.0483267,Renfrew-Collingwood
Shawarma cafe,1412 E 49th Ave,Mediterranean,49.2250473,-123.0768414,Victoria-Fraserview
Fraserview Tandoori House,7271 Main St,Indian,49.2187876,-123.1021848,Sunset
Yao Sun Loong Kong Chicken Ltd 有順龍崗雞行,5817 Victoria Dr,Chinese,49.2315494,-123.0657781,Victoria-Fraserview
Wah Bo Food LTD,7055 Victoria Dr,Noodle Shop,49.2196977,-123.0659002,Victoria-Fraserview
Romer's Burger Bar,8683 Kerr St,Hamburger,49.2058825,-123.0426519,Killarney
Bun Cha Ca Hoang Yen,5083 Victoria Dr,Vietnamese,49.2385267,-123.0655737,Kensington-Cedar Cottage
Beijiang Restaurant 北疆饭店,3281 Kingsway,Chinese,49.2344793,-123.036161,Renfrew-Collingwood
So Hyang Korean Cuisine,6345 Fraser St,Korean,49.227,-123.0909235,Sunset
Andamiro Korean Bistro,2568 Kingsway,Korean,49.2392139,-123.0528253,Renfrew-Collingwood
Kinemi's Kitchen,7751 Champlain Cres,Italian,49.2149295,-123.0304365,Killarney
Chu Kiang Chinese Restaurant,6491 Knight St,Chinese,49.2256096,-123.0778425,Sunset
Pizza Hut,2619-2625 E 49th Ave,Pizza,49.2255936,-123.0535762,Victoria-Fraserview
Yu Kee BBQ Kitchen,2609 E 49th Ave,Chinese,49.2256543,-123.0543547,Victoria-Fraserview
La Maison Da Nang,5195 Victoria Dr,Vietnamese,49.23764660000001,-123.0658125,Kensington-Cedar Cottage
Happy Sushi,5632 Victoria Dr,Japanese,49.2335229,-123.0653115,Kensington-Cedar Cottage
Dharma Garden Veggie Deli,3195 Kingsway,Vegan,49.2352333,-123.0378501,Renfrew-Collingwood
Tim Hortons,5698 Victoria Dr,Takeout Restaurant,49.2330736,-123.065215,Kensington-Cedar Cottage
Gia Minh Restaurant,6181 Fraser St,Vietnamese,49.2285587,-123.0908461,Sunset
Freshslice Pizza,6374 Fraser St,Pizza,49.2266807,-123.0905333,Sunset
Tandoori King Restaurant (Old,8061 Fraser Street E 65th Ave,Indian,49.2119569,-123.0915718,Sunset
Indian Bay Leaf,4890 Victoria Dr,Indian,49.2401042,-123.0649584,Kensington-Cedar Cottage
Japanese Bistro Kamome,5228 Joyce St,Japanese,49.2372008,-123.0327046,Renfrew-Collingwood
Golden Swan Restaurant,5380 Victoria Dr,Takeout Restaurant,49.2361844,-123.0649258,Kensington-Cedar Cottage
Mui Ngo Gai Restaurant,2052 Kingsway,Vietnamese,49.2445738,-123.0645772,Kensington-Cedar Cottage
Pita House Restaurant,6196 Fraser St,Greek,49.228313,-123.0904919,Sunset
Kwan Luck Restaurant,2516 Kingsway,Chinese,49.2396428,-123.0542507,Renfrew-Collingwood
Dosa Corner,8248 Fraser St,Indian,49.2097506,-123.0908287,Sunset
Hyoga Japanese Cuisine,3343 Kingsway,Japanese,49.2336372,-123.0342988,Renfrew-Collingwood
Sandy La Chinese Restaurant,5257 Victoria Dr,Chinese,49.2370473,-123.0656135,Kensington-Cedar Cottage
Pin Pin Restaurant,6113 Fraser St,Filipino,49.2289761,-123.0909249,Sunset
Dairy Queen,2940 Kingsway Ave,Fast Food,49.2359167,-123.0447306,Renfrew-Collingwood
Fortune Lamb Dining 鸿羊轩,3-3377 Kingsway,Chinese,49.2329936,-123.0330474,Renfrew-Collingwood
Deutsches Haus (Vancouver Alpen Club,4875 Victoria Dr,German,49.24050039999999,-123.0656204,Kensington-Cedar Cottage
Michi Craft Kitchen,3665 Kingsway #180,Asian,49.2324554,-123.02436,Renfrew-Collingwood
Chosun Korean BBQ,3486 Kingsway,Takeout Restaurant,49.2317416,-123.0303984,Killarney
Top Cantonese Cuisine Restaurant,2752 Kingsway,Cantonese,49.2374664,-123.0494301,Renfrew-Collingwood
Dosa Hut,7233 Fraser St,Indian,49.21899370000001,-123.0911392,Sunset
Sushi By Yuji,2252 Kingsway,Japanese,49.2424827,-123.0598354,Kensington-Cedar Cottage
McDonald's,5661 Victoria Dr,Fast Food,49.2331558,-123.0658793,Kensington-Cedar Cottage
Truong Thanh Restaurant,2096 Kingsway,Vietnamese,49.24435980000001,-123.0641388,Kensington-Cedar Cottage
Freshii,6541 Main St,Health Food,49.2251807,-123.1018668,Sunset
Love for Pho,3524 Kingsway,Pho,49.2317099,-123.0281859,Killarney
Sushi Go,7026 Kerr St,Japanese,49.2195921,-123.0410176,Killarney
Ho Yuen Kee Restaurant,6236 Fraser St,Chinese,49.22796030000001,-123.0903879,Sunset
Papa John's Pizza,#300-3320 Kingsway,Pizza,49.2333626,-123.0348768,Killarney
