name,address,cuisine,lat,lng,region
Forage,1300 Robson St,Pacific Northwest,49.287051,-123.1290774,West End
Tavola,1829 Robson St,Italian,49.2919048,-123.1356847,West End
España Restaurant,1118 Denman St,Spanish,49.2880552,-123.1404114,West End
The Italians,1220 Bute St,Italian,49.2813107,-123.1335081,West End
Red Umbrella Cafe,1707 Davie St,Breakfast,49.286402,-123.1403028,West End
Legendary Noodle,1074 Denman St,Chinese Noodles,49.2884818,-123.1397769,West End
Le Crocodile,909 Burrard St #100,French,49.2823018,-123.1249281,West End
Kingyo,871 Denman St,Izakaya,49.2906302,-123.1370603,West End
Marutama Ra-men Canada / Westend,780 Bidwell St,Japanese,49.2905691,-123.1333952,West End
Nero waffles,1703 Robson St,Brunch,49.2906701,-123.1339159,West End
CinCin Ristorante + Bar,1154 Robson St,Italian,49.285261,-123.1261391,West End
Greenhorn Cafe,994 Nicola St,Brunch,49.2866291,-123.1340403,West End
Kinara Indian Cuisine,1326 Davie St,Indian,49.2830707,-123.1355829,West End
Papi's Seafood and Oyster Bar,1193 Denman St,Seafood,49.2877699,-123.1413334,West End
Won More Szechuan Cuisine,1184 Denman St,Chinese,49.2872573,-123.1412277,West End
Cora Breakfast and Lunch,1368 Robson St,Breakfast,49.2875008,-123.1297495,West End
Joe Fortes Seafood & Chop House,777 Thurlow St,Seafood,49.2849406,-123.1247733,West End
Zakkushi on Denman,823 Denman St,Izakaya,49.2912037,-123.1362474,West End
Coast,1054 Alberni St,Seafood,49.2846237,-123.1232331,West End
The Sauce Pasta Cafe,861 Denman St,Italian,49.2906866,-123.136894,West End
Tetsu Sushi Bar,775 Denman St,Japanese,49.2918295,-123.1352117,West End
Café Portrait,1120 Denman St,Breakfast,49.2879654,-123.1404312,West End
Sura Korean Royal Cuisine Restaurant Vancouver,1518 Robson St,Korean,49.2888077,-123.131828,West End
Olympia Pizza & Pasta Restaurant (Denman Street,998 Denman St,Greek,49.2893285,-123.138305,West End
Shizenya Restaurant on Denman,1059 Denman St,Japanese,49.288627,-123.1400016,West End
Modern Handi Indian Cuisine,827 Denman St,Indian,49.2911315,-123.1363678,West End
Zefferelli's,1136 Robson St 2nd Floor,Italian,49.28502719999999,-123.126053,West End
Robba da Matti (West End,1906 Haro St,Italian,49.2917344,-123.1385969,West End
Sushi Bar Maumi,1226 Bute St,Japanese,49.2813645,-123.1336464,West End
Tom Sushi,1175 Davie St,Japanese,49.2816505,-123.1326617,West End
Ramen DANBO,1333 Robson St,Japanese,49.28749579999999,-123.1289339,West End
Guu with Garlic,1698 Robson St,Izakaya,49.2902019,-123.133953,West End
Hook Seabar,1210 Denman St,Seafood,49.286879,-123.141935,West End
Davie Dosa Company,1235 Davie St,Indian,49.282163,-123.133735,West End
Miko Sushi Japanese Restaurant,1335 Robson St,Japanese,49.2875451,-123.1289933,West End
Banana Leaf on Denman,1096 Denman St,Malaysian,49.2882994,-123.1400574,West End
The Basic,1031 Davie St,Breakfast,49.2797502,-123.1299447,West End
Kadoya Japanese Restaurant,1063 Davie St,Japanese,49.2802392,-123.1305632,West End
Shamrock Bar & Grill,1184 Denman St #102,Irish,49.28738240000001,-123.1413601,West End
La Belle Patate Vancouver,1215 Davie St,Québécois restaurant,49.2820333,-123.1335487,West End
Motomachi Shokudo,740 Denman St,Japanese,49.2918484,-123.1345633,West End
Black+Blue,1032 Alberni St,Steak,49.2844825,-123.1230584,West End
Cocorico Cafe Bistro Tapas Bar,1290 Robson St,Grill,49.2867745,-123.1285849,West End
MOMO SUSHI BIDWELL,833 Bidwell St,Japanese,49.2903934,-123.1344141,West End
Cafe Il Nido,780 Thurlow St,Italian,49.28463139999999,-123.1242731,West End
Mediterranean Grill,1152 Denman St,Persian,49.2877464,-123.1409009,West End
Khaghan Restaurant Downtown,851 Denman St,Persian,49.2907992,-123.1368123,West End
Nat's New York Pizzeria,1080 Denman St,Pizza,49.2883888,-123.139882,West End
The Basic,948 Denman St,Breakfast,49.289889,-123.1376668,West End
Hokkaido Ramen Santouka,1690 Robson St,Japanese,49.2901852,-123.1339645,West End
Dosa & Curry,1188 Davie St,Indian,49.281454,-123.1331673,West End
Beeryani - Indian Bistro & Bar,1184 Denman St Unit # 202,Indian,49.2872573,-123.1412277,West End
Italian Tomato,1047 Davie St,Italian,49.2800211,-123.1302754,West End
Guu Original Thurlow,838 Thurlow St,Izakaya,49.2840076,-123.1254334,West End
Banana Leaf on Davie,1043 Davie St,Malaysian,49.2799227,-123.1302489,West End
Mary's on Davie,1202 Davie St,Diner,49.2817883,-123.1335975,West End
The Capital,1178 Davie St,Hamburger,49.2813262,-123.1332537,West End
La Catrina Tacos,1187 Denman St,Takeout Restaurant,49.2877737,-123.1412635,West End
Fit Camp Foods,1107 Davie St,Health Food,49.2806728,-123.1312773,West End
Kintaro Ramen,788 Denman St,Japanese,49.2915512,-123.1349987,West End
Osaka Sushi,1361 Burrard St,Japanese,49.2775993,-123.1318759,West End
Jingle Bao,774 Denman St,Asian,49.2916234,-123.134878,West End
Yummy To Go,1711 Davie St,Japanese,49.2865407,-123.1404008,West End
BeetBox Veg,1074 Davie St,Vegan,49.2800757,-123.1309752,West End
Pokerrito,1668 Robson St,Hawaiian,49.2899503,-123.133614,West End
Noodle Arts,1739 Robson St,Chinese,49.2910293,-123.134417,West End
C|PRIME Modern Italian Steak and Wine,1015 Burrard St,Italian,49.2808932,-123.1272281,West End
Banana Leaf Malaysian Cafe,1779 Robson St,Malaysian,49.2914032,-123.1349407,West End
Los Amigos Taqueria,1118 Davie St,Mexican,49.2805803,-123.1319161,West End
Takis' Taverna,1106 Davie St,Greek,49.2805364,-123.1316731,West End
Thai Basil Restaurant,1215 Thurlow St,Thai,49.28029730000001,-123.1315906,West End
Hida Takayama Ramen,1610 Robson St #203,Japanese,49.2894629,-123.1326324,West End
Dinesty Dumpling House,1719 Robson St,Chinese,49.2907799,-123.1340727,West End
India Bistro,1157 Davie St,Indian,49.2813797,-123.13251,West End
The Red Accordion,1616 Alberni St,Pacific Northwest,49.2902314,-123.1318235,West End
Kazami,1509 Robson St,Japanese,49.2889878,-123.131197,West End
Salam Bombay,755 Burrard St 2nd floor,Indian,49.2839926,-123.1221928,West End
Falafel King,1110 Denman St,Lebanese,49.288146,-123.140288,West End
Hy's Steakhouse & Cocktail Bar,637 Hornby St,Steak,49.2846711,-123.1193051,Downtown
Stepho's Souvlaki Greek Taverna,1359 Robson St,Greek,49.287752,-123.129254,West End
Gurkha Himalayan Kitchen Restaurant,1141 Davie St,Nepalese,49.2811653,-123.1320997,West End
Big Bang Sushi,1103 Denman St,Japanese,49.2883088,-123.1405025,West End
Sushiholic,836 Denman St,Japanese,49.2909605,-123.1360251,West End
Ebisu On Robson,827 Bute St,Japanese,49.2858585,-123.1274769,West End
Kosoo Korean Restaurant - 1st Branch,832 Cardero St,Korean,49.2890947,-123.1326326,West End
Ukrainian Village,815 Denman St,Ukrainian,49.2914077,-123.1358246,West End
Spicy 6 Fine Indian Cuisine,1116 Robson St,Indian,49.2848585,-123.1256892,West End
Viet Sub Vietnamese Cuisine,1682 Robson St,Vietnamese,49.2899538,-123.1336194,West End
Damso Restaurant,867 Denman St,Korean,49.2906152,-123.1369367,West End
Cazba Restaurant,1103 Davie St,Persian,49.28067799999999,-123.1311,West End
Ongba Vietnamese Eatery,976 Denman St,Vietnamese,49.28954969999999,-123.1380672,West End
Donair Town Robson,1793 Robson St,Middle Eastern,49.2914723,-123.1351595,West End
Saku,1773 Robson St,Japanese,49.2913126,-123.1348901,West End
Samurai Japanese Restaurant,1108 Davie St,Japanese,49.2805439,-123.1317481,West End
Akira Sushi,1069 Denman St,Japanese,49.2885848,-123.140174,West End
Pho Goodness,1150 Davie St,Vietnamese,49.2809229,-123.1322677,West End
Thida Thai Restaurant,1193 Davie St,Thai,49.2817776,-123.1329753,West End
Cardero's Restaurant,1583 Coal Harbour Quay,Seafood,49.2916101,-123.1274816,Downtown
Pho Central Vietnamese Restaurant,1161 Davie St,Vietnamese,49.2815836,-123.1325109,West End
ChongQing on Robson,1260 Robson St,Sichuan,49.286478,-123.1281157,West End
Kobe Japanese Steakhouse,1042 Alberni St,Japanese steakhouse,49.2845448,-123.1231404,West End
Buckstop,833 Denman St,Barbecue,49.2910804,-123.1364574,West End
Bubble World,1325 Robson St,Taiwanese,49.28741369999999,-123.1287899,West End
Italian Kitchen,860 Burrard St,Italian,49.2824321,-123.1234913,Downtown
Neptune Chinese Kitchen 鳳鳴食府 (Davie,1143 Davie St,Chinese Noodles,49.2812277,-123.1321819,West End
Shizenya,965 Hornby St,Japanese,49.2812366,-123.1250519,Downtown
Vera's Burger Shack,1030 Davie St,Hamburger,49.2794934,-123.13008,West End
Pho Q&M Vietnamese Restaurant,825 Denman St,Vietnamese,49.29117369999999,-123.1363059,West End
6 Degrees Eatery,1590 Coal Harbour Quay,Breakfast,49.2916482,-123.128495,Downtown
Ma Dang Goul,847 Denman St,Korean,49.2909695,-123.1364999,West End
Ole chicken,1256 Robson St,Korean,49.2864851,-123.1280225,West End
Al-Basha,1206 Davie St,Kebab shop,49.281871,-123.133692,West End
Stepho's Souvlaki Greek Taverna,1124 Davie St,Greek,49.2806316,-123.1321013,West End
Horin Ramen + Sake,1226 Robson St,Japanese,49.2861973,-123.1275046,West End
Mumbai Local Restaurant,1148 Davie St,Indian,49.2808497,-123.1323893,West End
Gillaneh Grill House,1072 Denman St,Persian,49.2884421,-123.1396485,West End
Rio Brazilian Steakhouse,1122 Denman St,Brazilian,49.2879495,-123.1404201,West End
JoongWon Restaurant,1329 Robson St,Korean,49.2874162,-123.1288262,West End
Zeitoon Restaurant,1795 Pendrell St,Persian,49.28794260000001,-123.1404572,West End
A&W Canada,991 Denman St,Hamburger,49.2896798,-123.1386141,West End
Donair Dude,1172 Davie St,Fast Food,49.2813704,-123.1329526,West End
Guu Davie,1239 Davie St,Izakaya,49.2823917,-123.1336009,West End
Mott 32 Vancouver,1161 W Georgia St,Chinese,49.2868699,-123.1241293,Downtown
A&W Canada,1158 Alberni St,Hamburger,49.2860922,-123.1252197,West End
3 QUARTERS FULL CAFE,1789 Comox St,Taiwanese,49.2885189,-123.1392191,West End
Gyu King Teppanyaki,1022 Alberni St,Japanese,49.2842782,-123.122531,West End
Holy Guacamole,805 Denman St,Mexican,49.2914957,-123.1357132,West End
Flower & Horse in Spring 花馬春天雲南過橋米線,1741 Robson St,Chinese,49.2910565,-123.1344748,West End
Koyuki Sapporo Ramen,795 Jervis St,Japanese,49.28731579999999,-123.1284195,West End
Tå Bom Korean Cuisine,1536 Robson St,Korean,49.2889813,-123.1319787,West End
A&W Canada,550 Bute St,Hamburger,49.2880603,-123.1236062,Downtown
Kirin Restaurant,1172 Alberni St,Chinese,49.286305,-123.1255378,West End
MoMo Sushi,1230 Robson St,Japanese,49.2862491,-123.1279033,West End
Freshii,1185 W Georgia St,Health Food,49.2872573,-123.1247192,Downtown
Nightingale,1017 W Hastings St,Canadian,49.287432,-123.1175609,Downtown
Ramen Koika,1231 Davie St,Japanese,49.2821353,-123.1336098,West End
Shabusen Yakiniku House,755 Burrard St #202,Japanese,49.2839983,-123.1223368,West End
Liuyishou Hotpot Robson,1542 Robson St,Chinese,49.288977,-123.1321299,West End
Yakinikuya Japanese BBQ,793 Jervis St,Japanese,49.2873367,-123.128366,West End
La Baguette et Compagnie,1102 Davie St,Bakery,49.280445,-123.1315288,West End
SMAK Healthy Fast Food,1139 W Pender St,Gluten Free,49.28799,-123.1214007,Downtown
Miku Vancouver,200 Granville St #70,Japanese,49.2868259,-123.112583,Downtown
Sala Thai,888 Burrard St #102,Thai,49.2822067,-123.1238037,Downtown
Nando's Davie & Howe (Downtown,828 Davie St,Chicken,49.2778637,-123.1276568,Downtown
Japadog,899 Burrard St,Hot Dog Stand,49.2822782,-123.1247563,West End
Zabu Chicken,1635 Robson St,Chicken,49.28993560000001,-123.1324871,West End
Ho Ho's Yummy Food,1224 Davie St,Chinese,49.2820498,-123.1340035,West End
Nuba in Gastown,207 W Hastings St,Takeout Restaurant,49.28278599999999,-123.1097021,Downtown
Glowbal,590 W Georgia St,Fusion restaurant,49.2811002,-123.1177713,Downtown
Robba da Matti,1127 Mainland St,Italian,49.2754729,-123.1213374,Downtown
Mangos Lounge,1180 Howe St,Mexican,49.2782904,-123.1260684,Downtown
Downtown Sushi Bar,1205 Davie St,Japanese,49.2819807,-123.1334404,West End
Nuba in Yaletown,508 Davie St,Lebanese,49.2759072,-123.1246107,Downtown
My Forno Pizza,1630 W Broadway,Pizza,49.2635028,-123.1417719,Fairview
Panago Pizza,1199 W Pender St #101,Pizza,49.28831599999999,-123.1226686,Downtown
J&G Fried Chicken,1706 Robson St,Fried Chicken,49.2904875,-123.1342473,West End
Shizenya Restaurant on Broadway,1333 W Broadway #160,Japanese,49.2638726,-123.1342629,Fairview
Lotus Seed vegan,736 W Broadway,Vegan,49.263078,-123.1210049,Fairview
A Taste Of India Restaurant,1282 Robson St,Indian,49.2866919,-123.1283441,West End
