name,address,cuisine,lat,lng,region
The Diner,4556 W 10th Ave W,British,49.2636064,-123.2108682,West Point Grey
Four Olives Restaurant,4510 W 10th Ave,Greek,49.263669,-123.2095599,West Point Grey
Danoo Cafe,4462 W 10th Ave,Brunch,49.26365209999999,-123.2082089,West Point Grey
Burgoo,4434 W 10th Ave,Bistro,49.2636512,-123.2071521,West Point Grey
Takumi Japanese Restaurant,4422 W 10th Ave,Japanese,49.26361439999999,-123.2067299,West Point Grey
La Quercia,3689 W 4th Ave,Italian,49.2687506,-123.1854023,Kitsilano
Rice Burger,2630 Sasamat St,Asian,49.2634268,-123.2089782,West Point Grey
Bella Roma Pizzeria & Ristorante,4460 W 10th Ave,Italian,49.26361610000001,-123.208092,West Point Grey
Sun Sushi,4512 W 10th Ave,Japanese,49.26369589999999,-123.2095971,West Point Grey
Enigma Urban Eatery & Bar,4397 W 10th Ave,Canadian,49.2639001,-123.2059181,West Point Grey
Koi Sushi,4532 W 10th Ave,Japanese,49.2636389,-123.2101844,West Point Grey
DoDo SUSHI,4443 W 10th Ave,Japanese,49.263924,-123.207363,West Point Grey
Rajio Japanese Public House,3763 W 10th Ave,Izakaya,49.2636263,-123.1871358,West Point Grey
Bombay Masala Restaurant,4473 W 10th Ave,Indian,49.264024,-123.2083768,West Point Grey
Hime Sushi,4490 W 10th Ave,Japanese,49.26369889999999,-123.2087306,West Point Grey
The Kitchen,2620 Sasamat St,Korean,49.2634428,-123.2089752,West Point Grey
The Galley Patio & Grill,1300 Discovery St,Grill,49.2756037,-123.2015089,West Point Grey
Taste of Thai,3629 W Broadway,Thai,49.2645956,-123.184452,Kitsilano
Freshslice Pizza,2083 Alma St #230,Pizza,49.2681947,-123.1859178,West Point Grey
Subway,4367 W 10th Ave,Sandwich,49.2639068,-123.2049784,West Point Grey
L'ufficio,3687 W 4th Ave,Italian,49.26874189999999,-123.1853333,Kitsilano
Yuji's from Japan,2083 Alma St,Japanese,49.2679307,-123.1865956,West Point Grey
Dharma Kitchen,3667 W Broadway,Vegan,49.26458,-123.1852558,Kitsilano
Ginger & Chili Restaurant,4409 W 10th Ave,Chinese,49.2639581,-123.206341,West Point Grey
A&W Canada,2083 Alma St #200,Hamburger,49.268477,-123.185978,West Point Grey
Spanish Banks West Concession,4875 NW Marine Dr,Fast Food,49.2774896,-123.2226717,West Point Grey
Hitoe Sushi gluten free,3347 W 4th Ave,Japanese,49.26865429999999,-123.1787084,Kitsilano
Aphrodite's Organic Cafe,3605 W 4th Ave,Organic,49.2687759,-123.1838257,Kitsilano
Locarno Beach Concession,4445 NW Marine Dr,Fast Food,49.2751382,-123.2062934,West Point Grey
Gold Train Express,4530 W 10th Ave,Vietnamese,49.2636417,-123.2101416,West Point Grey
Everyday Sushi,4572 W 10th Ave,Japanese,49.2637021,-123.211343,West Point Grey
La Notte Restaurant,3307 Dunbar St,Italian,49.2572246,-123.1853608,Dunbar-Southlands
East Is East,3035 W Broadway,Afghani,49.2643887,-123.1726934,Kitsilano
Green Leaf Sushi,3416 W Broadway,Japanese,49.264136,-123.180152,Kitsilano
The Eatery,3431 W Broadway,Japanese,49.2644072,-123.180761,Kitsilano
Harvest Deli,2963 W Broadway,Sandwich,49.2642872,-123.1717761,Kitsilano
Double DD Pizza,3510 W 4th Ave,Greek,49.2684317,-123.1821449,Kitsilano
The Wolf & Hound,3617 W Broadway,Irish pub,49.2644908,-123.1842908,Kitsilano
The Naam,2724 W 4th Ave,Vegetarian,49.268152,-123.1670302,Kitsilano
Handi Grill,3618 W Broadway,Indian,49.2642143,-123.1840813,Kitsilano
Dunbar Pizza & Indian Food,3348 Dunbar St,Takeout Restaurant,49.2570142,-123.1847986,Dunbar-Southlands
Pizza Hut,4540 W 10th Ave,Pizza,49.2636288,-123.2103871,West Point Grey
Figaro Café + Bakery,4372 W 10th Ave,Coffee store,49.2636631,-123.2051643,West Point Grey
Banana Leaf in Kitsilano,3005 W Broadway,Malaysian,49.2643597,-123.1723017,Kitsilano
Irori Sushi,3692 W 4th Ave,Japanese,49.2683828,-123.1853562,Kitsilano
Mr. Falafel,3685 W 10th Ave,Middle Eastern,49.2637593,-123.1854072,Kitsilano
Olympia Pizza Kits,3205 W Broadway,Pizza,49.2643345,-123.1760455,Kitsilano
Bangkok City Cafe,2953 W 4th Ave,Thai,49.2685582,-123.1706353,Kitsilano
Super Hiro's Restaurant,2585 W Broadway,Japanese,49.2641789,-123.1644463,Kitsilano
La Cigale Bistro,1961 W 4th Ave,French,49.2682732,-123.1494515,Kitsilano
White Spot Kitsilano,2518 W Broadway,Family-friendly,49.263791,-123.1632683,Kitsilano
Tandoori Fusion,2872 W Broadway,Indian,49.2639536,-123.169567,Kitsilano
STORM CITY COFFEE,3403 W Broadway,Coffee shop,49.2644087,-123.1801756,Kitsilano
Raisu,2340 W 4th Ave,Japanese,49.26801649999999,-123.158373,Kitsilano
Their There,2042 W 4th Ave,Takeout Restaurant,49.2679152,-123.1514302,Kitsilano
Peaceful Restaurant,2394 W 4th Ave,Chinese,49.2680246,-123.1596199,Kitsilano
Mix The Bakery,4430 W 10th Ave,Bakery,49.26363800000001,-123.206997,West Point Grey
Döner Kebab,1956 W 4th Ave,Middle Eastern,49.2679155,-123.1492544,Kitsilano
B House Restaurant,2270 Commercial Dr,Asian,49.2644738,-123.0695334,Grandview-Woodland
Hi-Nippon Japanese Restaurant,2274 W 4th Ave,Japanese,49.268006,-123.1569265,Kitsilano
Domino's Pizza,4426 W 10th Ave W,Pizza,49.2635833,-123.2069036,West Point Grey
Heirloom Vegetarian Restaurant,1509 W 12th Ave,Vegetarian,49.2609126,-123.1391689,Fairview
The Sandbar Seafood Restaurant,1535 Johnston Street Creekhouse #102,Seafood,49.2715164,-123.134276,Fairview
Nando's Kerrisdale,2064 W 41st Ave,Chicken,49.2342436,-123.1540599,Kerrisdale
Grounds for Coffee,2565 Alma St,Cafe,49.26384669999999,-123.1860727,West Point Grey
Vancouver Private Dining,1370 E Georgia St,Caterer,49.278305,-123.0755801,Grandview-Woodland
Bufala Kerrisdale,5395 West Blvd,Pizza,49.2374814,-123.1556462,Arbutus-Ridge
Yuwa Japanese Cuisine,2775 W 16th Ave,Japanese,49.2579886,-123.1678342,Kitsilano
Moxie's Grill & Bar,1160 Davie St,Grill,49.28105679999999,-123.1327804,West End
Cafe Medina,780 Richards St,Brunch,49.280408,-123.1168648,Downtown
Peaceful Restaurant,532 W Broadway #110,Chinese,49.2630874,-123.1160779,Fairview
Nat's New York Pizzeria,2684 W Broadway,Pizza,49.2638609,-123.1659229,Kitsilano
Mi Mary's Noodle and Liquor Bar 河南烩面,3188 Macdonald St,Chinese,49.2579641,-123.1682216,Kitsilano
Breka Bakery & Café (Kitsilano,3750 W 4th Ave,Bakery,49.2685179,-123.1867902,West Point Grey
McDonald's,3308 W Broadway,Fast Food,49.2640213,-123.1781943,Kitsilano
Bean Around the World Coffees,4456 W 10th Ave,Coffee shop,49.26366050000001,-123.2079568,West Point Grey
Uncle Pu's Sichuan Taste,3132 W Broadway,Traditional restaurant,49.2639725,-123.1748966,Kitsilano
Z&W Shanghai Kitchen 龙餐馆 - 龍上海菜,2126 W Broadway,Shanghainese,49.263687,-123.1535823,Kitsilano
Moki's Pizza,4027 Macdonald St,Pizza,49.2506063,-123.1680174,Arbutus-Ridge
Sura Korean Royal Cuisine Restaurant Vancouver,1518 Robson St,Korean,49.2888077,-123.131828,West End
Minami,1118 Mainland St,Japanese,49.2752011,-123.1207259,Downtown
Le Crocodile,909 Burrard St #100,French,49.2823018,-123.1249281,West End
Glowbal,590 W Georgia St,Fusion restaurant,49.2811002,-123.1177713,Downtown
Nourish Cooking School,location. Cook Culture Our in-person cooking classes are now taking place in the beautiful cooking school space at Cook Culture's 377 Howe St,Culinary school,49.2861754,-123.1147571,Downtown
Edible Canada,1596 Johnston St,Canadian,49.2716722,-123.1348861,Fairview
Cartems Donuts,3040 W Broadway,Donuts,49.2640281,-123.1728983,Kitsilano
Kokomo,611 Gore Ave,Vegan,49.2791736,-123.0973488,Strathcona
Westcoast Poké,463 W 8th Ave,Seafood,49.264087,-123.1138642,Mount Pleasant
Two Parrots Bar & Grill,1202 Granville St,Grill,49.2769294,-123.1261553,Downtown
Freshii,561 W Broadway,Health Food,49.2634909,-123.1170326,Fairview
Orange Corner,2257 W 41st Ave,Taiwanese,49.2347804,-123.1587608,Arbutus-Ridge
Elisa,1109 Hamilton St,Steak,49.2759238,-123.1214577,Downtown
Heirs Pears,605 Nelson St,Gluten Free,49.2788773,-123.1221668,Downtown
Mediterranean Grill,1152 Denman St,Persian,49.2877464,-123.1409009,West End
The Old Spaghetti Factory (Gastown,53 Water St,Italian,49.2837374,-123.1052117,Downtown
Gotham Steakhouse & Cocktail Bar,615 Seymour St,Steak,49.2828825,-123.1159646,Downtown
Papa John's Pizza,Store #10392 2030 Alma St,Pizza,49.26835939999999,-123.185491,Kitsilano
