name,address,cuisine,lat,lng,region
41 Noodle & Rice Pot House,2279 W 41st Ave,Chinese,49.2348021,-123.1591685,Arbutus-Ridge
A&W,"4255 Arbutus Street, #104",Fast Food,49.2485248,-123.1540053,Arbutus-Ridge
Barra 41,2407 W 41st Ave,Bar,49.2347594,-123.1615035,Arbutus-Ridge
Bufala Kerrisdale,5395 West Blvd,Fast Food,49.2374814,-123.1556462,Arbutus-Ridge
China Lan Lanzhou Beef Noodle,5555 West Blvd,Noodle,49.2360333,-123.1557741,Arbutus-Ridge
Finest At Sea,4675 Arbutus St,Seafood,49.2444905,-123.1539172,Arbutus-Ridge
La Buca Restaurant,4025 Macdonald St,Italian,49.2506204,-123.1679983,Arbutus-Ridge
Legato Tea & Coffee,2299 West 41st Ave,Cafe,49.2347705,-123.159587,Arbutus-Ridge
Minerva Restaurant,2411 W 41st Ave,Greek,49.2348658,-123.1615716,Arbutus-Ridge
Moki's Pizza,4027 Macdonald St,Fast Food,49.2506063,-123.1680174,Arbutus-Ridge
Nana's Green Tea,2135 W 41st Ave,Japanese,49.2348484,-123.1565687,Arbutus-Ridge
Orange Corner,2257 W 41st Ave,Chinese,49.2347804,-123.1587608,Arbutus-Ridge
Ridge Garden Restaurant,4009 Macdonald St,Chinese,49.2508491,-123.1679997,Arbutus-Ridge
Seasons in the Park,West 33rd Avenue,Seafood,49.2421528,-123.1566311,Arbutus-Ridge
Shota Sushi & Grill,5688 Yew St,Japanese,49.2349524,-123.1575019,Arbutus-Ridge
Sip Bowl,2255 W 41st Ave,Noodle,49.2348048,-123.1587418,Arbutus-Ridge
Sofra Mediterranean Kitchen,2277 W 41st Ave,Lebanese,49.2348041,-123.1591358,Arbutus-Ridge
Subway,5623 West Blvd,Sandwich,49.2351915,-123.1557238,Arbutus-Ridge
Subway,4665 Arbutus Street,Sandwich,49.2439795,-123.1539879,Arbutus-Ridge
Subway,4665 Arbutus St,Sandwich,49.2439795,-123.1539879,Arbutus-Ridge
Sushi King House,5333 West Blvd,Japanese,49.2378207,-123.1556788,Arbutus-Ridge
The Patty Shop,4019 Macdonald St,Caribbean,49.2507667,-123.1680264,Arbutus-Ridge
White Spot Kerrisdale,5367 West Blvd,Family-friendly,49.2376685,-123.1556307,Arbutus-Ridge
ZUBU Ramen - Kerrisdale,2129 W 41st Ave,Japanese,49.2348065,-123.1563953,Arbutus-Ridge
24 Train Express Noodle House,550 Nelson St,Noodle,49.278306,-123.1218399,Downtown
49th Parallel & Lucky's Doughnuts,689 Thurlow,Donut,49.2860839,-123.1229468,Downtown
6 Degrees Eatery,1590 Coal Harbour Quay,Breakfast,49.2916482,-123.128495,Downtown
A&W Canada,1399 Main St #110,Fast Food,49.2731373,-123.10036,Downtown
A&W Canada,603 Dunsmuir St,Fast Food,49.2831921,-123.1154539,Downtown
A&W Canada,550 Bute St,Fast Food,49.2880603,-123.1236062,Downtown
Al Porto Ristorante,321 Water St,Italian,49.2846566,-123.1093607,Downtown
Ancora Waterfront Dining and Patio - False Creek,1600 Howe St #2,Seafood,49.2738114,-123.1325984,Downtown
Angus T,1036 Mainland Street,Caf�,49.2759375,-123.1197949,Downtown
Autostrada Osteria Downtown,350 W Pender St,Italian,49.2825512,-123.112021,Downtown
BAUHAUS,1 Cordova,German,49.2826974,-123.1046195,Downtown
Ba Le Sandwich Shop,633 Main St,Sandwich,49.2788545,-123.100179,Downtown
Bacchus Restaurant & Lounge,845 Hornby St,European,49.2823626,-123.1228112,Downtown
Baghdad Cafe,548 Seymour St.,Middle Eastern,49.2834649,-123.1144324,Downtown
Bao Bei,163 Keefer St,Chinese,49.2796534,-123.1006157,Downtown
Bar One,1088 Burrard St North Tower Lobby,Bar,49.2801681,-123.1271342,Downtown
Basil Pasta Bar,636 Davie St,Italian,49.2767546,-123.1259051,Downtown
Bellaggio Cafe,773 Hornby St,Italian,49.2829809,-123.1215702,Downtown
Bestie,105 E Pender St,German,49.2804289,-123.1020179,Downtown
Bibiko,530 Hornby St,Korean,49.2854132,-123.1172916,Downtown
Big Bowl Rice,505 Dunsmuir St,Chinese,49.2825233,-123.1145022,Downtown
Birds & The Beets,55 Powell St,Cafe,49.2834553,-123.1028539,Downtown
Bistro Sakana,1123 Mainland St,Japanese,49.2753816,-123.1211273,Downtown
Black Rice Izakaya,782 Cambie St,Japanese,49.2783603,-123.1142376,Downtown
Blarney Stone,216 Carrall St,Irish,49.282772,-123.1039827,Downtown
Blue Water Cafe,1095 Hamilton St,Seafood,49.276155,-123.1211291,Downtown
Boston Pizza,808 Beatty St,Fast Food,49.2771786,-123.1140883,Downtown
Boston Pizza,869 Hornby St,Fast Food,49.2818577,-123.1234686,Downtown
Botanist,1038 Canada Pl,Pacific Northwest,49.2880938,-123.1165232,Downtown
Breka Bakery & Cafe,855 Davie St,Caf�,49.2784376,-123.1278992,Downtown
Brioche Urban Eatery,401 W Cordova St,Italian,49.2842375,-123.1099282,Downtown
Browns Crafthouse Seymour St.,580 W Pender St,Grill,49.2837833,-123.1138739,Downtown
Brunch,1147 Granville St,Mexican,49.2778708,-123.1256128,Downtown
Burger King,612 W Pender St,Fast Food,49.2841199,-123.1142664,Downtown
Cactus Club Cafe,588 Burrard St,American,49.2854558,-123.118732,Downtown
Cadeaux Bakery,172 Powell St,Dessert,49.2830853,-123.100481,Downtown
Cafe Medina,780 Richards St,Brunch,49.280408,-123.1168648,Downtown
CaffÃ¨ Artigiano,763 Hornby St,Cafe,49.2831088,-123.1214374,Downtown
CafÃ© One,1000 Burrard St,American,49.280314,-123.1264736,Downtown
Calabash Bistro,428 Carrall St.,Caribbean,49.2810337,-123.1041914,Downtown
Cardero's Restaurant,1583 Coal Harbour Quay,Seafood,49.2916101,-123.1274816,Downtown
Cartems Donuterie,534 W Pender St,Donut,49.2835993,-123.113811,Downtown
Catch 122 Cafe Bistro,122 W Hastings St,Bistro,49.2818442,-123.1081617,Downtown
Catfe,UNIT #2035 â SECOND FLOOR INTERNATIONAL VILLAGE MALL 88 W Pender St,Cafe,49.2799755,-123.1071426,Downtown
Chambar,568 Beatty St,Belgian,49.2801598,-123.109912,Downtown
Chancho Tortilleria,560 Davie St,Mexican,49.2761398,-123.1249744,Downtown
Chang'An,1661 Granville St,Chinese,49.273313,-123.1326809,Downtown
Charisma Cafe & Dessert House,197 Keefer Pl,Dessert,49.2799406,-123.1087145,Downtown
Chewies Steam & Oyster Bar - Coal Harbour,1055 W Hastings St,Bar,49.2877332,-123.1182842,Downtown
Chinatown BBQ,130 E Pender St,Chinese,49.28016,-123.1015139,Downtown
Chipotle Mexican Grill,818 Howe St,Mexican,49.2815125,-123.1210674,Downtown
