name,address,cuisine,price,rating,review_count
Blue Water Cafe,1095 Hamilton St,Seafood,$$$$,4.7,1938
Miku Vancouver,200 Granville St #70,Sushi,$$$,4.6,4460
MeeT in Gastown,12 Water St,Vegetarian,$$,4.5,2467
Cafe Medina,780 Richards St,Brunch,$$,4.5,3101
Lupo Restaurant & Vinoteca,869 Hamilton St,Italian,$$$,4.5,670
L'Abattoir,217 Carrall St,Pacific Northwest,$$$,4.5,1012
Minami,1118 Mainland St,Japanese,$$$,4.5,2042
Bacchus Restaurant & Lounge,845 Hornby St,European,$$$,4.5,476
Gotham Steakhouse & Cocktail Bar,615 Seymour St,Steak,$$$$,4.6,1495
Five Sails Restaurant,999 Canada Pl,Fine Dining,$$$$,4.5,312
Twisted Fork Bistro,213 Carrall St,Brunch,$$,4.4,1077
Giardino Restaurant,1328 Hornby St,Tuscan,$$$$,4.6,539
Cioppino's Mediterranean Grill,1133 Hamilton St,Mediterranean,$$$$,4.6,407
Italian Kitchen,860 Burrard St,Italian,$$$,4.1,1462
Shizenya,965 Hornby St,Japanese,$$,4.4,767
Ancora Waterfront Dining and Patio - False Creek,1600 Howe St #2,Seafood,$$$$,4.4,712
Hawksworth Restaurant,801 W Georgia St,Restaurant,$$$$,4.5,1000
Brix & Mortar,1138 Homer St Vancouver BC V6B 2X6 & 1137 Hamilton St,Restaurant,$$$,4.4,793
Nightingale,1017 W Hastings St,Canadian,$$$,4.5,1735
La Taqueria Pinche Taco,322 W Hastings St,Tacos,$,4.6,889
Cora Breakfast and Lunch,1368 Robson St,Breakfast,$$,4.3,1489
Brix & Mortar,1138 Homer St Vancouver BC V6B 2X6 & 1137 Hamilton St,Restaurant,$$$,4.4,793
Brazilian Roots Truck,698 Seymour St,Restaurant,,4.9,21
Momo Sushi,6-375 Water St,Sushi,$,4.2,1559
Chambar Restaurant,568 Beatty St,Restaurant,$$$,4.5,2847
The Keg Steakhouse + Bar - Dunsmuir,688 Dunsmuir St,Restaurant,$$$,4.3,1877
The Flying Pig Gastown,102 Water St,Canadian,$$,4.2,2342
Fanny Bay Oyster Bar & Shellfish Market,762 Cambie St,Oyster Bar,$$,4.5,1431
JOEY Burrard,820 Burrard St,Restaurant,$$,4.3,1952
Frankie's Italian Kitchen & Bar,765 Beatty St,Southern Italian,$$,4.2,802
Joyeaux Café & Restaurant,551 Howe St,Vietnamese,$,4.2,595
Gyoza Bar,622 W Pender St,Japanese,$$,4.2,1615
Le Crocodile,909 Burrard St #100,French,$$$$,4.6,905
Homer St. Cafe and Bar,898 Homer St,Restaurant,$$$,4.4,953
The Templeton,1087 Granville St,Diner,$,4.5,1517
Meat & Bread,370 Cambie St,Sandwich,$,4.6,1412
Hy's Steakhouse & Cocktail Bar,637 Hornby St,Steak,$$$$,4.5,1316
Chancho Tortilleria,560 Davie St,Mexican,$,4.7,683
Scoozis Bar & Grill,445 Howe St,Grill,$$,4.3,920
Rodney's Oyster House,1228 Hamilton St,Oyster Bar,$$,4.4,1396
Nuba in Gastown,207 W Hastings St,Takeout Restaurant,$$,4.4,2090
Gringo,27 Blood Alley Square,Mexican,$,4.6,1314
Boulevard Kitchen & Oyster Bar,845 Burrard St,Restaurant,$$$$,4.4,804
The Old Spaghetti Factory (Gastown,53 Water St,Italian,$$,4.4,5007
ARC Restaurant,900 Canada Pl,Restaurant,$$$,4.3,463
#e food,1308 Burrard St,Sandwich,,4.8,157
Notch8 Restaurant & Bar,900 W Georgia St,Restaurant,$$$,4.1,511
Joe Fortes Seafood & Chop House,777 Thurlow St,Seafood,$$$,4.5,4010
Water St. Café,300 Water St,Canadian,$$,4.2,834
Brioche Urban Eatery,401 W Cordova St,Italian,$$,4.3,631
Bali Thai,88 W Pender St,Indonesian,$,4.7,185
Wildebeest,120 W Hastings St,Pacific Northwest,$$$,4.3,815
Hungry Guys Kitchen,988 Granville St,Burritos,$,4.6,495
Di Beppe Restaurant,8 W Cordova St,Italian,$$,4.5,458
Straight Outta Brooklyn NYC Pizzeria,350 Robson St,Pizza,$,4.5,917
Autostrada Osteria Downtown,350 W Pender St,Italian,$$$,4.6,346
PiDGiN Restaurant,350 Carrall St,Asian Fusion,$$$,4.4,629
Pourhouse Restaurant,162 Water St,Restaurant,$$$,4.4,918
Botanist,1038 Canada Pl,Pacific Northwest,$$$,4.5,774
Cactus Club Cafe Coal Harbour,1085 Canada Pl,Restaurant,$$,4.4,3768
Manoush'eh,620 Davie St,Syrian,$,4.8,545
Basil Pasta Bar,636 Davie St,Italian,$,4.0,1073
Bao Bei,163 Keefer St,Chinese,$$$,4.5,764
Provence Marinaside,1177 Marinaside Crescent,Restaurant,$$$,4.3,1136
Tacofino Taco Bar,15 W Cordova St,Mexican,$$,4.5,2916
Pizza Garden,675 Smithe St,Pizza,$,4.4,626
Heritage Asian Eatery,1108 W Pender St,Restaurant,$$,4.2,626
Hydra Estiatorio Mediterranean Restaurant,475 Howe St,Restaurant,,4.4,105
The Flying Pig Yaletown,1168 Hamilton St,Restaurant,$$,4.2,1768
Top Of Vancouver Revolving Restaurant,555 W Hastings St,Continental restaurant,,4.1,1340
Pizzeria Farina,915 Main St,Pizza,$$,4.4,453
MeeT in Yaletown,1165 Mainland St,Restaurant,$$,4.5,1180
Pholicious,550 W Hastings St,Pho,$,4.6,430
Kaide Sushi Bar,1375 Richards St,Japanese,$$,4.4,320
Al Porto Ristorante,321 Water St,Italian,$$,4.1,654
Pita Wrap Cafe,565 Dunsmuir St,Middle Eastern,$,4.7,205
The Poke Guy,420 Richards St,Hawaiian,$$,4.6,714
Glowbal,590 W Georgia St,Fusion restaurant,$$$,4.0,1618
Earls Kitchen + Bar,905 Hornby St,Restaurant,$$,4.2,1953
Elisa,1109 Hamilton St,Steak,$$$$,4.6,769
Vegan Cave Cafe,415 Abbott St,Vegan,$$,4.7,329
JINYA Ramen Bar,541 Robson St,Restaurant,$$,4.3,2752
Jules Bistro,216 Abbott St,French,$$,4.3,475
Cactus Club Cafe Bentall 5,588 Burrard St,Restaurant,$$,4.4,1888
Nicli Antica Pizzeria,62 E Cordova St,Pizza,$$,4.4,980
Guu Original Thurlow,838 Thurlow St,Izakaya,$$,4.4,1232
La Terrazza,1088 Cambie St,Italian,$$$,4.3,415
Gyu-Kaku Japanese BBQ,888 Nelson St g3,Japanese,$$,4.5,2262
Fresh Sushi,909 Expo Blvd,Japanese,$,4.4,435
The Keg Steakhouse + Bar - Yaletown,1011 Mainland St,Restaurant,$$$,4.4,1684
Chinatown BBQ,130 E Pender St,Chinese,$$,4.6,565
Coast,1054 Alberni St,Seafood,$$$,4.3,1490
La Cantina Tacos,722 Nelson St,Mexican,$,4.5,510
SMAK Healthy Fast Food,545 Granville St,Fast Food,,4.4,324
Symphonie Restaurant,1140 W Pender St Unit #120,Restaurant,$,4.5,54
Black Rice Izakaya,782 Cambie St,Izakaya,$$,4.2,648
The Parlour,1011 Hamilton St,Takeout Restaurant,$$,4.2,1349
Yamato Sushi,616 Davie St,Japanese,$,4.2,755
Café One,1000 Burrard St,American,,4.0,166
Wakwak Burger,511 Granville St,Hamburger,$,4.5,142
Firecrust Neapolitan Pizzeria,808 Davie St,Pizza,$,4.4,780
Bistro Sakana,1123 Mainland St,Japanese,$$,4.3,379
Burgoo,101-1100 Burrard St,Bistro,$$,4.4,624
Viet Sub Vietnamese Cuisine,520 Robson St,Takeout Restaurant,$,4.4,382
The Greek By Anatoli,1043 Mainland St,Greek,$$,4.1,865
The Lobby Lounge and RawBar,1038 Canada Pl,Restaurant,,4.4,171
Caveman Café,88 W Pender St,Restaurant,$,4.6,1077
Pacifico Pizzeria & Ristorante,970 Smithe St,Pizza,$$,4.2,757
Bellaggio Cafe,773 Hornby St,Italian,$$,4.0,574
Calabash Bistro,428 Carrall St,Caribbean,$$,4.4,738
Catch 122 Cafe Bistro,122 W Hastings St,Bistro,$$,4.3,1071
Showcase Restaurant & Bar,1122 W Hastings St,Restaurant,$$$,4.2,237
Indigo Age Catering,436 Richards St,Vegan,$$,4.3,412
Cibo Trattoria,900 Seymour St,Italian,$$$,3.8,146
Nuba in Yaletown,508 Davie St,Lebanese,$$,4.3,912
Pokerrito,558 Dunsmuir St,Hawaiian,,4.4,901
Indian Delicacy,1130 W Pender St Unit 105,Indian,$$,4.7,596
Tasty Indian Bistro | Yaletown,1261 Hamilton St,Indian,$$,4.4,926
Moltaqa Moroccan Restaurant,51 W Hastings St,Restaurant,,4.4,506
Thai Away Home on Granville,1081 Granville St,Thai,$,4.3,213
Paramount Fine Foods,560 Robson St,Middle Eastern,$$,4.3,1869
Keto Caveman Cafe,605 W Pender St,Restaurant,,4.6,98
Baghdad Cafe,548 Seymour St,Middle Eastern,$,4.3,590
Sushi Mugen,903 Davie St,Sushi,,4.6,333
Cafe Il Nido,780 Thurlow St,Italian,$$,4.1,139
White Spot Dunsmuir,405 Dunsmuir St,Family-friendly,$$,4.2,1279
Crave India Restaurant,1019 Granville St,Indian,$,4.2,440
Wow Thai Food,88 W Pender St #2007,Thai,$,4.4,115
Rogue Kitchen & Wetbar,601 W Cordova St,Restaurant,$$,4.0,1679
Kamei Baru,990 Smithe St,Japanese,$$,4.0,355
LOCAL Public Eatery,3 Alexander St,Restaurant,$$,4.3,1079
Black+Blue,1032 Alberni St,Steak,$$$$,4.2,2471
Revel Room Supper Club & Live Music Restaurant,238 Abbott St,Southern,$$,4.4,620
Le Petit Belge,340 Robson St,Breakfast,$$,4.3,869
SMAK Healthy Fast Food,840 Howe St,Health Food,,4.4,39
Chipotle Mexican Grill,818 Howe St,Mexican,$,4.1,2284
Tacofino Yaletown,1025 Mainland St,Mexican,$$,4.3,1149
OEB Breakfast Co.,1137 Marinaside Crescent,Breakfast,$$,4.5,856
Nero waffles,1002 Seymour St,Dessert,,4.5,1624
per se Social Corner,891 Homer St,Spanish,$$,4.2,1345
Kobe Japanese Steakhouse,1042 Alberni St,Japanese steakhouse,$$$$,4.3,1078
Palate Kitchen,848 W Hastings St,Restaurant,,4.3,137
Robba da Matti,1127 Mainland St,Italian,$$,4.3,532
La Casita - Gastown,101 W Cordova St,Mexican,$$,4.2,1553
Mr Greek Donair Town,1173 Granville St,Middle Eastern,$,4.5,288
Patron Tacos & Cantina,265 Robson St,Mexican,$$,4.3,1452
Holts Café Vancouver,Holt Renfrew Vancouver 737 Dunsmuir St,Canadian,,4.2,69
Earls Kitchen + Bar,1095 Mainland St,Restaurant,$$,4.1,1787
Save On Meats,43 W Hastings St,Diner,$,4.3,783
The Edge Social Grille & Lounge,1100 Granville St,Grill,$$,4.0,107
Simply Thai,1211 Hamilton St,Thai,$$,3.9,304
Tap & Barrel • Convention Centre,76-1055 Canada Pl,Restaurant,$$,4.2,1232
JJ's Restaurant,250 W Pender St,Restaurant,,4.4,24
TWB - The Wine Bar,1167 Marinaside Crescent,Grill,$$,4.2,75
Roxy Burger,910 Granville St,Hamburger,$$,4.2,842
La Taqueria Pinche Taco Shop,586 Hornby St,Mexican,$$,4.3,1192
The Pawn Shop YVR,1117 Granville St,Mexican,$,4.4,852
Sala Thai,888 Burrard St #102,Thai,$$,4.1,1193
Ask For Luigi Restaurant,305 Alexander St,Italian,$$,4.5,1395
Haru Korean Kitchen,324 Cambie St,Korean,$$,4.1,404
Bibiko,530 Hornby St,Korean,,4.5,46
Steamworks Brewpub,375 Water St,Brewpub,$$,4.3,3690
Guu with Otokomae,375 Water St #105,Izakaya,$$,4.3,760
Granville Warehouse,989 Granville St,Restaurant,$,4.1,1350
Hubbub,859 Hornby St,Sandwich,$,4.3,311
Peaceful Restaurant,602 Seymour St,Chinese,,3.8,637
Original Joe's Restaurant & Bar,298 Robson St,Restaurant,$$,3.9,567
The Moose,724 Nelson St,Restaurant,$,4.3,561
Sitar Restaurant,8 Powell St,Indian,$$,4.0,214
Yagger's Downtown Restaurant & Sports Bar,433 W Pender St,Takeout Restaurant,$$,4.2,499
Guu Garden,888 Nelson St m101,Japanese,$$,4.2,926
Heirs Pears,605 Nelson St,Gluten Free,,4.2,203
TAKO - Taqueria Korean,601 Expo Blvd,Korean,$,4.3,625
Six Acres,203 Carrall St,Restaurant,$$,4.3,662
Banter Room,1039 Mainland St,Restaurant,$$,4.0,509
Bistro Verde,799 Robson St,American,$$,3.9,386
1931 Gallery Bistro,750 Hornby St,Restaurant,,4.2,112
Mean Poutine,718 Nelson S,Fast Food,$,4.3,507
Hapa Izakaya Yaletown,1193 Hamilton St,Japanese,$$,4.3,510
Ramen Gojiro,501 Dunsmuir St,Ramen,$,4.2,2158
Salt Tasting Room,45 Blood Alley Square,Restaurant,$$$,4.3,316
Fritz European Fry House,718 Davie St,Fast Food,$,4.3,1009
SMAK Healthy Fast Food,1139 W Pender St,Gluten Free,$$,4.2,367
JOS,1190 W Cordova St,Pizza,,4.6,178
Devil's Elbow Ale and Smoke House,562 Beatty St,Barbecue,$$,4.3,1244
One Saigon,979 Hornby St,Vietnamese,$,4.0,118
De Dutch,1055 Canada Pl #60,Brunch,$$,3.9,590
Ha Long Bay Restaurant,430 W Pender St,Vietnamese,$,4.0,224
Sai Woo,158 E Pender St,Asian Fusion,$$,4.2,491
CinCin Ristorante + Bar,1154 Robson St,Italian,$$$,4.4,887
arturosmexico2go,777 W Cordova St,Mexican,,4.7,54
Phnom Penh Restaurant,244 E Georgia St,Cambodian,$$,4.5,2981
Tractor Foods,547 Robson St,Health Food,$$,4.2,386
Patterson Wonton House,917 Davie St,Chinese,$,3.9,109
Cactus Club Cafe Yaletown,357 Davie St,Restaurant,$$,4.2,1253
The Victor,39 Smithe St,Steak,$$$$,4.0,576
Marutama Ra-men Canada Central Library,270 Robson St,Ramen,$$,4.5,1407
Four Bistro,538 Seymour St,Restaurant,,4.1,33
India Gate Restaurant,616 Robson St,Indian,$$,3.9,427
Nando's Davie & Howe (Downtown,828 Davie St,Chicken,$$,4.1,1248
Five Guys,635 Robson St,Hamburger,$$,4.3,2784
Johnny Rockets,755 Nelson St,Hamburger,$,4.1,580
Edo Japan,CF Pacific Centre 701 W Georgia St,Fast Food,$,4.2,27
St Lawrence Restaurant,269 Powell St,French,$$$,4.7,617
國子煎 Me and Crepe Downtown,589 W Pender St,Restaurant,$$,4.1,162
Prestons Restaurant + Lounge Vancouver,1177 W Pender St,Restaurant,$$,3.9,208
Kokoro Tokyo Mazesoba - Downtown,551 Seymour St,Ramen,$$,4.3,1113
Copper Branch,280 Nelson St,Vegan,$$,4.2,52
Freshii,1291 Howe St,Health Food,,4.3,13
Congee Noodle Delight,88 W Pender St #1021,Chinese Noodles,$,4.0,433
Poké Time,840 Howe St,Hawaiian,,4.0,430
Tractor Everyday Healthy Foods - Marine Building,335 Burrard St,Health Food,$$,4.1,458
Juke Fried Chicken,182 Keefer St,Restaurant,$,4.2,1712
Big Bowl Rice,505 Dunsmuir St,Taiwanese,$,4.0,78
24 Train Express Noodle House,550 Nelson St,Takeout Restaurant,,4.2,373
Mosaic Grille & Bar,655 Burrard St,Grill,$$,4.1,147
Chang 'An,1661 Granville St 1st Floor,Chinese,,4.0,320
Kingston Taphouse & Grille,755 Richards St,Grill,$$,4.0,543
Tableau Bar Bistro,1181 Melville St,Bistro,$$$,4.4,578
Numero Uno Pizza,708 Davie St,Pizza,,4.2,108
Reflections: The Garden Terrace,801 W Georgia St,Restaurant,$$$$,4.2,399
Tutto Restaurant & Bar,901 Homer St,Italian,,4.5,71
