name,address,cuisine,price,rating,review_count
Moon Sushi Japanese Restaurant,4385 Dunbar St,Sushi,,4.1,113
The Cheese Inn,4585 Dunbar St,British,$$,4.1,212
Dunbar Pizza & Indian Food,3348 Dunbar St,Takeout Restaurant,$,4.3,197
Cosy Inn Cafe,4455 Dunbar St,Breakfast,$,4.1,113
Kuma Japanese Restaurant,Dunbar St,Japanese,$$,4.5,191
Wild Sushi,4288 Dunbar St,Sushi,$,3.8,81
La Notte Restaurant,3307 Dunbar St,Italian,$$,4.2,206
Dunbar Sushi,3626 W 16th Ave,Sushi,$,4.1,81
Midam Cafe - Vancouver,3211 W Broadway,Korean,,4.6,59
Bells & Whistles Dunbar,4497 Dunbar St,Restaurant,,4.0,21
HaiDiLao Hotpot West Broadway,3204 W Broadway,Restaurant,,4.9,69
Pokay Vancouver,2965 W Broadway,Hawaiian,,4.5,20
East Is East,3035 W Broadway,Afghani,$$,4.5,775
Dijon Kitchen - Vietnamese Street Food,3648 W Broadway,Lunch,,4.5,27
Chewie's Chicken & Biscuits,2822 W 4th Ave,Restaurant,,4.8,413
the kitchen dada sushi bar & grill,2535 Alma St,Restaurant,,4.8,103
Bufala Kerrisdale,5395 West Blvd,Pizza,$$,4.4,466
Dharma Kitchen,3667 W Broadway,Vegan,$$,4.5,208
Mimi's Burgers,2287 W Broadway,Restaurant,,4.8,68
Red Tuna Japanese Restaurant,3592 W 41st Ave,Japanese,,3.8,228
Stong's Market,4221 Dunbar St,Grocery store,,4.3,232
Q Coffee,5607 Dunbar St,Coffee shop,$$,3.9,155
Fiore Famiglia,2603 W 16th Ave,Italian,$$,4.2,148
Crepe & Cafe,3500 W 41st Ave,Restaurant,$$,3.8,127
La Quercia,3689 W 4th Ave,Italian,$$$,4.6,248
The PokéMan Kakigori Café & Poké Shop,3742 W 10th Ave,Restaurant,$$,4.5,219
Moki's Pizza,4027 Macdonald St,Pizza Delivery,,4.6,63
Tera V Burger,2961 W Broadway,Fast Food,$,4.5,390
The Wolf & Hound,3617 W Broadway,Irish pub,$$,4.2,563
Rajio Japanese Public House,3763 W 10th Ave,Izakaya,$$,4.4,412
Handi Grill,3618 W Broadway,Indian,,4.2,263
Chewies Smoke & Oyster Bar Kitsilano,2201 W 1st Ave,Oyster Bar,$$,4.2,676
Aphrodite's Organic Cafe,3605 W 4th Ave,Organic,$$,4.2,445
Super Hiro's Restaurant,2585 W Broadway,Japanese,,4.7,141
Olympia Pizza Kits,3205 W Broadway,Pizza,$$,4.2,302
Hitoe Sushi gluten free,3347 W 4th Ave,Sushi,$$,4.4,347
Nuba in Kitsilano,3116 W Broadway,Takeout Restaurant,$$,4.2,727
t.cup,4495 Dunbar St,Bubble Tea,,4.1,108
La Buca Restaurant,4025 Macdonald St,Italian,,4.6,125
Bombay Masala Restaurant,4473 W 10th Ave,Indian,,4.7,100
Banana Leaf in Kitsilano,3005 W Broadway,Malaysian,$$,4.2,648
Deacon's Corner Kits,3189 W Broadway,Diner,$$,4.2,517
Tandoori Fusion,2872 W Broadway,Indian,$$,4.3,307
Koi Sushi,4532 W 10th Ave,Sushi,,4.7,110
The Naam,2724 W 4th Ave,Vegetarian,$,4.3,2230
Minerva Restaurant,2411 W 41st Ave,Greek,$$,4.4,423
Ridge Garden Restaurant,4009 Macdonald St,Chinese,$$,4.1,86
Jiu Jiang Japanese Restaurant,5707 Balsam St,Japanese,$$,4.1,171
Linh Café,2836 W 4th Ave,Vietnamese,$$,4.4,755
Sahel Market & Restaurant,3207 W Broadway,Persian,$,4.7,184
Rice Burger,2630 Sasamat St,Asian Fusion,,4.4,299
Sushi Bar Ajisai,2081 W 42nd Ave,Sushi,$$,4.5,749
Nelly's Grill,2061 W 4th Ave,Breakfast,$,4.4,375
Colony Bar Kits,3255 W Broadway,Restaurant,$$,4.2,505
Bento Sushi,4221 Dunbar St,Sushi takeaway,$$,5.0,1
Domino's Pizza,4298 Dunbar St,Pizza Delivery,$,3.4,149
Taste of Thai,3629 W Broadway,Thai,$$,4.5,201
Raisu,2340 W 4th Ave,Japanese,$$,4.5,1348
Jericho Beach Concession,3941 Point Grey Rd,Restaurant,,4.3,64
Browns Socialhouse Point Grey,3651 W 10th Ave,Restaurant,$$,4.1,394
delhi6 Indian bistro,1766 W 7th Ave,Indian,$$,4.5,412
Beehive Restaurant,2741 W4th Ave Central,Restaurant,,4.2,76
The Diner,4556 W 10th Ave W,British,$,4.3,137
Gobble,2017 W 4th Ave,Restaurant,$,4.7,96
Breakfast Table,3014 Granville St,Breakfast,$$,4.6,736
BIGSBY THE BAKEHOUSE,4894 MacKenzie St,Restaurant,$$,4.5,102
Freshslice Pizza,2083 Alma St #230,Pizza,$,4.5,175
Healthy Noodle House,2716 W 4th Ave,Noodle Shop,,4.8,114
Sofra Mediterranean Kitchen,2277 W 41st Ave,Lebanese,$,4.2,411
Yuwa Japanese Cuisine,2775 W 16th Ave,Japanese,$$$,4.3,197
Sazon Mexican Cuisine,2698 W 4th Ave,Mexican,,4.6,59
Las Margaritas,1999 W 4th Ave,Takeout Restaurant,$$,4.2,1930
Browns Restaurant Group,3540 West 41st Avenue#207A,Restaurant,,1.0,1
L'ufficio,3687 W 4th Ave,Italian,$$$,4.5,33
Bishop's,2183 W 4th Ave,Pacific Northwest,$$$$,4.7,234
Burgoo,4434 W 10th Ave,Bistro,$$,4.3,401
Trattoria,1850 W 4th Ave,Italian,$$,4.1,972
