name,address,cuisine,price,rating,review_count
Salmon n' Bannock,1128 W Broadway #7,Pacific Northwest,$$,4.7,424
Tony's Fish & Oyster Cafe,1511 Anderson St,Seafood,$$,4.1,768
Café Salade de Fruits,1555 W 7th Ave,French,$$,4.6,450
Apollonia Greek Restaurant,1830 Fir St,Takeout Restaurant,$$,4.5,276
The Sandbar Seafood Restaurant,1535 Johnston Street Creekhouse #102,Seafood,$$$,4.4,2680
Suika Japanese Restaurant,1626 W Broadway,Izakaya,$$,4.5,1285
Breakfast Table,3014 Granville St,Breakfast,$$,4.6,736
Go Fish,1505 W 1st Ave,Fish & Chips,$$,4.4,1381
The Vancouver Fish Company,1517 Anderson St,Seafood,$$,4.1,1339
Peaceful Restaurant,532 W Broadway #110,Chinese,,4.1,607
Yanaki Sushi,816 W 6th Ave,Japanese,$$,4.3,197
A.BENTO 飯匠,656 W Broadway,Restaurant,,4.9,44
Heirloom Vegetarian Restaurant,1509 W 12th Ave,Vegetarian,$$,4.4,1222
Blue Hat Bistro,1505 W 2nd Ave #101,Bistro,,4.4,102
Pizza Pzazz,1689 Johnston St,Pizza,,4.4,83
Raga Restaurant,1177 W Broadway,Indian,$$,4.6,278
Shizenya Restaurant on Broadway,1333 W Broadway #160,Japanese,$$,4.4,292
Bin 4 Burger Lounge,2996 Granville St,Hamburger,$$,4.5,1351
Tojo's Restaurant,1133 W Broadway,Japanese,$$$$,4.2,444
My Forno Pizza,1630 W Broadway,Pizza,$,4.5,177
Subway,1288 W Broadway,Sandwich,$,3.4,54
My Forno Pizza,1630 W Broadway,Pizza,$,4.5,177
New India Buffet + Bar & Restaurant,901 W Broadway,Indian,$$,4.4,3889
Gyu-Kaku Japanese BBQ,950 W Broadway #201,Yakiniku,$$,4.5,1336
Dynasty Seafood Restaurant,108-777 W Broadway,Chinese,$$$,4.2,1113
The Rise Eatery,3121 Granville St,Restaurant,$$,4.3,314
Dockside Restaurant,1253 Johnston St,Restaurant,$$$,4.0,656
Edible Canada,1596 Johnston St,Canadian,$$,4.2,1003
Chau Veggie Express,1689 Johnston St,Vegan,,4.3,88
Osaka Teppanyaki,1788 W Broadway #103,Seafood,$$,4.4,446
