name,address,cuisine,region
The Patty Shop,4019 Macdonald St,Caribbean,Arbutus-Ridge
Butter Baked Goods,4907 Mackenzie St,Bakery,Arbutus-Ridge
La Buca,4025 MacDonald Street,Italian,Arbutus-Ridge
Bufala,5395 West Blvd,Pizza,Arbutus-Ridge
White Spot,5367 West Blvd,Burgers,Arbutus-Ridge
Subway,4665 Arbutus Street,Sandwiches,Arbutus-Ridge
Wakwak Burger,511 Granville St,Food Truck,Arbutus-Ridge
A&W,"4255 Arbutus Street, #104",Fast Food,Arbutus-Ridge
Van Den Bosch Bakery,4255 Arbutus Street,Bakery,Arbutus-Ridge
Finest at Sea,4675 Arbutus Street,Seafood,Arbutus-Ridge
Arbutus Club Bistro,,Burgers,Arbutus-Ridge
Bigsby The Bakehouse,,Bakery,Arbutus-Ridge
Gotham Steakhouse & Cocktail Bar,615 Seymour St.,Steakhouse,Downtown
Medina Café,780 Richards St,Breakfast,Downtown
The Keg Steakhouse + Bar - Dunsmuir,688 Dunsmuir Street,Restaurant,Downtown
Fanny Bay Oyster Bar,762 Cambie St,Seafood,Downtown
Black Rice Izakaya,782 Cambie St,Restaurant,Downtown
Japadog,530 Robson St,Hot Dogs,Downtown
Lupo,869 Hamilton St,Italian,Downtown
Paramount Fine Foods,560 Robson St,Lebanese,Downtown
Cartems Donuterie,534 W Pender St,Donuts,Downtown
Triple O's,700 Hamilton St. (inside CBC Vancouver),Burgers,Downtown
Chambar,568 Beatty St,Belgian,Downtown
Finch’s Tea & Coffee House,353 W Pender St,Sandwiches,Downtown
Gallery Café,750 Hornby St,Café,Downtown
Hubbub Sandwiches,859 Hornby St,Sandwiches,Downtown
Meat & Bread,370 Cambie St,Sandwiches,Downtown
La Taqueria,322 W Hastings St,Tacos,Downtown
Glowbal,590 West Georgia St,Restaurant,Downtown
Homer St. Cafe and Bar,898 Homer St.,Restaurant,Downtown
Tacofino,1025 Mainland St,Tacos,Downtown
Five Guys,635 Robson Street,Burgers,Downtown
Bacchus Lounge,845 Hornby St,French,Downtown
New Amsterdam Cafe,301 W Hastings,Café,Downtown
PureBread,159 W. Hastings DT,Bakery,Downtown
