name,address,cuisine,price,rating,review_count
Absinthe Bistro,952 Commercial Dr,French,$$,4.8,322
The Cannibal Cafe,1818 Commercial Dr,Hamburger,$$,4.4,1199
Tacofino Commissary,2327 E Hastings St,Tacos,$$,4.4,1048
Sula Indian Restaurant - Commercial Drive,1128 Commercial Dr,Indian,$$,4.5,889
Fets Whisky Kitchen,1230 Commercial Dr,Grill,$$,4.4,927
La Mezcaleria,1622 Commercial Dr,Mexican,$$,4.3,1160
Tamam To Go,1108 Commercial Dr,Restaurant,,4.6,30
Bombay Kitchen and Bar,1018 Commercial Dr,Indian,,4.7,839
Mogu Fried Chicken,1012 Commercial Dr,Restaurant,,4.8,71
The Red Wagon,2128 E Hastings St,Restaurant,$$,4.3,1443
Poke Five,2247 Commercial Dr,Seafood,,4.5,170
Harbour Oyster + Bar,1408 Commercial Dr,Oyster Bar,,4.6,246
Cafe Deux Soleils,2096 Commercial Dr,Breakfast,$,4.4,900
Ginger Sushi,1437 Commercial Dr,Takeout Restaurant,$,4.6,404
Scandilicious,25 Victoria Dr,Scandinavian,$$,4.5,875
Havana Vancouver,1212 Commercial Dr,Restaurant,$$,4.2,1610
Bar Corso,1566 Commercial Dr,Tapas,,4.7,69
Kishimoto Japanese Restaurant,2054 Commercial Dr,Japanese,$$,4.4,752
Kin Kao Thai Kitchen,903 Commercial Dr,Takeout Restaurant,$$,4.4,448
Tangent Café,2095 Commercial Dr,Restaurant,$$,4.3,777
CHOMP vegan eatery,2234 E Hastings St,Vegan,$$,4.5,218
Dachi Vancouver,2297 E Hastings St,Restaurant,$$,4.7,205
Bon's Off Broadway,2451 Nanaimo St,Breakfast,$,4.4,2133
Tangent Café,2095 Commercial Dr,Restaurant,$$,4.3,777
Hanai Family Table,1370 E Georgia St,Hawaiian,,4.7,14
Yolks,1598 E Hastings St,Breakfast,$$,4.3,1403
Oca Pastificio,1260 Commercial Dr,Restaurant,,4.7,63
Windjammer Restaurant,937 Commercial Dr,British,$,4.2,250
Eternal Abundance Organic Market & Eatery,1025 Commercial Dr,Vegan,$$,4.4,370
Downlow Chicken Shack,905 Commercial Dr,Chicken,$$,4.7,1853
Pepino's Spaghetti House,631 Commercial Dr,Italian,$$,4.4,679
Best Falafel Commercial Drive,2013 Commercial Dr,Middle Eastern,$,4.2,513
Via Tevere Pizzeria,1190 Victoria Dr,Pizza,$$,4.7,1292
Farroghi's,1370 E Georgia St,Fast Food,,4.3,28
Zazie Vancouver,1859 Commercial Dr,Modern Indian restaurant,,4.2,18
Thai Basil Restaurant,1179 Commercial Dr,Thai,$,4.4,216
Portuguese Club Of Vancouver,1144 Commercial Dr,Portuguese,$$,4.4,136
THE PIZZA CASTLE & INDIAN CURRY,1110 Commercial Dr,Vegan,,4.4,130
BierCraft Tap and Tapas,1191 Commercial Dr,Tapas,$$,4.2,1103
Aleph Eatery,1889 Powell St,Vegan,$$,4.6,347
Truck Stop Cafe,1046 Clark Dr,Restaurant,$,4.5,201
Famoso Neapolitan Pizzeria - Commercial Drive,1380 Commercial Dr,Pizza,$$,4.0,800
DUNDAS Eat + Drink - six o pho,2077 Dundas St,Fusion restaurant,$,4.7,367
Marcello Ristorante & Pizzeria,1404 Commercial Dr,Italian,$$,4.2,1424
Sopra Sotto Pizzeria,1510 Commercial Dr,Italian,$$,4.4,669
Memphis Blues Barbeque House,1342 Commercial Dr,Takeout Restaurant,$$,4.3,640
Kulinarya Filipino Eatery,1134 Commercial Dr,Filipino,$$,4.4,279
Cafè Calabria,1731 Commercial Dr,Takeout Restaurant,,4.4,399
The Dime,1565 Commercial Dr,Grill,$,4.1,929
Lombardo's Pizzeria & Ristorante,1641 Commercial Dr,Italian,$$,4.1,519
Arriva Ristorante Ltd,1537 Commercial Dr,Italian,$$,4.3,281
Riddim & Spice,1945 Commercial Dr,Jamaican,$,4.3,176
Cafe Rosemary,1497 Franklin St,Breakfast,$,4.4,70
Vera's On The Drive,1438 Commercial Dr,Hamburger,$$,4.1,326
Tatsu Japanese Bistro,1441 Commercial Dr,Japanese,$$,4.2,293
Jamjar Canteen,2290 Commercial Dr,Lebanese,,4.3,935
Vancouver Donair,933 Commercial Dr,Restaurant,$,4.3,51
La Grotta Del Formaggio,1791 Commercial Dr,Deli,$$,4.6,559
Belgian Fries,1885 Commercial Dr,Restaurant,$,4.2,981
Pacific Poke,1268 Commercial Dr,Seafood,,4.2,59
Red Burrito,1700 Commercial Dr,Mexican,$,4.0,267
Harambe Ethiopian Restaurant,2149 Commercial Dr,Ethiopian,$$,4.1,801
Pizza Garden,1042 Commercial Dr,Pizza,$,4.2,387
Le Do Restaurant,2292 E Hastings St,Vietnamese,$,4.2,59
Sunrise Pizza & Steak House,949 Commercial Dr,Pizza,$$,4.0,358
