name,address,cuisine,price,rating,review_count
Silks,188 N Renfrew St,Buffet,,4.9,31
Just Waffles Restaurant,3531 E Hastings St,Restaurant,$,4.7,352
Roundel Café,2465 E Hastings St,Restaurant,$$,4.5,415
Tacofino Commissary,2327 E Hastings St,Tacos,$$,4.4,1048
Vancity Pizza,2411 E Hastings St,Italian,,4.8,71
Blowfish Sushi & Japanese Food,2828 E Hastings St #107,Japanese,$$,4.4,271
James On Hastings Chinese Restaurant,2683 E Hastings St,Chinese,$,4.2,507
Mordimi bite of italy,2638 E Hastings St,Pizza Takeout,,4.7,74
Laksa King,2546 E Hastings St,Malaysian,$,4.4,469
BeaverTails,2901 E Hastings St,Fast Food,$,5.0,22
Dachi Vancouver,2297 E Hastings St,Restaurant,$$,4.7,205
Le Pho Vietnamese Restaurant,2503 E Hastings St,Vietnamese,$,4.4,392
Bao Chau Restaurant,2717 E Hastings St,Vietnamese,$,4.4,551
Tamam: Fine Palestinian Cuisine,2616 E Hastings St,Middle Eastern,$$,4.4,458
The Slocan Restaurant,2715 E Hastings St,Restaurant,$,4.0,632
Bai Bua Thai Cuisine,1-2443 E Hastings St,Thai,$$,4.5,438
Rumi Rose Tea,3660 E Hastings St,Restaurant,$$,4.9,60
Sushi Nanaimo,350 Nanaimo St,Sushi,$,4.2,986
Indian Village Eatery,2745 E Hastings St #130,Indian,$,4.2,174
The Red Wagon,2128 E Hastings St,Restaurant,$$,4.3,1445
Le Petit Saigon,2783 E Hastings St,Vietnamese,$,4.3,568
Whiskey Six BBQ,826 Renfrew St,Barbecue,$$,4.5,339
Poor Italian Ristorante,3296 E 1st Ave,Italian,$$,4.2,427
Basil Garden Restaurant,2889 E Broadway,Vietnamese,$,4.4,382
Thailicious,2404 E Hastings St,Thai,,4.2,191
CHOMP vegan eatery,2234 E Hastings St,Vegan,$$,4.5,218
Vallarta's Mexican Restaurant,2891 E Broadway,Mexican,$$,4.2,290
Baci Ristorante,3728 E Hastings St,Italian,$$,4.3,272
Vietnamese tea house,2526 E Hastings St,Vietnamese,$,4.6,135
