name,address,cuisine,price,rating,review_count
Zamzam Grill,2128 Kingsway,Middle Eastern,,4.9,296
Golden Joy Restaurant,4288 Fraser St,Filipino,,4.7,30
LE BL CAFÉ,5088 Victoria Dr,Vietnamese,,4.8,59
The Tipper Restaurant,2066 Kingsway,Restaurant,$$,4.4,488
My Chau Restaurant,1715 Kingsway,Vietnamese,$,4.6,211
Do Chay,1392 Kingsway,Vietnamese,$$,4.5,430
Bandidas Taqueria,2781 Commercial Dr,Vegetarian,$$,4.4,2272
Thanh Thanh,775 Kingsway,Vietnamese,,4.6,62
Chau Veggie Express,5052 Victoria Dr,Vietnamese,$$,4.6,838
John Hendry Park Concession,,Fast Food,,4.6,18
Gojo Cafe - Ethiopian,2838 Commercial Dr,Ethiopian,$,4.7,239
Veggie Bowl,2222 Kingsway,Vegetarian,$,4.6,231
Pink Peppercorn Seafood House,1485 Kingsway,Seafood,$$$,4.6,374
Ashiana Tandoori,1440 Kingsway,Indian,$$,4.7,392
House Of Dosas,1391 Kingsway,Indian,$,4.2,2055
Falafel Café,1385 Kingsway,Falafel,$,4.6,211
Western Lake Chinese Seafood Restaurant,4989 Victoria Dr,Dim Sum,$$,4.3,2003
Po Kong,1334 Kingsway Ave.,Vegetarian,$$,4.4,697
Amay’s House,5076 Victoria Dr,Burmese,$,4.5,306
Sumi Korean Restaurant,5628 Victoria Dr,Restaurant,,4.5,141
Bonjour Vietnam Bistro,3944 Fraser St,Vietnamese,,4.6,137
Kilimanjaro Snack House & Catering,789 Kingsway,East African,$,4.5,151
Kalvin's Restaurant,5225 Victoria Dr,Taiwanese,$$,4.3,367
Nammos Estiatorio,3980 Fraser St,Greek,$$,4.3,502
Excellent Dim Sum King Restaurant,2141 Kingsway,Restaurant,,4.2,58
Kyle's Cafe,2627 Commercial Dr,Restaurant,$,4.1,219
BT Cafe Ltd,920 Kingsway,Cantonese,$,4.1,276
Say Mercy!,4298 Fraser St,Restaurant,,4.6,117
Hapag Ihaw-Ihaw Restaurant,5432 Victoria Dr,Filipino,$$,4.4,189
Shima-Ya Sushi,5589 Victoria Dr,Sushi,$$,4.5,254
White Spot Kingsway,1476 Kingsway,Family-friendly,$$,4.1,1125
Viet Mama Cafe,5118 Victoria Dr,Vietnamese,,4.5,85
Bun Cha Ca Hoang Yen,5083 Victoria Dr,Vietnamese,$,4.4,1050
Commercial Sushi,2575 Commercial Dr,Japanese,$,4.4,224
El Caracol Cafe,5190 Victoria Dr,Salvadoran,$,4.4,398
Hai Phong Restaurant,1242 Kingsway,Vietnamese,$,4.1,382
Shiok Singaporean Cuisine,1716 Kingsway,Singaporean,$,4.4,255
Green Lemongrass,1086 Kingsway,Vietnamese,$,4.2,370
Adelitas Restaurant,5178 Victoria Dr,Mexican,$,4.2,361
Naruto Sushi,2763 Commercial Dr,Japanese,$,4.2,764
Broadway Station Sushi,1638 E Broadway #101,Japanese,$,4.1,396
Sushi By Yuji,2252 Kingsway,Japanese,$$,4.4,308
ChongQing On Commercial,2808 Commercial Dr,Chinese,$$,4.1,879
Boteco Brasil Restaurant,2545 Nanaimo St,Brazilian,$$,4.3,820
OKA-SAN KITCHEN,3578 Fraser St,Japanese,$$,4.0,237
Hoi An Cafe,5002 Victoria Dr,Vietnamese,$,4.2,459
Ngon Vancouver,2228 Kingsway,Sandwich,$,4.3,106
Daddy's Kitchen,2586 Commercial Dr,Restaurant,$,4.2,201
Green Lettuce,1949 Kingsway,South Asian,$$,4.2,925
Mui Ngo Gai Restaurant,2052 Kingsway,Vietnamese,$,4.4,580
Cafe Xu Hue,2226 Kingsway,Vietnamese,$,4.4,284
Varadero Cafe,2767 Commercial Dr,Restaurant,,4.3,140
East Side Craft House,1445 E 41st Ave,Restaurant,$$,4.1,607
Got Pho Thien Kim,2523 Nanaimo St,Vietnamese,$,4.3,324
Masayoshi,4376 Fraser St,Sushi,,4.3,257
Simple Bites Inc.,5932 Fraser St,Restaurant,,4.8,129
Good Sushi,3916 Fraser St,Sushi,$$,4.2,263
Sun Bo Kong Vegetarian Restaurant 新寶光素食,1363 Kingsway,Vegetarian,$$,4.4,609
Kozak Ukraїnian Eatery,5077 Victoria Dr,Restaurant,,4.6,246
Grace of India,1284 Kingsway,Indian,$$,4.3,262
好好點心皇茶室,2141 Kingsway,Restaurant,,4.1,23
Cafe Dang Anh,1C9 5186 Victoria Dr,Vietnamese,$,4.5,182
Sandy La Chinese Restaurant,5257 Victoria Dr,Chinese,$,3.8,576
Hanoi Old Quarter Restaurant,5207 Victoria Dr,Vietnamese,,4.3,144
Kent's Kitchen 權記,5659 Victoria Dr,Chinese Takeout,$,4.1,172
Truong Thanh Restaurant,2096 Kingsway,Vietnamese,$,4.2,427
The Pizza King,1464 E Broadway,Pizza,,4.1,97
The Peri Peri Shack,724 Kingsway,Restaurant,,4.8,38
Koon Bo Restaurant 冠寶美食之家,5682 Fraser St,Seafood,$$,3.9,327
Pho hue,5497 Victoria Dr,Pho,$,4.3,133
Pho Thai Hang 2 Restaurant,1962 Kingsway,Pho,$,4.0,312
Pho Long Restaurant,3370 Fraser St,Pho,$,3.9,302
Vegan Pizza House,2119 Kingsway,Pizza,$$,4.0,331
Happy Family Restaurant,2178 Kingsway,Chinese,$$,3.8,231
Banh Mi Saigon,5397 Victoria Dr,Vietnamese,$,4.5,895
Penang Bistro Fine Malaysian Cuisine,3932 Fraser St,Malaysian,$$$,3.9,249
Viva Sushi Bar,CA BC Vancouver 1947 Kingsway,Sushi,$,4.0,137
Trung Nguyen Cafe,1441 Kingsway,Vietnamese,$,4.7,39
Pizza Carano,4241 Fraser St,Pizza,$$,4.6,292
Shilla Korean Restaurant,1031 Kingsway,Korean,,4.0,418
La Maison Da Nang,5195 Victoria Dr,Vietnamese,,4.3,137
時代文華海鮮酒家 New Mandarin Seafood Restaurant,4650 Gladstone St,Cantonese,$$$,3.9,505
Golden Swan Restaurant,5380 Victoria Dr,Takeout Restaurant,$$,3.8,848
Ananda Bhavan,2269 Kingsway,Indian,,4.0,199
Dosa Factory,1345 Kingsway,Indian,$,4.1,2145
J.R Taste Of Ceylon,3929 Knight St,Sri Lankan,,4.1,29
Sun Tin Day Cafe,5137 Victoria Dr,Hong Kong style fast food restaurant,,3.8,87
Zofia Polish Store,4007 Knight St,Polish,,4.6,14
Pho Thai Hoa Restaurant,1625 Kingsway,Takeout Restaurant,$,3.9,272
Pho Ga VnChicken Noodles,5026 Victoria Dr,Vietnamese,,4.5,26
Deutsches Haus (Vancouver Alpen Club,4875 Victoria Dr,German,$$,4.3,739
Hoy's Wonton House,1202 Kingsway,Chinese,$,3.8,294
Freshslice Pizza,2582 Commercial Dr,Pizza,$,3.9,177
Pho Duy Restaurant,1996 Kingsway,Pho,$,4.3,153
