name,address,cuisine,price,rating,review_count
Bufala Kerrisdale,5395 West Blvd,Pizza,$$,4.4,467
Hikari Cafe,5701 Granville St,Authentic Japanese,,4.7,44
Golden Ocean Seafood Restaurant,2046 W 41st Ave,Chinese,$$,4.0,567
Pho Tan Vietnamese Restaurant Beef Noodle Soup & Bubble Tea,2076 W 41st Ave,Vietnamese,$,4.2,489
ASA Sushi,2178 W 41st Ave,Sushi,$$,4.0,594
Jiu Jiang Japanese Restaurant,5707 Balsam St,Japanese,$$,4.1,171
George's Pizza,6109 West Blvd,Pizza,,4.1,176
Southern Delicacy,6055 West Blvd,Chinese,,4.3,70
Burrata Pizzeria,2104 W 41st Ave,Pizza,,4.5,114
Sofra Mediterranean Kitchen,2277 W 41st Ave,Lebanese,$,4.2,414
Chi Noodle Bar,6019 West Blvd,Noodle Shop,,4.2,152
Nando's Kerrisdale,2064 W 41st Ave,Chicken,$$,4.1,686
Baoguette Vietnamese Bistro,2114 W 41st Ave,Vietnamese,$,3.9,368
Chef Hung Taiwanese Beef Noodle,2028 W 41st Ave,Taiwanese,$$,3.8,244
Khao Thai by Legato Cafe,2248 W 41st Ave,Thai,,4.1,60
Sushi Bar Ajisai,2081 W 42nd Ave,Sushi,$$,4.5,749
Adonia Tea House,2057 W 41st Ave,Restaurant,$$,4.3,119
One Bowl,5687 Balsam St,Restaurant,,4.6,71
Minerva Restaurant,2411 W 41st Ave,Greek,$$,4.4,423
Grand Honour Restaurant 阿一鲍翅,5701 Granville St B1,Cantonese,$$,3.7,212
Kyuzo Japanese Restaurant,5701 Granville St #112,Japanese,$$,4.1,164
BBT Café,5979 West Blvd,Taiwanese,$$,3.8,228
Sushi King House,8176 Granville St,Sushi,$,4.2,383
ZUBU Ramen - Kerrisdale,2129 W 41st Ave,Ramen,,3.8,54
Milltown Bar & Grill,9191 Bentley St #101,Grill,$$,4.3,1954
Secret Garden Tea Company,2138 W 40th Ave,Restaurant,,4.2,420
Nana's Green Tea,2135 W 41st Ave,Japanese sweets restaurant,$$,4.3,615
Fish Café,2053 W 41st Ave,Restaurant,$$,4.3,170
Talay Thai Restaurant,8369 Granville St,Thai,,4.3,219
Orange Corner,2257 W 41st Ave,Taiwanese,$,3.8,158
White Spot Kerrisdale,5367 West Blvd,Family-friendly,$$,3.8,587
Barra 41,2407 W 41st Ave,Cocktail bar,$$,4.5,157
41 Noodle & Rice Pot House,2279 W 41st Ave,Chinese,$,4.0,123
Lok's Chinese Restaurant,2436 W 41st Ave,Chinese,,3.4,107
Kerrisdale Nakamura Japanese Cuisine,2055 W 41st Ave,Japanese,,4.0,50
Sushi King House,5333 West Blvd,Sushi,$,3.9,111
烫WORLD 麻辣烫,East Blvd CA BC Vancouver,Hot Pot,,3.9,120
Mirchi Restaurant,7964 Granville St,Indian,$$,4.4,260
China Lan Lanzhou Beef Noodle,5555 West Blvd,Chinese Noodles,$$,4.0,333
Subway,5623 West Blvd,Sandwich,$,4.0,84
Sushi bar Shu,8099 Granville St,Restaurant,,4.6,153
Sip Bowl,2255 W 41st Ave,Chinese Noodles,,3.9,175
Panago Pizza,8333 Granville St,Pizza,$$,4.1,64
Crepe & Cafe,3500 W 41st Ave,Restaurant,$$,3.8,127
Chuan Yue,8329 Oak St,Chinese,,4.2,158
Pho Ever,8178 Granville St,Pho,$,4.1,119
BIG TREE FOOD PALACE 大树食府,2106 W 41st Ave,Restaurant,,3.5,83
Shota Sushi & Grill,5688 Yew St,Sushi,$$,3.6,119
Me + Crepe,5971 West Blvd,Diner,,3.8,57
New Chong Qing Restaurant,2044 W 41st Ave,Chinese,,3.4,71
Applause Japanese Restaurant,8269 Oak St,Japanese,$$,4.1,406
Red Star Seafood Restaurant,8298 Granville St,Chinese,$$$,4.0,716
Sushi Wow,8273 Granville St,Sushi,$,4.4,343
Pachamami Foodtruck,5900 West Blvd,Restaurant,,5.0,2
Irashai Sushi,2260 W 41st Ave,Sushi,$$,3.4,125
Freshslice Pizza,8618 Granville St,Pizza,$,4.4,299
Caffe Artigiano,2154 W 41st Ave,Cafe,$$,4.1,164
Pizza Hut,8155 Granville St,Pizza,$$,3.6,131
Tai Tung Chinese Seafood Restaurant,8012 Granville St,Chinese,$$,3.8,250
Red Tuna Japanese Restaurant,3592 W 41st Ave,Japanese,,3.8,228
Neptune BBQ House 鳳鳴燒臘 (Vancouver,8175 Granville St,Hong Kong style fast food restaurant,,3.8,53
Michele Cake Shop,6033 West Blvd,Bakery,$$,4.3,208
McCleery Golf Restaurant,7188 Macdonald St,Restaurant,,4.3,3
别不同茶餐厅 Ming Tak Hong Kong Style Restaurant,8363 Granville St,Hong Kong style fast food restaurant,$,3.7,86
Maple Grove Park Concession,6875 Yew St,Fast Food,,4.0,1
Sushi Mura,6485 Oak St,Japanese,$,4.1,938
A&W Canada,6491 Oak St,Hamburger,$,4.0,364
Tao's Kitchen,5701 Granville St #110,Chinese,,,
The Meat Up Vancouver 聚点串吧温哥华,7994 Granville St,Restaurant,$$,3.8,342
Shaughnessy Restaurant,5251 Oak St,Restaurant,$$,3.9,399
Q Coffee,5607 Dunbar St,Coffee shop,$$,3.9,155
McDonald's,2095 W 41st Ave,Fast Food,$,3.2,1480
Jess' Restaurant,2179 W 41st Ave,Restaurant,,5.0,7
BIGSBY THE BAKEHOUSE,4894 MacKenzie St,Restaurant,$$,4.5,102
Seasons in the Park,W 33rd Ave,Restaurant,$$$,4.3,1625
Dylan's,561 W 57th Ave,Lunch,,4.1,153
Yyuu,8265 Granville St,Restaurant,,,
Plethore by Faubourg,2156 W 41st Ave,Bakery,$$,4.0,289
Hanppy to go vancouver,5555 West Blvd,Restaurant,,5.0,1
The Rise Eatery,3121 Granville St,Restaurant,$$,4.3,314
Golden Pair Vietnamese Asian Cuisine,8167 Granville St,Vietnamese,,3.7,62
The Cheese Inn,4585 Dunbar St,British,$$,4.1,212
Honolulu Coffee,2098 W 41st Ave,Cafe,$$,4.3,309
Parm'z Pizza Factory,8319 Oak St,Pizza,,4.0,104
La Buca Restaurant,4025 Macdonald St,Italian,,4.6,125
Moki's Pizza,4027 Macdonald St,Pizza Delivery,,4.6,63
Ridge Garden Restaurant,4009 Macdonald St,Chinese,$$,4.1,86
Ajisai 2 Go,2087 W 42nd Ave,Takeout Restaurant,,5.0,4
Kim Express,952 W King Edward Ave,Takeout Restaurant,$,4.4,158
Breakfast Table,3014 Granville St,Breakfast,$$,4.6,736
Browns Restaurant Group,3540 West 41st Avenue#207A,Restaurant,,1.0,1
Cosy Inn Cafe,4455 Dunbar St,Breakfast,$,4.1,113
Dunbar Pizza & Indian Food,3348 Dunbar St,Takeout Restaurant,$,4.3,197
Kuma Japanese Restaurant,Dunbar St,Japanese,$$,4.5,191
Osaka Sushi,960 W King Edward Ave,Japanese,$,3.9,239
Johnny’s on Oak Restaurant Vancouver,3838 Oak St,Restaurant,$$,4.2,211
White Spot Oakridge,613 650 W 41st Ave A,Family-friendly,$$,3.9,818
Sweet E's Pastries and Sweets,2032 W 41st Ave,Bakery,,4.7,29
Ikura Sushi,8646 Granville St,Sushi,$,3.5,328
Subway,6471 Oak St,Sandwich,$,4.0,65
Domino's Pizza,6469 Oak St,Pizza Delivery,$,3.3,169
