name,address,cuisine,price,rating,review_count
Wang's Shanghai Cuisine,3328 Kingsway #110,Shanghainese,,4.4,519
Pho Thai Ha,2653 E 49th Ave,Vietnamese,$,4.2,196
Joojak Restaurant,3337 Kingsway,Chinese,$,4.5,317
Kinemi's Kitchen,7751 Champlain Cres,Italian,,4.2,156
Chosun Korean BBQ,3486 Kingsway,Takeout Restaurant,$$,4.0,1189
Kung Fu Noodle Kingsway–Joyce,5615 Harold St,Chinese Noodles,$,4.3,184
Romer's Burger Bar,8683 Kerr St,Hamburger,$$,3.9,1541
Todak Todak Korean Chicken Restaurant,3510 Kingsway,Restaurant,,4.3,214
A&W Canada,7092 Kerr St,Hamburger,$,4.1,413
Wally's Burgers,2661 E 49th Ave,Hamburger,$,4.4,322
Papa John's Pizza,#300-3320 Kingsway,Pizza,,4.0,129
Beijiang Restaurant 北疆饭店,3281 Kingsway,Chinese,$$,4.6,265
Futian Dumpling Restaurant,3490 Kingsway #7,Chinese,,4.0,46
Dumpling House,3141 Kingsway,Dumpling,$,4.4,212
Sushi Go,7026 Kerr St,Sushi,$$,3.7,207
Panago Pizza,3458 Sawmill Crescent,Pizza,,4.5,18
Love for Pho,3524 Kingsway,Pho,$,3.9,422
Sushi Mura River District,3545 Sawmill Crescent,Restaurant,$$,4.3,233
Peaceful Restaurant,3320 Kingsway,Chinese,$$,3.6,409
Jambo Grill Tandoor & Paan House,3219 Kingsway,Indian,$$,4.2,984
Michi Craft Kitchen,3665 Kingsway #180,Asian Fusion,$$,3.9,94
Sushi Aji,3339 Kingsway,Japanese,,4.3,355
Dragon Crepe,3499 Kingsway,Chinese,,3.9,95
Fraserview Clubhouse,7700 Vivian Dr,Restaurant,,4.1,74
Mt. Fuji Japanese Restaurant,2607 E 49th Ave,Japanese,$,3.8,73
Fortune Lamb Dining 鸿羊轩,3-3377 Kingsway,Chinese,,4.1,161
Max's Restaurant Cuisine of the Philippines Vancouver,3546 Kingsway,Filipino,,4.2,15
Happy Day Cafe (Vancouver,3312 Kingsway,Hong Kong style fast food restaurant,$,3.7,977
Japanese Bistro Kamome,5228 Joyce St,Japanese,$,4.6,150
Subway,7172 Kerr St,Sandwich,$,3.9,71
Congee Noodle King,3313 Kingsway,Cantonese,$,3.8,1049
钢管厂五区小郡肝火锅串串香 HOT POT Master,5737 Battison St,Hot Pot,,4.7,229
Max's Restaurant Cuisine of the Philippines Vancouver,3546 Kingsway,Filipino,$$,3.8,790
Bubble Waffle Cafe,CA 2639 E 49th Ave,Chinese,$,3.8,316
Domino's Pizza,5522 Joyce St,Pizza Delivery,$,4.0,176
54th Ave Cafe,7088 Kerr St,Cantonese,$$,3.2,176
Honolulu Cafe,3340 Kingsway,Cantonese,$,3.7,799
Dharma Garden Veggie Deli,3195 Kingsway,Vegan,$,4.6,183
The Captain's Boil,3309 Kingsway,Seafood,$$,3.9,888
K & H Seafood Restaurant,3415 Kingsway,Chinese,$$,3.7,156
Happy Tree House BBQ Kingsway,3502 Kingsway,Chinese,,3.8,888
Celeshmet Restaurant,6956 Victoria Dr,Persian,,4.7,123
