name,address,cuisine,price,rating,review_count
Au Comptoir,2278 W 4th Ave,French,$$,4.5,621
Trattoria,1850 W 4th Ave,Italian,$$,4.1,972
Chewies Smoke & Oyster Bar Kitsilano,2201 W 1st Ave,Oyster Bar,$$,4.2,676
East Is East,3035 W Broadway,Afghani,$$,4.5,775
The Eatery,3431 W Broadway,Sushi,$$,4.3,1664
Rocky Mountain Flatbread,1876 W 1st Ave,Pizza,$$,4.5,803
The Boathouse Restaurant,1305 Arbutus St,Restaurant,$$$,4.0,1286
Sophie's Cosmic Cafe,2095 W 4th Ave,Diner,$$,4.2,1263
Banana Leaf in Kitsilano,3005 W Broadway,Malaysian,$$,4.2,648
Las Margaritas,1999 W 4th Ave,Takeout Restaurant,$$,4.2,1930
Raisu,2340 W 4th Ave,Japanese,$$,4.5,1348
Nuba in Kitsilano,3116 W Broadway,Takeout Restaurant,$$,4.2,727
Nook,1525 Yew St,Italian,$$,4.5,658
Bangkok City Cafe,2953 W 4th Ave,Thai,$$,4.5,154
Fable Kitchen,1944 W 4th Ave,Restaurant,$$$,4.5,913
Chi Vegan,1935 W 4th Ave,Vegan,$$,4.3,502
Sejuiced Vegetarian Restaurant,1958 W 4th Ave,Restaurant,,4.6,102
Jam Cafe Kitsilano,2153 W 4th Ave,Restaurant,$$,4.7,512
TurF Kitsilano (KITS,2041 W 4th Ave,Restaurant,$$,4.5,235
The Ellis,2204 York Ave,Restaurant,$$,4.3,333
AnnaLena,1809 W 1st Ave,Canadian,$$$,4.7,870
Cafe Zen On Yew,1631 Yew St,Breakfast,$$,4.4,408
Bishop's,2183 W 4th Ave,Pacific Northwest,$$$$,4.7,234
Nelly's Grill,2061 W 4th Ave,Breakfast,$,4.4,375
La Quercia,3689 W 4th Ave,Italian,$$$,4.6,248
Linh Café,2836 W 4th Ave,Vietnamese,$$,4.4,755
The Naam,2724 W 4th Ave,Vegetarian,$,4.3,2230
La Cigale Bistro,1961 W 4th Ave,French,$$,4.5,182
Tractor Everyday Healthy Foods - Kitsilano,1903 W 4th Ave,Health Food,$$,4.2,392
Browns Socialhouse Kitsilano,2296 W 4th Ave,Restaurant,$$,4.0,440
Chewie's Chicken & Biscuits,2822 W 4th Ave,Restaurant,,4.8,413
Aphrodite's Organic Cafe,3605 W 4th Ave,Organic,$$,4.2,445
Oddfish Restaurant,1889 W 1st Ave,Seafood,,4.6,293
LOCAL Public Eatery,2210 Cornwall Ave,Restaurant,$$,4.2,1180
Maenam,1938 W 4th Ave,Thai,$$$,4.3,695
Tandoori Fusion,2872 W Broadway,Indian,$$,4.3,307
Romer's Burger Bar,1873 W 4th Ave,Hamburger,$$,4.1,867
Sunshine Diner,2649 W Broadway,Diner,$$,4.3,500
Tera V Burger,2961 W Broadway,Fast Food,$,4.5,390
Harvest Deli,2963 W Broadway,Sandwich,,4.7,175
Their There,2042 W 4th Ave,Takeout Restaurant,,4.4,299
Hitoe Sushi gluten free,3347 W 4th Ave,Sushi,$$,4.4,347
Best Falafel Kitsilano,1859 W 4th Ave,Middle Eastern,$,4.4,109
Temaki Sushi,2156 W Broadway,Sushi,$$,4.5,543
Olympia Pizza Kits,3205 W Broadway,Pizza,$$,4.2,302
Kokomo,2028 Vine St,Vegan,,4.6,94
Novo Pizzeria & Wine Bar,2118 Burrard St,Italian,$$,4.3,449
Dark Table,2611 W 4th Ave,Restaurant,$$$,4.6,1117
Fiore Famiglia,2603 W 16th Ave,Italian,$$,4.2,148
