name,address,cuisine,price,rating,review_count
Mirchi Restaurant,7964 Granville St,Indian,$$,4.4,260
Milltown Bar & Grill,9191 Bentley St #101,Grill,$$,4.3,1954
Ipoh Malay Cuisine,1316 W 73rd Ave,Malaysian,$$,4.0,408
Applause Japanese Restaurant,8269 Oak St,Japanese,$$,4.1,406
Talay Thai Restaurant,8369 Granville St,Thai,,4.3,219
Sushi bar Shu,8099 Granville St,Restaurant,,4.6,153
Cafe Mai-Mai,8636 Granville St,Pho,$,4.3,239
Chuan Yue,8329 Oak St,Chinese,,4.2,158
Sushi Wow,8273 Granville St,Sushi,$,4.4,343
Sushi King House,8176 Granville St,Sushi,$,4.2,383
Jasmine Flower Shanghai Cuisine,8532 Granville St,Shanghainese,$$,4.0,173
Red Star Seafood Restaurant,8298 Granville St,Chinese,$$$,4.0,716
Dublin Crossing - Vancouver,466 SW Marine Dr,Irish pub,$$,4.0,967
Freshslice Pizza,8618 Granville St,Pizza,$,4.4,299
Panago Pizza,8333 Granville St,Pizza,$$,4.1,64
Pho Ever,8178 Granville St,Pho,$,4.1,119
Wang's Taiwan Beef Noodle House,8390 Granville St,Taiwanese,$,4.0,547
Dylan's,561 W 57th Ave,Lunch,,4.1,153
Denny's,622 SW Marine Dr,Restaurant,$$,3.9,1688
Thai Son Restaurant,1450 SW Marine Dr,Vietnamese,$,3.9,317
The Meat Up Vancouver 聚点串吧温哥华,7994 Granville St,Restaurant,$$,3.8,342
Tai Tung Chinese Seafood Restaurant,8012 Granville St,Chinese,$$,3.8,250
Neptune Palace Seafood Restaurant,470 SW Marine Dr Unit 308,Chinese,,3.8,228
Parm'z Pizza Factory,8319 Oak St,Pizza,,4.0,104
Wo's Chinese Restaurant,8166 Main St,Chinese,$,4.2,204
Solo Pasta,8620 Granville St,Italian,,4.6,35
Friends Cafe,1750 W 75th Ave,Diner,$,4.3,55
A&W Canada,468 SW Marine Dr,Hamburger,$,4.0,467
Neptune BBQ House 鳳鳴燒臘 (Vancouver,8175 Granville St,Hong Kong style fast food restaurant,,3.8,53
Fortune Terrace JOY CAFE,525 SW Marine Dr,Restaurant,,4.0,35
别不同茶餐厅 Ming Tak Hong Kong Style Restaurant,8363 Granville St,Hong Kong style fast food restaurant,$,3.7,86
Fraserview Tandoori House,7271 Main St,Indian,,4.7,27
Freshslice Pizza,498 SW Marine Dr,Pizza,$,4.1,259
Prabha's Kitchen By Varsha Nawale,506 E 49th Ave,Restaurant,,5.0,11
McDonald's,830 SW Marine Dr,Fast Food,$,3.7,903
Hi Five Chicken,203 SE Marine Dr,Fast Food,,4.4,1012
Panago Pizza,120-511 SW Marine Dr,Pizza,$$,3.9,44
Ikura Sushi,8646 Granville St,Sushi,$,3.5,328
Golden Pair Vietnamese Asian Cuisine,8167 Granville St,Vietnamese,,3.7,62
Lamajoun,11782 River Rd Unit 128,Armenian,$,4.9,577
Subway,474 SW Marine Dr,Sandwich,$,3.9,208
The Story Cafe - Eatery & Bar,2800 Sexsmith Rd,Restaurant,$$,4.6,343
