name,address,cuisine,price,rating,review_count
Dock Lunch,152 E 11th Ave,Restaurant,$$,4.5,141
Les Faux Bourgeois,663 E 15th Ave,French,$$$,4.6,937
Mangia Cucina & Bar,2211 Manitoba St,Italian,,4.7,357
Italia Bella Bar & Grill,215 Kingsway,Italian,$$,4.5,227
The Wallflower,2420 Main St,Diner,,4.2,1072
Burgoo,3096 Main St,Bistro,$$,4.4,1241
Fable Diner,151 Broadway East,Restaurant,$$,4.3,1503
Argo Cafe,1836 Ontario St,Diner,$,4.5,423
Maizal RMF,2815 Main St,Mexican,$,4.5,374
Fassil Restaurant,736 E Broadway,Ethiopian,$,4.6,335
Osteria Savio Volpe,615 Kingsway,Italian,$$$,4.6,1565
The Whip Restaurant & Gallery,209 6th Avenue East,Takeout Restaurant,$$,4.1,702
Sal y Limón,701 Kingsway #5,Mexican,$,4.5,3741
Los Cuervos Taqueria & Cantina,603 Kingsway,Mexican,$$,4.4,600
Sprezzatura Restaurant,265 Kingsway,Italian,$$,4.4,214
Papa's Gourmet Pizza,3030 Main St,Pizza,$,4.7,247
Nuba Cafe and Catering in Mount Pleasant,146 E 3rd Ave,Restaurant,,4.3,623
Toshi Sushi,181 E 16th Ave,Sushi,$$,4.6,771
Shiro Japanese,3096 Cambie St,Japanese,$$,4.5,582
Burdock & Co,2702 Main St,Small Plates,$$$,3.9,259
Las Tortas Mexican Gourmet Sandwiches,3353 Cambie St,Restaurant,,4.5,352
Bao Down OV,115 W 2nd Ave,Restaurant,$$,3.9,563
Marulilu Café,451 W Broadway,Japanese,$,4.5,595
Como Taperia,201 E 7th Ave,Spanish,$$,4.4,415
Pizzeria Barbarella,654 E Broadway,Restaurant,$$,4.4,476
Tocador,2610 Main St,Restaurant,$$,4.3,253
La Taqueria Pinche Taco Shop,2450 Yukon St,Restaurant,$,4.4,1556
Budgies Burritos,44 Kingsway,Vegetarian,$,4.4,928
Lucy's Eastside Diner,2708 Main St,Diner,$,4.2,1638
Caffe Barney,2526 Main St,Restaurant,$$,4.3,281
Seiza Japanese Cuisine,3068 Main St,Sushi,,4.4,277
Ignite Pizzeria,2588 Main St,Pizza,,4.4,580
Martini's Whole Wheat Pizza,151 Broadway W,Pizza,$$,4.4,659
CafeTica,2408 Alberta St,Restaurant,$,4.7,100
Superbaba (Vancouver,2419 Main St,Restaurant,,4.7,172
Rumpus Room,2301 Main St,Restaurant,$$,4.4,303
Carp Sushi + Bowl,2516 Prince Edward St,Sushi,$,4.6,417
Emelle's Westside Kitchen,177 W 7th Ave,Restaurant,$,4.6,48
Sushiyama,371 E Broadway,Sushi,$,4.0,748
Nirvana Restaurant,2313 Main St,Indian,$$,4.2,293
The Cascade Room,2616 Main St,Restaurant,$$,4.2,620
Zocalo Modern Cantina,646 Kingsway,Pan-Latin restaurant,,4.7,111
The Basic,3048 Main St,Diner,,4.3,376
Hime Sushi,315 E Broadway,Japanese,$,4.2,323
Side Hustle Sandwiches,151 E 8th Ave,Restaurant,$$,4.1,384
CRAFT Beer Market Vancouver,85 W 1st Ave,Restaurant,$$,4.4,5863
Pizza 604,2444 Main St,Pizza,,4.4,90
The Narrow Lounge,1898 Main St,Restaurant,$$,4.4,657
Field & Social,18 E 5th Ave,Restaurant,,4.6,21
AJ's Brooklyn Pizza Joint,325 E Broadway,Pizza,$$,4.6,603
Uma Sushi,450 W 8th Ave,Authentic Japanese,,4.5,243
Peaceful Restaurant,43 E 5th Ave,Chinese,,4.0,548
