name,address,cuisine,price,rating,review_count
Café FortyOne,5750 Oak St,Kosher,,4.6,165
White Spot Oakridge,613 650 W 41st Ave A,Family-friendly,$$,3.9,818
Hikari Cafe,5701 Granville St,Authentic Japanese,,4.7,44
Dylan's,561 W 57th Ave,Lunch,,4.1,153
Nava Creative Kosher Cuisine,950 W 41st Ave,Cafe,,4.9,14
Sushi Mura,6485 Oak St,Japanese,$,4.1,938
Samurai Sushi House,5888 Cambie St,Sushi,$,3.9,823
Yu Xiang Yuan Restaurant,6591 Fraser St,Chinese,$,4.3,366
Sushi & Co,6520 Fraser St,Japanese,$$,4.1,342
A&W Canada,6491 Oak St,Hamburger,$,4.0,364
Peninsula (Oakridge) Seafood Restaurant,650 W 41st Ave,Seafood,,3.4,255
Fraserview Tandoori House,7271 Main St,Indian,,4.7,27
Freshii,6541 Main St,Health Food,,4.8,28
Van. Tea Cafe,5688 Main St,Hong Kong style fast food restaurant,$$,4.0,336
Kyuzo Japanese Restaurant,5701 Granville St #112,Japanese,$$,4.1,164
Hometown Pizza,6665 Fraser St,Italian,,4.5,472
Shoom Restaurant,6555 Fraser St,Chinese,$$,3.8,469
So Hyang Korean Cuisine,6345 Fraser St,Korean,$$,4.5,1002
Shi Art Express,Oakridge Centre,Restaurant,,,
Tandoori Oven,6452 Main St,Indian,$,4.1,344
Lian Hong Chinese Bakery,6400 Fraser St,Chinese,$,4.1,97
Pho Hong on Fraser,6348 Fraser St,Vietnamese,$,4.4,289
Subway,6471 Oak St,Sandwich,$,4.0,65
Madras Spice Restaurant,6260 Fraser St,Indian,$,4.2,675
Lee Loy BBQ Meat Co Ltd,6340 Fraser St,Barbecue,,4.3,32
Simple Bites Inc.,5932 Fraser St,Restaurant,,4.8,129
Main Kabab Hut,215 E 49th Ave,Restaurant,$,3.8,247
Seasons in the Park,W 33rd Ave,Restaurant,$$$,4.3,1625
SAMURAI SUSHI ON FRASER,6428 Fraser St,Japanese,$,4.0,504
Best Quality Sweets & Rest,7260 Main St,Vegetarian,$,4.0,250
Sushi Bar Ajisai,2081 W 42nd Ave,Sushi,$$,4.5,749
Autostrada Osteria Main Street,4811 Main St,Italian,$$,4.4,245
Chuan Yue,8329 Oak St,Chinese,,4.2,158
Sushi bar Shu,8099 Granville St,Restaurant,,4.6,153
Burrata Pizzeria,2104 W 41st Ave,Pizza,,4.5,114
Applause Japanese Restaurant,8269 Oak St,Japanese,$$,4.1,406
