name,address,cuisine,price,rating,review_count
Joojak Restaurant,3337 Kingsway,Chinese,$,4.5,317
Ragazzi Pizza Co,2996 E 22nd Ave E,Restaurant,$$,4.4,369
Sushi Taku,4902 Joyce St,Sushi,$,4.5,512
Panaderia Latina Bakery,4906 Joyce St,Takeout Restaurant,$$,4.5,228
Dumpling House,3141 Kingsway,Dumpling,$,4.4,212
Japanese Bistro Kamome,5228 Joyce St,Japanese,$,4.6,150
Hyoga Japanese Cuisine,3343 Kingsway,Japanese,,4.2,175
La Piazza Dario,3075 Slocan St,Italian,$$,4.3,388
chefhyve,2525 Kingsway,Restaurant,,4.8,16
Beijiang Restaurant 北疆饭店,3281 Kingsway,Chinese,$$,4.6,265
Chili Pepper House,3003 Kingsway #1,Chinese,$$,4.2,1171
Joyce Jiaozi Restaurant,5171 Joyce St,Chinese,,3.9,105
Jambo Grill Tandoor & Paan House,3219 Kingsway,Indian,$$,4.2,984
Super Great Pizza,3388 Vanness Ave,Pizza,$,4.3,604
Pho Nhuan,2989 Rupert St,Vietnamese,$,4.1,217
Dharma Garden Veggie Deli,3195 Kingsway,Vegan,$,4.6,183
Donair Land,3384 Vanness Ave,Middle Eastern,,3.9,189
Andamiro Korean Bistro,2568 Kingsway,Korean,$,4.2,464
Sushi Aji,3339 Kingsway,Japanese,,4.3,355
Kimu Japanese Cuisine,4441 Boundary Rd,Japanese,$$,4.2,665
Congee Noodle King,3313 Kingsway,Cantonese,$,3.8,1049
The Sea House Fish and Chips,3003 Kingsway #7,Fish & Chips,$,4.2,161
Pho Kitchen,2915 Hebb Ave,Vietnamese,$,4.0,350
Grandt Kitchen Joyce,4963 Joyce St,Filipino,,4.0,324
Plato Filipino,5175 Joyce St,Filipino,$,4.1,108
Chef Pin,3293 Kingsway,Mandarin restaurant,$$,4.3,222
Michi Craft Kitchen,3665 Kingsway #180,Asian Fusion,$$,3.9,94
Taco Truck,4453 Boundary Rd,Mobile caterer,,5.0,34
Pampanga's Cuisine,5179 Joyce St,Filipino,,4.0,169
Kwan Luck Restaurant,2516 Kingsway,Chinese,$$,4.0,181
Come Along Chinese Restaurant,2550 Kingsway,Chinese,$$,3.8,429
K & H Seafood Restaurant,3415 Kingsway,Chinese,$$,3.7,156
Freshii,2920 Virtual Way,Health Food,$$,4.0,79
Dragon Crepe,3499 Kingsway,Chinese,,3.9,95
I&I Jamaican Restaurant,2528 Kingsway,Restaurant,,4.3,90
Triple O's Grandview Highway,3505 Grandview Hwy,Hamburger,,4.1,340
Prince Seafood Restaurant,2881 Grandview Hwy,Seafood,$$,3.7,928
Fortune Lamb Dining 鸿羊轩,3-3377 Kingsway,Chinese,,4.1,161
Boston Pizza,2850 Bentall St,Pizza,$$,3.9,946
The Captain's Boil,3309 Kingsway,Seafood,$$,3.9,888
RNZ Grocery Meat & Restaurant,4940 Joyce St,Restaurant,,4.5,40
Second Floor Bistro,2665 Renfrew St,Bistro,,5.0,4
Church's Chicken,2504 Kingsway & Slocan St,Chicken,$,3.9,1545
Freshslice Pizza,5128 Joyce St,Pizza,$,4.1,349
Knight & Day Restaurant,3684 Lougheed Hwy,Family-friendly,$$,3.6,797
Freshslice Pizza,2889 Grandview Hwy #2,Pizza,$,4.1,247
Happy Valley Dim Sum Seafood Restaurant,3432 Lougheed Hwy,Dim Sum,$$,3.8,715
Paramount BBQ Restaurant Shenji BBQ,3129 Kingsway,Restaurant,,3.9,36
McKim Wonton Mein Saga,2780 Kingsway,Chinese,$,4.1,283
The Tipper Restaurant,2066 Kingsway,Restaurant,$$,4.4,487
B House Restaurant,2270 Commercial Dr,Asian Fusion,,4.9,74
Sushi Royal House,2893 Grandview Hwy,Sushi,$$,3.7,337
Top Cantonese Cuisine Restaurant,2752 Kingsway,Cantonese,$$,3.7,349
Lucky Sheep,,Restaurant,,4.5,2
Milk and Sugar BBQ Bar,5103 Joyce St,Restaurant,,4.0,147
可爱的新疆,4942 Joyce St,Halal,,4.3,21
Pizza Hut,2850 Grandview Hwy,Pizza,$$,3.6,329
Dami Sushi & Korean,3280 E 22nd Ave,Korean rib restaurant,,,
Sunflower Bubble Tea,5125 Joyce St,Bubble Tea,$,3.7,292
McDonald's,2909 Grandview Hwy,Fast Food,$,3.4,2022
Kumare Express,5183 Joyce St,Filipino,$,3.7,47
Wendy's,3698 Grandview Hwy,Fast Food,$,3.7,1935
Cafe Xu Hue,2226 Kingsway,Vietnamese,$,4.4,284
Subway,2323 Boundary Rd #110,Sandwich,$,3.9,188
Subway,2892 Grandview Hwy,Sandwich,$,3.9,182
Yue Ting Seafood Restaurant,2532 Kingsway,Seafood,,3.8,35
iSushi Japanese Restaurant,3883 Rupert St,Japanese,,4.0,26
Kung Fu Noodle Kingsway–Joyce,5615 Harold St,Chinese Noodles,$,4.3,185
Lucky Plus Restaurant,3823 Rupert St,Chinese,$$,3.6,372
Trang Hau Banh Mi & Cafe,2522 Kingsway,Vietnamese,,3.9,10
Bon's Off Broadway,2451 Nanaimo St,Breakfast,$,4.4,2133
Li's China Grill,Unit4 3377 Kingsway,Chinese,$$,3.6,263
Ronnie Lee Hill Photography,2636 E 22nd Ave,Wedding photographer,,5.0,76
勝記佳餚美食,3479 Kingsway,Cantonese,,,
Dairy Queen,2940 Kingsway Ave,Fast Food,$,3.7,526
Kalvin's Restaurant,5225 Victoria Dr,Taiwanese,$$,4.3,366
Border Burrito,4453 Boundary Rd,Mexican,,,
Kopitiam malaysia,3885 Rupert St,Malaysian,$$,3.7,300
Western Lake Chinese Seafood Restaurant,4989 Victoria Dr,Dim Sum,$$,4.3,1997
Hoi An Cafe,5002 Victoria Dr,Vietnamese,$,4.2,459
Chosun Korean BBQ,3486 Kingsway,Takeout Restaurant,$$,4.0,1189
A&W,Joyce-Collingwood Station,American,$,3.3,89
RIB&CHICKEN,1660 Renfrew St,Korean,,4.4,83
The Dome Sports Lounge,3003 Kingsway #11,Restaurant,,3.9,38
Bento Sushi,3185 Grandview Hwy,Sushi takeaway,$$,,
Tim Hortons,2698 Rupert St,Restaurant,,3.1,7
Donair Affair,2883 Grandview Hwy,Restaurant,,,
Creme de la Crumb Bakeshop & Catering,2955 Virtual Way Unit 110,Cafe,$$,3.8,53
Tim Hortons,3312 Grandview Hwy,Restaurant,$,3.6,90
麻辣香锅,3293 Kingsway,Restaurant,,3.4,11
Jiro Sushi & Ramen,1801 Renfrew St,Japanese,$,4.1,155
Ashiana Tandoori,1440 Kingsway,Indian,$$,4.7,392
Green Lettuce,1949 Kingsway,South Asian,$$,4.2,923
Los Guerreros Mexican Food Products,3317 Kingsway #102,Mexican goods store,$$,4.2,519
Kook Korean BBQ Restaurant,2800 E 1st Ave #211A,Korean,,4.4,434
Happy Day Cafe (Vancouver,3312 Kingsway,Hong Kong style fast food restaurant,$,3.7,977
Thai Son,2800 E 1st Ave,Vietnamese,$,3.9,241
Kyle's Cafe,2627 Commercial Dr,Restaurant,$,4.1,219
Pho Duy Restaurant,1996 Kingsway,Pho,$,4.3,152
Sandy La Chinese Restaurant,5257 Victoria Dr,Chinese,$,3.8,576
Whiskey Six BBQ,826 Renfrew St,Barbecue,$$,4.5,339
Metro Coffee Bar & Billiards,3175 Kingsway,Bar,$,4.6,101
