name,address,cuisine,price,rating,review_count
Shaughnessy Restaurant,5251 Oak St,Restaurant,$$,3.9,399
Fish Café,2053 W 41st Ave,Restaurant,$$,4.3,170
Hikari Cafe,5701 Granville St,Authentic Japanese,,4.7,44
Café FortyOne,5750 Oak St,Kosher,,4.6,165
Sushi Bar Ajisai,2081 W 42nd Ave,Sushi,$$,4.5,749
The Rise Eatery,3121 Granville St,Restaurant,$$,4.3,314
Breakfast Table,3014 Granville St,Breakfast,$$,4.6,736
Minerva Restaurant,2411 W 41st Ave,Greek,$$,4.4,423
Kerrisdale Nakamura Japanese Cuisine,2055 W 41st Ave,Japanese,,4.0,50
Bufala Kerrisdale,5395 West Blvd,Pizza,$$,4.4,466
Joon's Kitchen,3093 Oak St,Korean,,4.5,196
Johnny’s on Oak Restaurant Vancouver,3838 Oak St,Restaurant,$$,4.2,211
Bin 4 Burger Lounge,2996 Granville St,Hamburger,$$,4.5,1351
Corduroy Pie Company,758 W 16th Ave,Pizza,$$,4.7,455
Burrata Pizzeria,2104 W 41st Ave,Pizza,,4.5,114
Jiu Jiang Japanese Restaurant,5707 Balsam St,Japanese,$$,4.1,171
Hachibei,778 W 16th Ave,Japanese,$$,4.3,196
Kyuzo Japanese Restaurant,5701 Granville St #112,Japanese,$$,4.1,163
Southern Delicacy,6055 West Blvd,Chinese,,4.3,70
Sofra Mediterranean Kitchen,2277 W 41st Ave,Lebanese,$,4.2,411
ASA Sushi,2178 W 41st Ave,Sushi,$$,4.0,594
Golden Ocean Seafood Restaurant,2046 W 41st Ave,Chinese,$$,4.0,566
Fiore - South Granville,1485 W 12th Ave,Italian,$$,4.2,102
The Stable House Bistro,1520 W 13th Ave,Bistro,$$,4.3,271
Pho Tan Vietnamese Restaurant Beef Noodle Soup & Bubble Tea,2076 W 41st Ave,Vietnamese,$,4.2,489
George's Pizza,6109 West Blvd,Pizza,,4.1,176
Caffe Barney on Granville,2975 Granville St,Restaurant,$$,4.3,401
Barra 41,2407 W 41st Ave,Cocktail bar,$$,4.5,157
