name,address,cuisine,price,rating,review_count
Ekki Sushi,1150 Station St #146,Sushi,,5.0,22
Tayybeh,401 Industrial Ave,Middle Eastern,,5.0,13
VV Tapas Lounge,957 E Hastings St,Restaurant,,5.0,56
Barbara,305 E Pender St,Restaurant,,5.0,41
The Union,219 Union St,South East Asian,$$,4.3,625
Phnom Penh Restaurant,244 E Georgia St,Cambodian,$$,4.5,2982
Vancouver Private Dining,1370 E Georgia St,Caterer,,5.0,31
Torafuku,958 Main St,Pan Asian,$$,4.3,489
Oyster Express,296 Keefer St,Seafood,$$,4.6,261
To Dine for Eatery,333 Terminal Ave,Restaurant,,4.5,142
Kokomo,611 Gore Ave,Vegan,,4.6,201
The Hide Out Diner,1951 Glen Dr,Restaurant,$,4.4,115
Tacomio Pick Up Window,1245 Glen Dr,Takeout Restaurant,,4.6,66
Steve's Poké Bar,891 Great Northern Way,Hawaiian,,4.9,85
Fat Mao Noodles,217 E Georgia St,Noodle Shop,$$,4.5,609
Soap,789 Gore Ave,Restaurant,,4.5,40
Ming Fong Fast Food,180 Keefer St,Chinese,$,4.5,40
Harvest Community Foods,243 Union St,Restaurant,$$,4.4,140
Chinatown BBQ,130 E Pender St,Chinese,$$,4.6,565
Come Arepa,302 Industrial Ave,Fast Food,,4.5,17
Hey Dumplings!,208 Keefer St,Dumpling,$,4.4,171
Gain Wah Restaurant Ltd,218 Keefer St,Cantonese,$,4.2,285
Kissa Tanto,263 E Pender St,Fusion restaurant,$$$,4.6,761
Pacific Poke,625 Main St,Hawaiian,$$,4.4,486
Bodega on Main,1014 Main St,Spanish,$$,4.3,906
Bao Bei,163 Keefer St,Chinese,$$$,4.5,764
Virtuous Pie,583 Main St,Vegan,$$,4.5,1678
Juke Fried Chicken,182 Keefer St,Restaurant,$,4.2,1713
Pizzeria Farina,915 Main St,Pizza,$$,4.4,453
Bibi's kitchen,418 Terminal Ave,Restaurant,$,4.3,164
Sai Woo,158 E Pender St,Asian Fusion,$$,4.2,491
S2 Cafe House,874 E Hastings St,Restaurant,$,4.5,83
Yolks,1598 E Hastings St,Breakfast,$$,4.3,1405
Truck Stop Diner,295 E 1st Ave #1200,Restaurant,,4.1,10
Kent's Kitchen,232 Keefer St,Chinese,$,4.0,375
Absinthe Bistro,952 Commercial Dr,French,$$,4.8,322
Pepino's Spaghetti House,631 Commercial Dr,Italian,$$,4.4,679
A&W Canada,1150 Station St,Hamburger,$,3.9,156
New Town Bakery & Restaurant,148 E Pender St,Chinese bakery,$,4.2,1545
DD MAU Chinatown,145 E Pender St,Vietnamese,$$,4.4,287
Wilder Snail Neighborhood Grocery & Coffee,799 Keefer St,Coffee shop,$$,4.5,220
Truck Stop Cafe,1046 Clark Dr,Restaurant,$,4.5,201
Bali Thai,88 W Pender St,Indonesian,$,4.7,185
Cuchillo,261 Powell St,Latin American,$$,4.5,721
Kin Kao Thai Kitchen,903 Commercial Dr,Takeout Restaurant,$$,4.4,449
Campagnolo Upstairs,1020 Main St second floor,Bar,,4.2,546
Jade Dynasty Restaurant,137 E Pender St,Restaurant,$$,4.1,582
PiDGiN Restaurant,350 Carrall St,Asian Fusion,$$$,4.4,629
Strathcona Beer Company,895 E Hastings St,Brewpub,$$,4.4,312
Fets Whisky Kitchen,1230 Commercial Dr,Grill,$$,4.4,927
Straight Outta Brooklyn NYC Pizza,648 Main St,Pizza,$,4.2,204
Ginger Sushi,1437 Commercial Dr,Takeout Restaurant,$,4.6,404
Floata Seafood Restaurant,180 Keefer St,Seafood,$$,3.6,716
Axum Restaurant,1279 E Hastings St,Ethiopian,$,4.6,296
Fu Wei Mandarin Cuisine,180 Keefer St,Chinese,,4.8,8
Kam Wai Dim Sum 金 威 點 心,249 E Pender St,Dim Sum,$,4.3,98
The Mackenzie Room,415 Powell St,Canadian,$$$,4.6,455
L'Abattoir,217 Carrall St,Pacific Northwest,$$$,4.5,1012
Sopra Sotto Pizzeria,1510 Commercial Dr,Italian,$$,4.4,669
Arriva Ristorante Ltd,1537 Commercial Dr,Italian,$$,4.3,281
La Mezcaleria,1622 Commercial Dr,Mexican,$$,4.3,1160
Ask For Luigi Restaurant,305 Alexander St,Italian,$$,4.5,1396
Calabash Bistro,428 Carrall St,Caribbean,$$,4.4,739
Tacofino Taco Bar,15 W Cordova St,Mexican,$$,4.5,2919
Chambar Restaurant,568 Beatty St,Restaurant,$$$,4.5,2847
St Lawrence Restaurant,269 Powell St,French,$$$,4.7,620
V Taste,180 Keefer St,Vietnamese,,3.8,4
MeeT in Gastown,12 Water St,Vegetarian,$$,4.5,2468
The Whip Restaurant & Gallery,209 6th Avenue East,Takeout Restaurant,$$,4.1,702
Hanoi Pho Restaurant,406 E Hastings St,Vietnamese,$,4.3,159
Sula Indian Restaurant - Commercial Drive,1128 Commercial Dr,Indian,$$,4.5,889
RESTAURANT FOR SALE WITH LIQUOR LICENCE,1951 Glen Dr #101,Restaurant,,,
Gringo,27 Blood Alley Square,Mexican,$,4.6,1314
Ba Le Sandwich Shop,633 Main St,Sandwich,$,4.2,104
