name,address,cuisine,price,rating,review_count
Prabha's Kitchen By Varsha Nawale,506 E 49th Ave,Restaurant,,5.0,11
Northern Cafe,1640 East Kent Ave S,Diner,$,4.9,490
Tikim Asian Fusion Restaurant,5772 Fraser St,Restaurant,,4.5,24
So Hyang Korean Cuisine,6345 Fraser St,Korean,$$,4.5,1002
Hometown Pizza,6665 Fraser St,Italian,,4.5,472
Sushi & Co,6520 Fraser St,Japanese,$$,4.1,342
Tiffin2Go,418 East Kent Ave S #119a,Restaurant,,4.5,20
Yu Xiang Yuan Restaurant,6591 Fraser St,Chinese,$,4.3,366
Madras Spice Restaurant,6260 Fraser St,Indian,$,4.2,675
Simple Bites Inc.,5932 Fraser St,Restaurant,,4.8,129
Shoom Restaurant,6555 Fraser St,Chinese,$$,3.8,469
Off the Grid Waffle Cafe,5943 Fraser St,Restaurant,,4.5,139
Freshii,6541 Main St,Health Food,,4.8,28
Pho Hong on Fraser,6348 Fraser St,Vietnamese,$,4.4,289
Lian Hong Chinese Bakery,6400 Fraser St,Chinese,$,4.1,97
Tandoori King Restaurant (Old,8061 Fraser Street E 65th Ave,Indian,,4.5,24
GJS Kitchen and Catering,418 East Kent Ave S unit 119,Takeout Restaurant,,4.8,34
Good Choice Restaurant,6007 Fraser St,Chinese,$$,3.9,181
Dosa Corner,8248 Fraser St,Indian,$,4.4,839
SAMURAI SUSHI ON FRASER,6428 Fraser St,Japanese,$,4.0,504
GWH Kitchen,642 SE Marine Dr,Rice restaurant,,4.5,43
Panos Greek Taverna,654 SE Marine Dr,Greek,$,4.1,296
Pin Pin Restaurant,6113 Fraser St,Filipino,$$,4.0,518
Pita House Restaurant,6196 Fraser St,Greek,$,4.3,118
Wo's Chinese Restaurant,8166 Main St,Chinese,$,4.2,204
Hi Five Chicken,203 SE Marine Dr,Fast Food,,4.4,1012
Lee Loy BBQ Meat Co Ltd,6340 Fraser St,Barbecue,,4.3,32
Flamingo Chinese Restaurant,1652 SE Marine Dr,Chinese,$$,4.0,392
