name,address,cuisine,price,rating,review_count
Fat Boy Kitchen,6943 Victoria Dr,Asian Fusion,,5.0,22
Northern Cafe,1640 East Kent Ave S,Diner,$,4.9,490
Weirdo Cafe,6459 Victoria Dr,Fusion restaurant,,4.4,219
On May Chinese Restaurant,6443 Victoria Dr,Chinese,,4.3,43
Celeshmet Restaurant,6956 Victoria Dr,Persian,,4.7,123
Pho Thai Ha,2653 E 49th Ave,Vietnamese,$,4.2,196
Kim Phung Restaurant,5764 Victoria Dr,Vietnamese,,4.3,137
Huang's Beef Noodle Restaurant,6940 Victoria Dr,Noodle Shop,,4.3,177
East Kitchen,5794 Victoria Dr,Restaurant,,4.3,27
Wally's Burgers,2661 E 49th Ave,Hamburger,$,4.4,322
Freshslice Pizza,5845 Victoria Dr,Pizza,$,4.3,295
Neighbour's Restaurant & Pizza House,6493 Victoria Dr,Pizza,$$,4.1,546
Sumi Korean Restaurant,5628 Victoria Dr,Restaurant,,4.5,140
Grillzilla Bistro,6482 Victoria Dr,Restaurant,$,4.2,111
Flamingo Chinese Restaurant,1652 SE Marine Dr,Chinese,$$,4.0,392
Karakoram Restaurant,6990 Victoria Dr,Pakistani,$$,4.2,715
Wing Hing BBQ & Meat,5872 Victoria Dr,Chinese,,4.4,28
9Dishes Japanese Restaurant,6507 Victoria Dr,Japanese,,5.0,2
Mui Garden Restaurant,5797 Victoria Dr,Chinese,$,3.8,502
The First Dessert,5857 Victoria Dr,Traditional restaurant,,4.5,366
Thai Son Restaurant,6471 Victoria Dr,Vietnamese,$,3.7,300
RGK BBQ 烧鹅大王,5755 Victoria Dr,Cantonese,,4.0,22
Supreme Pizza,6539 Victoria Dr,Pizza Takeout,,4.4,291
Garcha Bros Meat Shop & Poultry,6559 Victoria Dr,Restaurant,,4.3,24
Shima-Ya Sushi,5589 Victoria Dr,Sushi,$$,4.5,254
Kokoro Ramen,5695 Victoria Dr,Ramen,$$,3.9,667
Pho hue,5497 Victoria Dr,Pho,$,4.3,133
Hometown Pizza,6665 Fraser St,Italian,,4.5,472
LE BL CAFÉ,5088 Victoria Dr,Vietnamese,,4.8,59
Fraserview Clubhouse,7700 Vivian Dr,Restaurant,,4.1,74
Grand Chinese Hot Pot,6967 Victoria Dr,Hot Pot,,4.0,94
East Side Craft House,1445 E 41st Ave,Restaurant,$$,4.1,607
