name,address,cuisine,price,rating,review_count
Forage,1300 Robson St,Pacific Northwest,$$,4.5,1299
Tavola,1829 Robson St,Italian,$$,4.5,512
Ofra's kitchen,1088 Denman St,Restaurant,,4.9,158
Nook,781 Denman St,Restaurant,$$,4.5,346
España Restaurant,1118 Denman St,Spanish,$$,4.4,481
The Italians,1220 Bute St,Italian,,4.5,172
Red Umbrella Cafe,1707 Davie St,Breakfast,$$,4.4,684
Legendary Noodle,1074 Denman St,Chinese Noodles,,4.4,389
Le Crocodile,909 Burrard St #100,French,$$$$,4.6,905
MitBit Foods,990 Denman St,Restaurant,,4.9,333
Kingyo,871 Denman St,Izakaya,$$,4.6,1614
Marutama Ra-men Canada / Westend,780 Bidwell St,Ramen,$,4.6,2109
Arike Restaurant & Cocktail Bar,1725 Davie St,Restaurant,,4.8,89
Nero waffles,1703 Robson St,Brunch,$$,4.5,1171
CinCin Ristorante + Bar,1154 Robson St,Italian,$$$,4.4,891
Greenhorn Cafe,994 Nicola St,Brunch,$$,4.5,655
Kinara Indian Cuisine,1326 Davie St,Indian,$,4.7,293
Papi's Seafood and Oyster Bar,1193 Denman St,Seafood,,4.4,161
Boulevard Kitchen & Oyster Bar,845 Burrard St,Restaurant,$$$$,4.4,809
Won More Szechuan Cuisine,1184 Denman St,Chinese,$$,4.3,100
Cora Breakfast and Lunch,1368 Robson St,Breakfast,$$,4.3,1487
Joe Fortes Seafood & Chop House,777 Thurlow St,Seafood,$$$,4.5,4012
Zakkushi on Denman,823 Denman St,Izakaya,$$,4.5,720
Peaked Pies,975 Denman St,Restaurant,$,4.6,685
Coast,1054 Alberni St,Seafood,$$$,4.3,1492
The Sauce Pasta Cafe,861 Denman St,Italian,,4.8,134
Tetsu Sushi Bar,775 Denman St,Sushi,$$$,4.6,274
Café Portrait,1120 Denman St,Breakfast,,4.8,76
Sura Korean Royal Cuisine Restaurant Vancouver,1518 Robson St,Korean,$$,4.4,1617
Olympia Pizza & Pasta Restaurant (Denman Street,998 Denman St,Greek,$$,4.0,555
Shizenya Restaurant on Denman,1059 Denman St,Japanese,,4.5,76
Modern Handi Indian Cuisine,827 Denman St,Indian,,4.5,326
Zefferelli's,1136 Robson St 2nd Floor,Italian,$$,4.3,791
Robba da Matti (West End,1906 Haro St,Italian,,4.3,160
Cactus Club Cafe Robson,1136 Robson St,Restaurant,$$,4.3,815
ABODE,1223 Robson St,Restaurant,$$,4.2,202
Sushi Bar Maumi,1226 Bute St,Sushi,,4.4,336
Tom Sushi,1175 Davie St,Sushi,,4.8,469
Ramen DANBO,1333 Robson St,Ramen,,4.6,2450
Score on Davie,1262 Davie St,Restaurant,$$,4.4,1825
Guu with Garlic,1698 Robson St,Izakaya,$$,4.4,1067
Hook Seabar,1210 Denman St,Seafood,$$$,4.2,642
Davie Dosa Company,1235 Davie St,Indian,$$,4.4,672
Cora Breakfast and Lunch,1368 Robson St,Breakfast,$$,4.3,1489
Miko Sushi Japanese Restaurant,1335 Robson St,Sushi,$$,4.3,380
Banana Leaf on Denman,1096 Denman St,Malaysian,$$,4.3,340
Cactus Club Cafe English Bay,1790 Beach Ave,Restaurant,$$,4.4,2300
The Basic,1031 Davie St,Breakfast,$,4.4,880
Kadoya Japanese Restaurant,1063 Davie St,Japanese,$$,4.2,577
Shamrock Bar & Grill,1184 Denman St #102,Irish,$,4.4,320
Bob Pochana Thai,1660 Robson St,Restaurant,,4.6,63
