name,address,cuisine,price,rating,review_count
The Diner,4556 W 10th Ave W,British,$,4.3,137
Four Olives Restaurant,4510 W 10th Ave,Greek,,4.5,86
D.I.C.E.D NSCS Discovery,1515 Discovery St,Restaurant,,4.7,26
Danoo Cafe,4462 W 10th Ave,Brunch,,4.7,81
Burgoo,4434 W 10th Ave,Bistro,$$,4.3,401
Takumi Japanese Restaurant,4422 W 10th Ave,Japanese,$$,4.0,58
La Quercia,3689 W 4th Ave,Italian,$$$,4.6,248
Rice Burger,2630 Sasamat St,Asian Fusion,,4.4,299
Bella Roma Pizzeria & Ristorante,4460 W 10th Ave,Italian,,4.0,166
Browns Socialhouse Point Grey,3651 W 10th Ave,Restaurant,$$,4.1,394
Sun Sushi,4512 W 10th Ave,Sushi,$,4.2,359
Enigma Urban Eatery & Bar,4397 W 10th Ave,Canadian,$$,3.9,208
Koi Sushi,4532 W 10th Ave,Sushi,,4.7,110
DoDo SUSHI,4443 W 10th Ave,Japanese,,4.5,181
Rajio Japanese Public House,3763 W 10th Ave,Izakaya,$$,4.4,412
Bombay Masala Restaurant,4473 W 10th Ave,Indian,,4.7,100
Hime Sushi,4490 W 10th Ave,Japanese,,4.1,240
The Kitchen,2620 Sasamat St,Korean,,4.0,93
The Galley Patio & Grill,1300 Discovery St,Grill,$$,4.0,150
The PokéMan Kakigori Café & Poké Shop,3742 W 10th Ave,Restaurant,$$,4.5,219
the kitchen dada sushi bar & grill,2535 Alma St,Restaurant,,4.8,105
Jericho Beach Concession,3941 Point Grey Rd,Restaurant,,4.3,64
Taste of Thai,3629 W Broadway,Thai,$$,4.5,201
Freshslice Pizza,2083 Alma St #230,Pizza,$,4.5,175
Subway,4367 W 10th Ave,Sandwich,$,3.9,51
L'ufficio,3687 W 4th Ave,Italian,$$$,4.5,33
Brock House Restaurant,3875 Point Grey Rd,Restaurant,,4.3,210
Yuji's from Japan,2083 Alma St,Sushi,$$,4.3,118
Dharma Kitchen,3667 W Broadway,Vegan,$$,4.5,208
Ginger & Chili Restaurant,4409 W 10th Ave,Chinese,,3.7,64
A&W Canada,2083 Alma St #200,Hamburger,$,4.0,349
Spanish Banks West Concession,4875 NW Marine Dr,Fast Food,,4.3,132
Hitoe Sushi gluten free,3347 W 4th Ave,Sushi,$$,4.4,347
Aphrodite's Organic Cafe,3605 W 4th Ave,Organic,$$,4.2,445
Locarno Beach Concession,4445 NW Marine Dr,Fast Food,,3.9,66
Gold Train Express,4530 W 10th Ave,Vietnamese,$,3.9,206
Spanish Banks East Concession,4707 NW Marine Dr,Restaurant,,4.2,266
Everyday Sushi,4572 W 10th Ave,Sushi,$,3.6,127
La Notte Restaurant,3307 Dunbar St,Italian,$$,4.2,206
Iron Wok,2083 Alma St,Restaurant,$,3.6,36
East Is East,3035 W Broadway,Afghani,$$,4.5,777
Green Leaf Sushi,3416 W Broadway,Sushi,$$,4.4,1119
The Eatery,3431 W Broadway,Sushi,$$,4.3,1667
Harvest Deli,2963 W Broadway,Sandwich,,4.7,175
Double DD Pizza,3510 W 4th Ave,Greek,$$,4.6,329
The Wolf & Hound,3617 W Broadway,Irish pub,$$,4.2,563
The Naam,2724 W 4th Ave,Vegetarian,$,4.3,2232
Handi Grill,3618 W Broadway,Indian,,4.2,263
Sushi Inn Japanese restaurant,3772 W 10th Ave,Restaurant,$$,3.7,103
Dunbar Pizza & Indian Food,3348 Dunbar St,Takeout Restaurant,$,4.3,197
Pizza Hut,4540 W 10th Ave,Pizza,$$,3.2,55
Figaro Café + Bakery,4372 W 10th Ave,Coffee store,$$,4.4,54
Banana Leaf in Kitsilano,3005 W Broadway,Malaysian,$$,4.2,648
Irori Sushi,3692 W 4th Ave,Sushi,$$,4.3,115
Mr. Falafel,3685 W 10th Ave,Middle Eastern,,4.0,82
Fable Kitchen,1944 W 4th Ave,Restaurant,$$$,4.5,914
Olympia Pizza Kits,3205 W Broadway,Pizza,$$,4.2,302
Bangkok City Cafe,2953 W 4th Ave,Thai,$$,4.5,154
