name,rating,review_count,lat,lng,region
Freshii,4.0,78.0,49.2597161,-123.0436942,Renfrew-Collingwood
Freshii,3.8,217.0,49.2868494,-123.1145188,Downtown
Freshii,4.4,88.0,49.2639196,-123.1399451,Fairview
Freshii,4.0,137.0,49.2634909,-123.1170326,Fairview
Freshii,3.9,118.0,49.2872573,-123.1247192,Downtown
Freshii,4.3,34.0,49.2627376,-123.0997805,Mount Pleasant
Freshii,4.3,90.0,49.2682308,-123.1486199,Kitsilano
Freshii,4.9,26.0,49.2251807,-123.1018668,Sunset
Freshii,4.6,12.0,49.2769971,-123.1286647,Downtown
Freshii,4.2,5.0,49.2663225,-123.0839328,Strathcona
