name,rating,review_count,lat,lng,region
Tim Hortons,3.5,472.0,49.232254,-123.0311502,Renfrew-Collingwood
Tim Hortons,3.6,850.0,49.2387706,-123.0316897,Renfrew-Collingwood
Tim Hortons,3.8,614.0,49.25941659999999,-123.0446561,Renfrew-Collingwood
Tim Hortons,3.5,304.0,49.2700694,-123.0698722,Grandview-Woodland
Tim Hortons,3.6,561.0,49.2719599,-123.1000004,Strathcona
Tim Hortons,3.2,65.0,49.2489389,-123.0897526,Kensington-Cedar Cottage
Tim Hortons,3.5,123.0,49.2455325,-123.0647908,Kensington-Cedar Cottage
Tim Hortons,3.8,118.0,49.2812914,-123.0464516,Hastings-Sunrise
Tim Hortons,3.9,519.0,49.23112450000001,-123.0903848,Sunset
Tim Hortons,3.7,958.0,49.2721092,-123.0977068,Strathcona
Tim Hortons,3.7,398.0,49.2793371,-123.0992115,Strathcona
Tim Hortons,3.5,134.0,49.2809159,-123.0278492,Hastings-Sunrise
Tim Hortons,2.5,13.0,49.2663718,-123.0844127,Strathcona
Tim Hortons,3.7,689.0,49.2807799,-123.1079494,Downtown
Tim Hortons,2.9,156.0,49.224025,-123.108032,Oakridge
Tim Hortons,4.2,9.0,49.2777744,-123.1085205,Downtown
Tim Hortons,3.5,314.0,49.2846966,-123.1119349,Downtown
Tim Hortons,3.8,275.0,49.2848864,-123.1157445,Downtown
Tim Hortons,3.5,419.0,49.209288,-123.11662,Marpole
Tim Hortons,4.2,22.0,49.2874843,-123.1216047,Downtown
Tim Hortons,3.7,187.0,49.2330736,-123.065215,Kensington-Cedar Cottage
Tim Hortons,3.8,380.0,49.2857595,-123.1250009,West End
Tim Hortons,3.0,199.0,49.2493977,-123.1157883,South Cambie
Tim Hortons,3.4,447.0,49.2635355,-123.1233966,Fairview
Tim Hortons,3.7,293.0,49.2861102,-123.1163068,Downtown
Tim Hortons,3.6,180.0,49.2658061,-123.1224204,Fairview
Tim Hortons,3.7,719.0,49.2876106,-123.1150993,Downtown
Tim Hortons,3.4,675.0,49.2792582,-123.1227269,Downtown
Tim Hortons,3.8,784.0,49.277594,-123.1272102,Downtown
Tim Hortons,3.7,475.0,49.2870226,-123.1283048,West End
Tim Hortons,3.5,46.0,49.2633754,-123.1358031,Fairview
Tim Hortons,3.5,116.0,49.2262606,-123.1289623,Oakridge
Tim Hortons,3.2,46.0,49.2339113,-123.1391973,Oakridge
Tim Hortons,3.7,57.0,49.2443788,-123.1241862,South Cambie
Tim Hortons,3.2,372.0,49.2638715,-123.1404594,Fairview
Tim Hortons,3.4,47.0,49.2570516,-123.1531866,Arbutus-Ridge
Tim Hortons,2.3,3.0,49.27985289999999,-123.1099283,Downtown
Tim Hortons,3.7,322.0,49.2347554,-123.158236,Arbutus-Ridge
Tim Hortons,3.1,51.0,49.273166,-123.1005314,Downtown
Tim Hortons,3.6,296.0,49.2639532,-123.1741984,Kitsilano
Tim Hortons,4.0,378.0,49.2255285,-123.1018874,Sunset
Tim Hortons,3.6,38.0,49.28656669999999,-123.1184202,Downtown
Tim Hortons,3.8,248.0,49.2799468,-123.1173288,Downtown
Tim Hortons,3.1,7.0,49.26081,-123.03302,Renfrew-Collingwood
Tim Hortons,3.8,544.0,49.2834561,-123.1152442,Downtown
Tim Hortons,3.5,506.0,49.2848731,-123.1210009,Downtown
Tim Hortons,3.3,332.0,49.2560637,-123.1855916,Dunbar-Southlands
