name,rating,review_count,lat,lng,region
Triple O's Grandview Highway,4.0,332.0,49.2584656,-123.0280866,Renfrew-Collingwood
Triple O's PNE,3.1,108.0,49.28606509999999,-123.036971,Hastings-Sunrise
Triple O's Bentall Center,3.7,66.0,49.2864943,-123.1214363,Downtown
Triple O's CBC,4.0,378.0,49.2794387,-123.1142338,Downtown
Triple O's,4.0,302.0,49.2108687,-123.102592,Sunset
Triple O's Pacific Coliseum,4.4,40.0,49.285843,-123.0426334,Hastings-Sunrise
Triple O's,3.6,13.0,49.2777744,-123.1085205,Downtown
Triple O's Science World,3.1,75.0,49.272298,-123.1020829,Mount Pleasant
Triple O's,3.7,218.0,49.2727768,-123.1473684,Kitsilano
Triple O's Pacific Coliseum,4.4,40.0,49.285843,-123.0426334,Hastings-Sunrise
Triple O's Langara College,3.2,22.0,49.224025,-123.108032,Oakridge
