name,rating,review_count,lat,lng,region
A&W,3.2,86,49.2383732,-123.0317578,Renfrew-Collingwood
A&W Canada,3.5,56,49.2609881,-123.1164951,Fairview
A&W Canada,3.8,491,49.2627265,-123.0694772,Grandview-Woodland
A&W Canada,4.1,408,49.2192674,-123.0408866,Killarney
A&W Canada,3.7,312,49.2731373,-123.10036,Downtown
A&W Canada,3.9,234,49.279654,-123.117462,Downtown
A&W Canada,3.8,529,49.2859448,-123.1122271,Downtown
A&W Canada,3.9,154,49.2737759,-123.097836,Strathcona
A&W Canada,3.9,443,49.2633896,-123.1144524,Mount Pleasant
A&W Canada,3.7,355,49.2831921,-123.1154539,Downtown
A&W Canada,4.1,751,49.2719559,-123.1000013,Strathcona
A&W Canada,4.1,65,49.2866046,-123.118327,Downtown
A&W Canada,3.9,351,49.2635975,-123.1213494,Fairview
A&W Canada,3.8,138,49.2827092,-123.1188238,Downtown
A&W Canada,3.8,425,49.2817027,-123.1206368,Downtown
A&W Canada,4,459,49.209364,-123.116783,Marpole
A&W Canada,3.8,321,49.2787329,-123.1232913,Downtown
A&W Canada,3.9,300,49.2860922,-123.1252197,West End
A&W Canada,4.1,317,49.2880603,-123.1236062,Downtown
A&W Canada,4,363,49.2267627,-123.1289195,Oakridge
A&W Canada,3.9,262,49.2896798,-123.1386141,West End
A&W Canada,4,339,49.2679307,-123.1865956,West Point Grey
A&W Canada,3.7,93,49.2320456,-123.1186835,Oakridge
A&W Canada,3.7,697,49.2813825,-123.0630549,Grandview-Woodland
BeaverTails,5,21,49.2860651,-123.036971,Hastings-Sunrise
Big Smoke Burger,4.4,9,49.263056,-123.1152287,Fairview
Black & McDonald,3.9,8,49.2728606,-123.0774977,Strathcona
Bob Likes Thai Food,4.3,574,49.2637902,-123.1393566,Fairview
Bob Likes Thai Food.,4.3,516,49.2513423,-123.101333,Riley Park
Boiling Point,4.1,536,49.2482504,-123.1008849,Riley Park
Boston Pizza,3.8,527,49.2638726,-123.1342629,Fairview
Boston Pizza,3.7,835,49.2818577,-123.1234686,Downtown
Boston Pizza,3.9,937,49.2584746,-123.0306817,Renfrew-Collingwood
Boston Pizza,3.7,942,49.2771786,-123.1140883,Downtown
Browns Crafthouse,4.3,615,49.2837833,-123.1138739,Downtown
Browns Crafthouse Main Street,4.3,130,49.2565942,-123.1006208,Mount Pleasant
Bubble World,4,338,49.2874137,-123.1287899,West End
