name,address,rating,review_count
A&W Canada,9055 University High St,3.8,(215)
A&W Canada,9855 Austin Ave #909,3.6,(84)
A&W Canada,2526 St. John's St,3.6,(274)
A&W Canada,1944 Como Lake Ave,4.0,(345)
A&W Canada,1355 Lougheed Hwy,3.9,(1030)
A&W Canada,4605 Hastings St,4.0,(609)
A&W Canada,6535 Kingsway Ave,3.6,(698)
A&W Canada,2929 Barnet Hwy,3.8,(139)
A&W Canada,610 6th St,3.5,(80)
A&W Canada,1133 Mt Seymour Rd #128,4.1,(166)
A&W Canada,2991 Lougheed Hwy,3.7,(560)
A&W Canada,12808 King George Blvd,3.7,(306)
A&W Canada,2536 Shaughnessy St,3.9,(259)
A&W,Joyce-Collingwood Station,3.3,(88)
A&W Canada,4820 Kingsway Food Court,3.7,(147)
A&W Canada,4700 Kingsway,3.7,(258)
A&W Canada,888 Carnarvon St,3.9,(178)
A&W Canada,1520 Main St,4.1,(763)
A&W Canada,2033 E Hastings St,3.7,(708)
A&W Canada,805 Boyd St,4.0,(617)
A&W Canada,805 Boyd St,4.0,(617)
A&W Canada,1715 E Broadway,3.8,(514)
A&W Canada,10153 King George Blvd,3.8,(259)
A&W Canada,7092 Kerr St,4.1,(413)
A&W Canada,920 Marine Dr,4.0,(572)
A&W Canada,1502 Broadway St #2150,4.1,(467)
A&W Canada,10355 152 St Unit 1408,4.1,(243)
A&W Canada,1399 Main St #110,3.7,(321)
A&W Canada,1199 Lynn Valley Rd Unit 119,3.7,(92)
A&W Canada,16033 108 Ave #101,4.1,(250)
A&W,8605 Glenlyon Pkwy #6,4.6,(186)
A&W Canada,1150 Station St,3.9,(155)
A&W Canada,935 Marine Dr,3.9,(86)
A&W Canada,859 Village Dr,3.9,(433)
A&W Canada,8811 126 St,3.8,(526)
A&W Canada,555 12th Ave W Unit 25,3.4,(57)
A&W Canada,467 W Broadway,3.9,(459)
A&W Canada,601 W Cordova St,3.8,(531)
A&W Canada,603 Dunsmuir St,3.7,(365)
A&W Canada,450 Robson St,3.9,(239)
A&W Canada,505 Burrard St,4.1,(65)
A&W Canada,650 W 41st Ave W,3.7,(95)
A&W Canada,777 W Broadway,3.9,(351)
A&W Canada,700 W Georgia St,3.8,(140)
A&W Canada,778 Robson St,3.8,(431)
A&W Canada,15988 Fraser Hwy,4.1,(679)
A&W Canada,3080 St Edwards Dr,3.9,(447)
A&W Canada,468 SW Marine Dr,4.0,(467)
A&W Canada,1028 Granville St,3.8,(323)
A&W Canada,1158 Alberni St,4.0,(306)
A&W Canada,550 Bute St,4.1,(325)
A&W Canada,12133 72 Ave,4.4,(1081)
A&W Canada,6491 Oak St,4.0,(364)
A&W Canada,991 Denman St,3.9,(267)
A&W Canada,7330 King George Blvd,4.4,(895)
A&W Canada,2002 Marine Dr,3.9,(167)
A&W Canada,Lansdowne Park Mall,3.7,(105)
A&W Canada,8140 Garden City Rd,4.0,(543)
A&W Canada,6551 No. 3 Rd,3.8,(284)
A&W Canada,19840 96 Ave,4.0,(420)
A&W Canada,20811 Lougheed Hwy,4.2,(357)
A&W Canada,2083 Alma St #200,4.0,(346)
A&W Canada,11991 Steveston Hwy,4.3,(194)
A&W Canada,8790 204 St,3.9,(537)
A&W Canada,3211 Grant McConachie Way,3.9,(228)
A&W Canada,8671 No 1 Rd,3.9,(337)
A&W Canada,3211 Grant McConachie,2.7,(25)
A&W - Corporate Home Office,171 W Esplanade #300,3.0,(41)
A&W Canada,17830 Highway #10,4.3,(485)
A&W Canada,15280 Highway #10,3.9,(381)
A&W Canada,6241 200 St,4.1,(849)
A&W Canada,22805 Lougheed Hwy,4.0,(634)
A&W Canada,19705 Fraser Hwy,4.1,(60)
A&W Canada,5778 University Blvd,3.9,(305)
A&W Canada,McArthur Glen Outlets Unit 67b,3.8,(4)
A&W Canada,11900 Haney Pl,3.5,(55)
A&W Canada,2725 192 St #130,4.0,(278)
A&W,16050 24 Ave #170,4.1,(381)
A&W Canada,2303 King George Blvd,3.7,(587)
A&W Canada,22259 48 Ave,3.7,(297)
A&W Canada,5000 Canoe Pass Way Unit FC6,4.2,(64)
A&W Canada,#402 4949 Canoe Pass Way Ste 402,3.8,(279)
A&W Canada,1701 152 St #140,3.8,(94)
A&W Canada,26431 Fraser Hwy,3.9,(354)
A&W Canada,32520 S Fraser Way,3.9,(381)
A&W Canada,967 Venture Way RR#7,3.8,(181)
A&W Trade Marks,171 Esplanade W #300,,
A&W Canada,32900 S Fraser Way,4.1,(88)
A&W Canada,32530 Lougheed Hwy,3.9,(330)
A&W Canada,2040 Sumas Way,3.9,(391)
A&W Canada,310-1200 Hunter Pl,3.6,(434)
A&W Canada,170 2332 160 St Unit 170,2.3,(3)
