name,address,rating,review_count
Boston Pizza,135-6200 McKay Ave,3.7,1171
Boston Pizza,2850 Bentall St,3.9,937
Boston Pizza,1045 Columbia St,3.9,747
Boston Pizza,5801 Marine Way,3.5,421
Boston Pizza,805 Boyd St Unit P100,3.6,428
Boston Pizza,1081-10153 King George Blvd,3.9,629
Boston Pizza Big Bend,5801 Marine Way,,
Boston Pizza,12060 Nordel Way,3.5,530
Boston Pizza,15125 100 Ave,3.9,828
Boston Pizza,88 Chesterfield Ave,4.1,651
Boston Pizza,300-2325 Ottawa St,4.0,343
Boston Pizza,808 Beatty St,3.7,942
Boston Pizza,869 Hornby St,3.7,835
Boston Pizza,1333 Broadway W Suite 190,3.8,527
Boston Pizza,15980 Fraser Hwy #801,3.4,540
Boston Pizza,1078 Marine Dr,3.7,541
Boston Pizza,600-7488 King George Blvd,3.6,765
Boston Pizza,50-8100 Ackroyd Rd,3.6,1087
Boston Pizza,19800 Lougheed Hwy Unit 510,3.6,536
Boston Pizza,11662 Steveston Hwy #2000,3.6,717
Boston Pizza,11662 Steveston Hwy #2000,3.6,717
Boston Pizza,19700 Langley Bypass,3.6,637
Boston Pizza,20090 91a Ave,3.7,785
boston pizza Ironwood,11662 Steveston Hwy #2000,,
Boston Pizza International - Corporate Office,10760 Shellbridge Way #100,3.4,5
Boston Pizza,1956 152 St,3.6,465
Boston Pizza,5000 Canoe Pass Way,3.8,310
Boston Pizza,26310 Fraser Hwy #900,3.9,200
Boston Pizza,32530 S Fraser Way,3.7,504
Boston Pizza,32555 London Ave #160,3.4,406
Boston Pizza,2060 Sumas Way,3.5,753
Boston Pizza,40167 Glenalder Pl,3.8,332
Boston Pizza,45305 Luckakuck Way,3.3,781
Boston Pizza,1035 Lougheed Hwy,3.6,772
Boston Pizza,4219 Lougheed Hwy,3.2,54
Boston Pizza,4680 Kingsway #104,,
