name,address,rating,review_count
Burger King,2735 Barnet Hwy,3.3,370
Burger King,Cru 145 7155 Kingsway,3.2,385
Burger King,530 6th St,3.6,224
Burger King,4700 Kingsway Unit 1200e,3.3,324
Burger King,1035 Columbia St,3.0,343
Burger King,10344 King George Blvd,3.3,428
Burger King,Central City 10153 King George Blvd,3.7,255
Burger King,Pacific Link B 10355 120 St,3.3,505
Burger King,879 Village Dr,3.7,222
Burger King,12525 88 Ave,3.4,363
Burger King,801 Marine Dr,3.7,293
Burger King,612 W Pender St,3.2,522
Burger King,821 Granville St,3.5,626
Burger King,660-7488 King George Blvd,3.5,516
Burger King,Denman Place Ma 1030 Denman St,2.6,189
Burger King,20290 Lougheed Hwy,3.4,486
Burger King,19875 96 Ave Unit 1,3.4,73
Burger King,8575 Sea Island Way,3.0,778
Burger King,4720 Mcclelland Rd #1805,3.0,203
Burger King,11388 Steveston Hwy,3.5,563
Burger King,11388 Steveston Hwy,3.5,563
Burger King,Vancouver Airport - Transborder Area,2.9,50
Burger King,1310 H St,3.3,361
Burger King,31930 S Fraser Way,3.0,513
Burger King,32471 Lougheed Hwy,3.6,189
Burger King,8115 WA-539,3.5,243
Fab Burgers inc,7320 King George Blvd #108,4.3,569
A&W Canada,9900 King George Blvd #30,4.1,375
Carl's Jr.,625 Howe St Suite 100,4.0,699
Burger King,1843 Sumas Way,3.5,349
A&W Canada,7330 King George Blvd,4.4,884
Carl's Jr.,10355 152 St #2080,4.0,760
Five Guys,635 Robson St,4.3,2771
A&W Canada,12808 King George Blvd,3.7,294
Burger King,201 Telegraph Rd,3.7,608
Carl's Jr.,20468 Lougheed Hwy,3.7,296
Five Guys,728 Main St,4.3,785
Carl's Jr.,Vancouver International Airport,1.4,83
Fatburger Harbour Centre,Harbour Centre 555 W Hastings St,4.2,108
A&W Canada,10153 King George Blvd,3.8,254
