name,address,rating,review_count
Cactus Club Cafe,101 Schoolhouse St #110,4.2,1931
Cactus Club Cafe North Burnaby,4219 B Lougheed Hwy,4.2,1554
Cactus Club Cafe Byrne Road,7320 Market Crossing,4.3,1728
Cactus Club Cafe Station Square,6090 Silver Dr,4.4,670
Cactus Club Cafe Delta,7907 120 St,4.3,1463
Cactus Club Cafe Coal Harbour,1085 Canada Pl,4.4,3740
Cactus Club Cafe Bentall 5,588 Burrard St,4.4,1876
Cactus Club Cafe Broadway + Ash,575 W Broadway,4.3,1372
Cactus Club Cafe West Broadway,1530 W Broadway,4.3,855
Cactus Club Cafe North Vancouver,1598 Pemberton Ave,4.4,717
Cactus Club Cafe Yaletown,357 Davie St,4.2,1244
Cactus Club Cafe,855 Main St,4.2,372
Cactus Club Cafe Richmond Centre,6551 No. 3 Rd #1666,4.3,1793
Cactus Club Cafe English Bay,1790 Beach Ave,4.4,2287
Cactus Club Cafe Robson,1136 Robson St,4.3,807
Cactus Club Cafe Southpoint Mall,15079 32 Ave,4.3,877
Cactus Club Cafe Langley,6070 200 St #101,4.3,1593
