name,address,rating,review_count
Chopped Leaf,9055 University High St #106,4.0,57
Chopped Leaf,531 6th St,4.0,161
Chopped Leaf,9900 King George Blvd #20,3.8,55
Chopped Leaf,873 Village Dr,4.1,135
Chopped Leaf,488 Robson St,4.1,182
Chopped Leaf,7347B 120 St,4.2,228
Chopped Leaf,11700 Steveston Hwy #110,4.0,216
Chopped Leaf,20395 Lougheed Hwy #520,4.2,107
Chopped Leaf,15161 56 Ave #100,4.1,126
Chopped Leaf,20159 88 Avenue C108 Building C,4.3,241
Chopped Leaf,17433 BC-10 #116,3.5,136
Chopped Leaf,5209 Ladner Trunk Rd,3.7,95
Chopped Leaf,19950 Willowbrook Dr,4.0,177
Chopped Leaf,Morgan Crossing 15775 Croydon Dr F102,3.6,134
The Chopped Leaf,333 Brooksbank Ave,,
Chopped Leaf,1236 56 St,4.4,16
