name,address,rating,review_count
Church's Chicken,5-555 North Rd,3.7,787
Church's Chicken,6591 Kingsway #103,3.8,684
Church's Chicken,4267 Lougheed Hwy,3.9,792
Church's Chicken,200-1175 Johnson St,3.7,407
Church's Chicken,2504 Kingsway & Slocan St,3.9,1535
Church's Chicken,10542 King George Blvd,3.6,930
Church's Chicken,2304 E Hastings St,3.9,790
Church's Chicken,3425 Main St,4.0,972
Church's Chicken,1-14877 108 Ave,3.8,481
Church's Chicken,5704 Fraser Street E 41st Ave,3.9,1496
Church's Chicken,8434 120 St,4.0,633
Church's Chicken,15318 Fraser Hwy #5,4.1,756
Church's Chicken,Cambie Shopping Centre 11580 Cambie Rd,3.7,606
Church's Chicken,120-9100 Blundell Rd,3.7,839
Church's Chicken,Vancouver International Airport 3883 Grant McConachie Way,2.2,65
Church's Chicken,185-3675 Westminster Hwy,3.6,294
