name,address,rating,review_count
Dairy Queen (Treat),Lougheed Mall 9855 Austin Ave #140,3.8,147.0
Dairy Queen,3141 St Johns St,3.9,432.0
Dairy Queen Grill & Chill,6572 Hastings St,3.0,219.0
Dairy Queen Grill & Chill,1085 Lougheed Hwy,3.7,317.0
Dairy Queen Grill & Chill,708 6th Ave,3.8,206.0
Dairy Queen Grill & Chill,103-4191 Hastings St,3.7,192.0
Dairy Queen Dairy Queen/Orange Julius Treat Ctr,Metropolis At Metrotown,4.7,3.0
Dairy Queen (Treat),Brentwood Mall 4567 Lougheed Hwy Unit 743k,3.3,23.0
Dairy Queen Grill & Chill,2550c Shaughnessy St,3.9,305.0
Dairy Queen (Treat),2929 Barnet Hwy #2636,4.0,79.0
Dairy Queen (Treat),Metropolis at Metrotown 354 - 4820 Kingsway Unit Fc18,3.8,25.0
Dairy Queen,14741 108 Ave,3.2,188.0
Dairy Queen,2940 Kingsway Ave,3.7,517.0
Dairy Queen,9436 King George Blvd,3.2,477.0
Dairy Queen Grill & Chill,1475 Prairie Ave,3.7,257.0
Dairy Queen,1260 Lynn Valley Rd,3.5,217.0
Dairy Queen (Treat),2591-10153 King George Blvd,3.3,15.0
Dairy Queen Grill & Chill,2805 E Hastings St E,3.5,86.0
Dairy Queen,9110 152 St,3.7,517.0
Dairy Queen Grill & Chill,4990 Victoria Dr,3.7,317.0
Dairy Queen Grill & Chill,2805 E Hastings St E,3.5,86.0
Dairy Queen Grill & Chill,5907 Fraser St,3.8,351.0
Dairy Queen (Treat),1374 Guildford Town Centre Unit 1414,3.4,57.0
Dairy Queen,8555 120 St,3.2,405.0
Dairy Queen Grill & Chill,2888 Main St,4.1,257.0
Dairy Queen (Treat),CAPILANO MALL 935 Marine Dr UNIT 008,3.7,27.0
Dairy Queen Dairy Queen / Orange Julius,Pacific Centre - Ibm Bldg,4.0,1.0
Dairy Queen (Treat),438 Robson St,3.9,88.0
Dairy Queen (Treat),Pacific Centre - Ibm Bldg D014a 701 W Georgia St W,3.4,67.0
Dairy Queen (Treat),1217 Pacific Blvd,4.3,55.0
Dairy Queen Grill & Chill,7115 138 St #205,3.8,290.0
Dairy Queen Grill & Chill,8980 No. 3 Rd #105,4.2,435.0
Dairy Queen,2601 Broadway W,3.8,349.0
Dairy Queen (Treat),2002 Park Royal S F5,2.5,18.0
Dairy Queen Grill & Chill,20492 Lougheed Hwy,3.6,205.0
Dairy Queen (Treat),2293 W 41st Ave W,3.8,107.0
Dairy Queen Grill & Chill,101-1760 Marine Dr,3.8,157.0
Dairy Queen Grill & Chill,6345 120 St Unit 116,3.8,170.0
Dairy Queen (Treat),Richmond Centre 1708-6551 No. 3 Rd Unit 2485,3.9,53.0
Dairy Queen Grill & Chill,20177 88 Ave E #2,3.6,159.0
Dairy Queen Grill & Chill,5630 152 St,3.5,285.0
Dairy Queen (Treat),3380 Dunbar St,4.4,90.0
Dairy Queen Grill & Chill,1-6131 200 St,3.7,384.0
Dairy Queen Grill & Chill,20678 Willoughby Town Centre Dr Unit C110,3.8,136.0
Dairy Queen Grill & Chill,17720 56 Ave,3.0,174.0
Dairy Queen Grill & Chill,22490 Lougheed Hwy,4.1,338.0
Dairy Queen Grill & Chill,11099 No 1 Rd Unit 140,4.1,224.0
Dairy Queen Grill & Chill,20300 Fraser Hwy,3.8,359.0
Dairy Queen Grill & Chill,5124 Ladner Trunk Rd,4.3,174.0
Dairy Queen Grill & Chill,2071 152 St,3.6,412.0
Dairy Queen Grill & Chill,1555 56 St,3.9,166.0
Dairy Queen Grill & Chill,104-26930 Fraser Hwy,4.0,260.0
Dairy Queen Dairy Queen/Orange Julius Treat Ctr,Sevenoaks Shopping Centre Kiosk 32900 S Fraser Way Unit 410,1.0,2.0
Dairy Queen Grill & Chill,31911 S Fraser Way,3.7,560.0
Dairy Queen Grill & Chill,32753 Lougheed Hwy,3.9,279.0
Dairy Queen Grill & Chill,34596 Delair Rd,3.9,425.0
Dairy Queen Grill & Chill,8102 WA-539,4.1,216.0
Dairy Queen,554 Clarke Rd,,
