name,address,rating,review_count
Earls Kitchen + Bar,3850 Lougheed Hwy,4.0,1607
Earls Kitchen + Bar,6070 Silver Dr,4.1,1847
Earls Kitchen + Bar,2850 Shaughnessy St #5100,4.0,873
Earls Kitchen + Bar,10160 152 St,3.9,1226
Earls Kitchen + Bar,1095 Mainland St,4.1,1772
Earls Kitchen + Bar,905 Hornby St,4.2,1950
Earls Kitchen + Bar,1185 Robson St,4.2,1359
Earls Kitchen + Bar,1601 W Broadway,4.0,1372
Earls Kitchen + Bar,5300 No. 3 Rd Unit 304,3.9,1179
Earls Kitchen + Bar,1375 Bellevue Ave,4.1,788
Earls Kitchen + Bar,6339 200 St Unit 600,3.9,872
