name,address,rating,review_count
Freshii,9855 Austin Ave unit 251,4.1,37.0
Freshii,201 Morrissey Rd #7,4.0,107.0
Freshii,622 6th Ave,4.0,57.0
Freshii,2920 Virtual Way,4.0,78.0
Freshii,6200 McKay Ave #118,3.9,207.0
Freshii Brewery District,208 E Columbia St,4.2,117.0
Freshii,2755 Lougheed Hwy Unit 31A,3.6,38.0
Freshii,1386 Main St #7,4.3,107.0
Freshii,10305 City Pkwy #104,3.6,25.0
Freshii,8601 Glenlyon Pkwy,3.7,64.0
Freshii,2325 Ottawa St #100,4.2,176.0
Freshii,9639 137a St,3.3,16.0
Freshii,870 W Cordova St,3.8,217.0
Freshii,10355 152 St #1012,4.1,78.0
Freshii,180 Esplanade W #2,3.8,86.0
Freshii,1541 W Broadway,4.4,88.0
Freshii,561 W Broadway,4.0,137.0
Freshii,2002 Park Royal S,3.6,33.0
Freshii,15940 Fraser Hwy #406,4.1,43.0
Freshii,1185 W Georgia St,3.9,118.0
Freshii,270 E Broadway,4.3,34.0
Freshii,5951 No. 3 Rd Unit 118,4.1,30.0
Freshii,5668 Hollybridge Way,3.9,90.0
Freshii,22464 Lougheed Hwy,4.2,137.0
Freshii,1927 W 4th Ave,4.3,90.0
Freshii,11020 No 5 Rd #103,3.9,27.0
Freshii,3211 Grant McConachie Way,3.2,38.0
Freshii,6476 176 St #701,4.0,71.0
Freshii,SeaFair Shopping Center 8751 No 1 Rd #5,3.8,78.0
Freshii,3351 Wesbrook Mall,3.5,86.0
Freshii,5717 152 St #104,4.2,48.0
Freshii,20330 88 Ave,4.3,89.0
Freshii,20821 Fraser Hwy Unit 37,4.1,102.0
Freshii,7316 Kingsway Unit 8,,
Freshii,6541 Main St,4.9,26.0
Freshii,4949 Canoe Pass Way Unit #1606,3.6,16.0
Freshii,16030 24 Ave #125,3.9,93.0
Freshii,22259 48 Ave #205A,4.3,16.0
Freshii,1767 152 St #5,4.6,9.0
Freshii,1291 Howe St,4.6,12.0
Freshii,893 Great Northern Way,4.2,5.0
Freshii,3122 Mount Lehman Rd c105,3.3,63.0
Freshii,1878 McCallum Rd #125,3.8,147.0
freshii,2100 Whatcom Rd,3.8,54.0
