name,address,rating,review_count
Freshslice Pizza,417 E Columbia St #102,4.1,204
Freshslice Pizza,7155 Kingsway Unit # 222,4.0,170
Freshslice Pizza,240 Newport Dr,4.2,146
Freshslice Pizza,Royal City Centre 610 6th St Unit #149,4.0,384
Freshslice Pizza,4700 Kingsway,3.9,302
Freshslice Pizza,4140 E Hastings St,4.0,211
Freshslice Pizza,340-800 Carnarvon St,3.7,307
Freshslice Pizza,2929 Barnet Hwy,3.8,189
Freshslice Pizza,5128 Joyce St,4.1,348
Freshslice Pizza,10777 University Dr,3.9,91
Freshslice Pizza,2889 Grandview Hwy #2,4.1,246
Freshslice Pizza Global Headquarters,1610 Ingleton Ave,3.5,14
Freshslice Pizza,10252 City Pkwy #101,4.0,332
Freshslice Pizza,9908 King George Blvd,3.9,177
Freshslice Pizza,10153 King George Blvd Unit # 705,4.1,81
Freshslice Pizza,2529 E Hastings St,4.3,142
Freshslice Pizza,14357 104 Ave #104,4.1,128
Freshslice Pizza,5845 Victoria Dr,4.3,289
Freshslice Pizza,132 Esplanade W,4.2,161
Freshslice Pizza,1199 Lynn Valley Rd,4.1,95
Freshslice Pizza,2582 Commercial Dr,3.9,176
Freshslice Pizza,1199 Lynn Valley Rd,4.1,95
Freshslice Pizza,549 W Pender St,4.0,213
Freshslice Pizza,183 E Broadway,4.0,246
Freshslice Pizza,663 Abbott St,4.2,272
Freshslice Pizza,WESTVIEW SHOPPING CENTRE 2601 Westview Dr #608,4.1,131
Freshslice Pizza,498 SW Marine Dr,4.1,254
Freshslice Pizza,3111 Edgemont Blvd,4.0,107
Freshslice Pizza Global Headquarters,1610 Ingleton Ave,3.5,14
Freshslice Pizza,768 Robson St,4.0,269
Freshslice Pizza,1209 Pacific Blvd,4.3,122
Freshslice Pizza,4700 Mcclelland Rd #1720,4.1,251
Freshslice Pizza,771 Davie St,4.1,194
Fresh slice,1610 Ingleton Ave,,
Freshslice Pizza,2418 Granville St,4.2,195
Freshslice Pizza,8618 Granville St,4.4,298
FRESHSLICE PIZZA,5300 No. 3 Rd,4.1,104
Freshslice Pizza,8010 Saba Rd #120,4.0,138
Freshslice Pizza,7271 Scott Rd,4.2,237
Freshslice Pizza,1387 Marine Dr,4.1,132
Freshslice Pizza,7218 King George Blvd #119,4.1,340
Freshslice Pizza,2083 Alma St #230,4.5,174
Freshslice Pizza,Broadmoor Shopping Centre 7820 Williams Rd,4.0,131
Freshslice Pizza,11060 No 5 Rd,4.5,205
Freshslice Pizza,8900 No 1 Rd #130,4.0,145
Freshslice Pizza,5207 Ladner Trunk Rd,4.2,131
Freshslice Pizza,20999 88 Ave,4.1,152
Freshslice Pizza,2166 Western Pkwy,4.0,150
Freshslice Pizza,19705 Fraser Hwy,4.0,74
Freshslice Pizza,22347 Lougheed Hwy #104,4.0,170
Freshslice Pizza,4030 200 St,4.1,136
Freshslice Pizza,6382 Bay St,4.2,125
Freshslice Pizza,1711 152 St Unit # 145,4.5,66
Freshslice Pizza,1113 Vidal St,4.2,116
