name,address,rating,review_count
JJ Bean Coffee Roasters,400 Capilano Rd Unit #7,4.4,333
JJ Bean Coffee Roasters,4299 Hastings St,4.7,69
JJ Bean Coffee Roasters,8288 N Fraser Way Unit #101,4.6,49
JJ Bean Coffee Roasters,333 Brooksbank Ave,4.5,356
JJ Bean Coffee Roasters,1904 Powell St,4.6,329
JJ Bean Coffee Roasters,2206 Commercial Dr,4.3,1000
JJ Bean Coffee Roasters,4287 Fraser St,4.3,225
JJ Bean Coffee Roasters,125 17th St E,4.5,288
JJ Bean Coffee Roasters,3010 Main St,4.3,716
JJ Bean Coffee Roasters,146 W Cordova St,4.3,258
JJ Bean Coffee Roasters,425 Dunsmuir St,4.4,187
JJ Bean Coffee Roasters,402 Davie St,4.5,556
JJ Bean Coffee Roasters,188 W 1st Ave,4.3,413
JJ Bean Coffee Roasters,3399 Cambie St,4.2,366
JJ Bean Coffee Roasters,1188 Alberni St,4.3,460
JJ Bean Coffee Roasters,353 Burrard St,4.4,356
JJ Bean Coffee Roasters,1689 Johnston St,4.2,101
JJ Bean Coffee Roasters,740 Hamilton St,4.5,58
JJ Bean Coffee Roasters,1209 Bidwell St,4.4,260
JJ Bean Coffee Roasters,2904 W Broadway,4.6,42
