name,address,rating,review_count
KFC,602 Clarke Rd,2.8,407
KFC,726 6th St,2.7,436
KFC,4820 Kingsway #331,3.1,114
KFC,5094 Kingsway,2.8,438
KFC,2991 Lougheed Hwy #300,2.6,434
KFC,2929 Barnet Hwy #2604,3.2,107
KFC,2190 Kingsway,3.3,471
KFC,10153 King George Blvd,3.2,223
KFC,2255 Lonsdale Ave,3.1,526
KFC,795 Broadway East,3.4,427
KFC,9056 152 St,2.7,517
KFC,10355 152 St,3.1,80
KFC,6487 Knight St,3.3,427
KFC,8737 120 St #101,2.7,365
KFC,1147 Davie St,3.3,502
KFC,12121 72 Ave,3.2,519
KFC,650 W 41st Ave,3.0,77
KFC,13577 73 Ave,3.2,524
KFC,5300 No. 3 Rd,3.2,64
KFC,6551 No. 3 Rd,2.9,72
KFC,5300 No. 3 Rd,3.2,64
KFC,22219 Lougheed Hwy,2.7,349
KFC,17740 56 Ave,3.1,252
KFC,20185 88 Ave,3.4,181
KFC,19971 64 Ave,2.8,475
KFC,19705 Fraser Hwy,2.9,47
KFC,4799 Nu Lelum Way Unit #10,3.1,61
KFC,KFC/Taco Bell 27012 Fraser Hwy,3.8,182
Taco Bell,13577 73 Ave,3.3,140
KFC,2677 Clearbrook Rd,2.6,346
Church's Chicken,5-555 North Rd,3.7,787
KFC,32081 Lougheed Hwy,3.1,244
KFC,2047 Sumas Way Unit 14,3.1,310
