name,address,rating,review_count
Little Caesars Pizza,1020 Austin Ave,3.9,134
Little Caesars Pizza,3662 Mt Seymour Pkwy,3.8,101
Little Caesars Pizza,6681 Macpherson Ave,4.1,310
Little Caesars Pizza,1175 Johnson St,3.9,74
Little Caesars Pizza,7052 Kerr St,3.4,85
Little Caesars Pizza,2080 HASTINGS STREET EAST,3.9,169
Little Caesars Pizza,12830 96 Ave,3.7,111
Little Caesars Pizza,1475 Prairie Ave,3.5,83
Little Caesars Pizza,5927 Fraser St,3.9,130
Little Caesars Pizza,11146 84 Ave,3.5,90
Little Caesars Pizza,8888 152a St,3.7,180
Little Caesars Pizza,7135 138 St,3.6,132
Little Caesars Pizza,9040 Blundell Rd,3.7,190
Little Caesars Pizza,11968 207 St,3.5,82
Little Caesars Pizza,19665 Willowbrook Dr,3.7,104
Little Caesars Pizza,3041 152 St #840,3.6,103
Little Caesars,2655 Clearbrook Rd #194,4.0,137
Little Caesars Pizza,32530 Lougheed Hwy,3.5,82
Little Caesars Pizza,1804 18th St,4.1,129
