name,address,rating,review_count
McDonald's,531 Clarke Rd,3.2,842
McDonald's,515 North Rd,3.3,1013
McDonald's,9855 Austin Ave,3,228
McDonald's,1131 Austin Ave,3.4,988
McDonald's,3033 St Johns St,2.7,691
McDonald's,1095 Woolridge St,3.5,705
McDonald's,4801 E Hastings St,3.6,974
McDonald's,7229 Kingsway,3.2,1149
McDonald's,2725 Barnet Hwy,3.5,1559
McDonald's,815 McBride Blvd,3.6,1232
McDonald's,4410 Still Creek Dr,3.5,2160
McDonald's,515 6th St,3.5,521
Mccafé,,3.8,49
McDonald's,4700 Kingsway #1160,3.5,1656
McDonald's,2850 Shaughnessy St Unit 2119,3.3,274
McDonald's,11011 Scott Rd,3.2,1158
McDonald's,2929 Barnet Hwy,3.1,11
McDonald's,3444 E Hastings St,3.4,1573
McDonald's,3695 Lougheed Highway,3.4,1766
McDonald's,7360 Market Crossing,3.4,1174
McDonald's,14476 104th Street,3.4,992
McDonald's,2909 Grandview Hwy,3.4,1984
McDonald's,8586 120 St,3.4,1480
McDonald's,2330 Ottawa St,3.5,855
McDonald's,3695 Lougheed Highway,3.4,1766
McDonald's,12930 96 Ave,3.1,1510
McDonald's,2570 Commercial Dr,3.3,716
McDonald's,2021 Kingsway,3.2,1907
McDonald's,5661 Victoria Dr,3.3,758
McDonald's,805 Boyd St,3.3,86
McDonald's,1285 Cliveden Ave,3.3,535
McDonald's,7289 Knight St,3.5,737
McDonald's,2929 Barnet Hwy,3.1,11
McDonald's,12451 88th Avenue 124a St,3.3,153
McDonald's,10250 152 St,3.3,1813
McDonald's,15574 Fraser Hwy,3.2,1190
McDonald's,157 Chadwick Ct,3.1,292
McDonald's,9638 160 St,3.3,496
McDonald's,Wal-Mart 1000 Guildford Town Centre,3.4,391
McDonald's,2760 Sweden Way,3.6,1520
McDonald's,Freemont Village 2150 Hawkins Street,3.1,113
McDonald's,2001 Lonsdale Ave,3.4,545
Mccafé,,3.8,49
McDonald's,4700 Kingsway,4.5,2
McDonald's,1527 Main St,3.4,2946
McDonald's,2601 Westview Dr C600,3.4,429
McDonald's,4445 Main St,3.5,554
McDonald's,1200 Lynn Valley Rd #100,3.4,471
McDonald's,10700 Cambie Rd #115,3.4,694
McDonald's,160 SW Marine Dr,3.6,1594
McDonald's,925 Marine Drive Wal-Mart - Capilano Mall,3.5,135
McDonald's,537 W Broadway,3.5,379
McDonald's,86 W Pender St Unit 1001,3.1,731
McDonald's,1219 Marine Dr,3.4,621
McDonald's,200 Burrard St Unit 5 Waterfront Centre,3.5,486
McDonald's,1055 W Georgia St Suite #120,3.5,812
McDonald's,891 Granville St,3.4,1288
McDonald's,275 Robson St #211,3.6,991
Mcdonalds,4501 Lougheed Hwy,4.7,3
McDonald's,7005 120 St,3.1,1408
McDonald's,13565 72 Ave,3,1766
McDonald's,1482 W Broadway,3.4,554
McDonald's,830 SW Marine Dr,3.7,884
McDonald's,9251 Alderbridge Way,2.7,66
McDonald's,1701 Robson St,3.3,486
McDonald's,12549 Harris Rd,3,987
McDonald's,808 Marine Dr,3.2,609
McDonald's,1610 Davie St,3.4,542
McDonald's,8191 Alderbridge Way,3.6,1460
McDonald's,17635 64 Ave,3.2,978
McDonald's,19955 96 Ave,3,586
McDonald's,6333 King George Blvd,3.1,1035
McDonald's,2095 W 41st Ave,3.2,1453
McDonald's,11668 Steveston Hwy #4000,3.3,1026
McDonald's,7120 No. 3 Rd,3.8,1564
McDonald's,20037 84 Ave,3.2,1339
McDonald's,2391 W 4th Ave,3.4,329
McDonald's,20390 Dewdney Trunk Rd,2.8,544
McDonald's,20394 88 Ave,3.5,926
McDonald's,6086 Russ Baker Way #6020,3.6,715
McDonald's,15145 #10 Highway Building E,3.3,620
McDonald's,20020 Willowbrook Dr #100,3.3,1190
McDonald's,17960 56 Ave,3.5,656
McDonald's,19780 Fraser Hwy,3.4,1111
McDonald's,3308 W Broadway,3.5,713
McDonald's,8140 No 2 Rd,3.6,792
McDonald's,20202 66 Ave,2.2,56
McDonald's Coquitlam Centre,2929 Barnet Hwy,3.5,2
McDonald's,22780 Lougheed Hwy,2.9,1174
McDonald's,5776 Ladner Trunk Rd,3.4,1045
McDonald's,5728 University Blvd #101,3.4,681
McDonald's,Plaza 4061 200 St Unit #101,3.3,341
McDonald's,3104 King George Blvd,3.4,1080
McDonald's,2355 160 St,2.8,61
McDonald's,300-23981 Dewdney Trunk Rd,2.5,597
McDonald's,21558 Fraser Hwy,3.2,665
McDonald's,1789 152 St,3.4,672
McDonald's,1835 56 St,3.6,674
McDonald's,26454 56 Ave,3.3,762
McDonald's,26360 Fraser Hwy,3.1,617
Quiznos,2580 Commercial Dr,4.1,101
Quiznos,2850 Shaughnessy St,2.8,48
McDonald Accident Injury Law,631 Carnarvon St,4.6,9
Quiznos,805 Boyd St,3.9,162
McDonald's,7230 Park St,3,1060
McDonald's,3230 Mount Lehman Rd,3.1,656
McDonald's,2532 Clearbrook Rd,3.3,948
McDonald's,32983 S Fraser Way,3.3,1206
Black & McDonald,1331 Clark Dr,3.9,8
A&W Canada,2536 Shaughnessy St,3.9,251
McDonald's,1688 Main St,3.5,1131
McDonald's,1812 Vedder Way,3.3,183
McDonald's,2106 Whatcom Rd,3.4,853
McDonald's,4420 Meridian St,3.5,206
McDonald's,101 W Telegraph Rd,3.5,937
McDonald's,2433 E Bakerview Rd,3.5,471
McDonald's,5615 Sunshine Coast Hwy,3.3,424
A&W Canada,9055 University High St,3.8,213
Subway,8916 University High St Unit R6 Cornerstore Bldg,3.1,63
McDonald's,112 Samish Way,3.5,524
