name,address,rating,review_count
Nando's Kingsway,4334 Kingsway,4.0,895
Nando's Metrotown,Metropolis at Metrotown 4820 Kingsway Unit 340,3.8,139
Nando's South Burnaby (Big Bend),Big Bend Crossing 5761 Marine Way Unit #100,3.6,393
Nando's Coquitlam,3000 Lougheed Hwy #204,4.2,455
Nando's Queensborough,805 Boyd St Unit T110,4.3,417
Nando's Guildford,15190 101 Ave Unit 104,4.2,784
Nando's Davie & Howe (Downtown),828 Davie St,4.1,1241
Nando's North Vancouver,E 13th St Unit 148,4.1,334
Nando's Surrey Strawberry Hill,12101 72 Ave #144,4.1,617
Nando's Kerrisdale,2064 W 41st Ave,4.1,681
Nando's Richmond North (Garden City),Central at Garden City 4711 Mcclelland Rd Unit 1005,4.1,768
Nando's Park Royal (West Van),722 Park Royal S,4.2,437
Nando's Walnut Grove,Thunderbird Centre 20159 88 Ave E Unit G101 The Village at,4.0,297
Nando's Coppersmith (Ironwood),105 11380 Steveston Hwy Coppersmith Corner Shopping Centre,4.2,376
Nando's Langley,Riocan 20190 Langley Bypass Unit 30,4.2,620
Nando's White Rock (South Surrey),3010 152 St Unit 101,4.0,435
Nando's West Oaks,32700 South Fraser Way Unit 64 West Oaks Mall,4.2,165
