name,address,rating,review_count
OPA! of Greece Lougheed Town Centre,9855 Austin Rd Unit 905,4.0,58
OPA! of Greece Coquitlam,2929 Barnet Hwy,4.1,65
OPA! of Greece Queensborough,805 Boyd St,3.6,81
OPA! of Greece Central City,10153 King George Blvd,2.9,48
OPA! of Greece Metrotown,4820 Kingsway #325,3.5,105
OPA!,701 W Georgia St,3.7,117
OPA! of Greece Guildford Town Centre,10355 152 St #1404,3.1,66
OPA! of Greece Meadowtown,19800 Lougheed Hwy,3.7,95
OPA! of Greece Park Royal,2002 Park Royal S,3.6,103
OPA! of Greece Richmond Centre,6551 No. 3 Rd,3.3,106
OPA! of Greece Ironwood Plaza,Ironwood Plaza 11666 Steveston Hwy Unit 3140,4.2,23
OPA! of Greece SmartCentres Langley,20202 66 Ave #325,4.0,138
OPA! of Greece Willowbrook Mall,19705 Fraser Hwy,3.3,31
OPA! of Greece Tsawwassen Mills,#FC 5000 Canoe Pass Way #11,2.8,36
