name,address,rating,review_count
Panago Pizza,534 Clarke Rd,3.9,99
Panago Pizza,6665 Hastings St,3.6,62
Panago Pizza,485 E Columbia St,3.5,37
Panago Pizza,6569 Kingsway #102A,3.2,85
Panago Pizza,1809 Rosser Ave,3.8,66
Panago Pizza,611 8th St,3.8,64
Panago Pizza,400 Capilano Rd #8,3.5,61
Panago Pizza,2662 Austin Ave,3.4,58
Panago Pizza,2120 Dollarton Hwy #103,4.1,118
Panago Pizza,5738 Tyne St,3.8,72
Panago Pizza,1386 Nanaimo St,3.5,54
Panago Pizza,140-2170 Hawkins Street,4.1,15
Panago Pizza,14851 108 Ave,3.9,90
Panago Pizza,8556 120 St,4.1,50
Panago Pizza,120-511 SW Marine Dr,3.9,43
Panago Pizza,1981 Lonsdale Ave,3.8,102
Panago Pizza,2928 Main St,3.2,49
Panago Pizza,3458 Sawmill Crescent,4.5,17
Panago Pizza,1267 Pacific Blvd,4.0,58
Panago Pizza,1278 W Broadway,3.8,52
Panago Pizza,11780 Thorpe Rd #120,2.7,31
Panago Pizza,7320 King George Blvd #114,3.3,60
Panago Pizza,1199 W Pender St #101,4.2,67
Panago Pizza,7310 120 St,3.5,55
Panago Pizza,969 Denman St,3.7,60
Panago Pizza,2905 W Broadway,3.4,40
Panago Pizza,1821 Capilano Rd,4.1,115
Panago Pizza,3458 Sawmill Crescent,4.5,17
Panago Pizza,1760 Marine Dr,4.2,38
Panago Pizza,8333 Granville St,4.1,63
Panago Pizza,20130 Lougheed Hwy #105,3.5,44
Panago Pizza,7771 Westminster Hwy,3.3,97
Panago Pizza,6020 Steveston Hwy #130,3.8,69
Panago Pizza,21183 88 Ave #201,3.8,49
Panago Pizza,7150 200 St #210,3.7,88
Panago Pizza,22441 Dewdney Trunk Rd,3.9,75
Panago Pizza,5669 176a St,4.1,58
Panago Pizza,4815 Delta St,3.9,48
Panago Pizza,22259 48 Ave,4.0,42
Panago Pizza,20256 56 Ave #112,3.9,57
