name,address,rating,review_count
Papa John's Pizza,555 North Rd #2A,3.5,105
Papa John's Pizza,512 6th Ave,3.9,137
Papa John's Pizza,6462 Kingsway Unit 104,3.9,110
Papa John's Pizza,4196 Dawson St,4.0,92
Papa John's Pizza,2541 Shaughnessy St #3,3.5,86
Papa John's Pizza,10558 King George Blvd,3.8,94
Papa John's Pizza,#300-3320 Kingsway,4.0,124
Papa John's Pizza,119-1233 Lynn Valley Rd,3.7,101
Papa John's Pizza,10320 152 St,3.8,93
Papa John's Pizza,Store #10392 2030 Alma St,3.2,90
Papa John's Pizza,6345 120 St Unit 112,2.1,7
Papa John's Pizza,22779 Dewdney Trunk Rd,4.0,77
Papa John's Pizza,17449 56 Ave #120,3.3,84
