name,address,rating,review_count
Pizza Hut,Simon Fraser University 8917 Cornerstone Mews,4.0,118.0
Pizza Hut,1001 Austin Ave,3.2,303.0
Pizza Hut,800 McBride Blvd #20,2.8,177.0
Pizza Hut,4448 Hastings St #105,3.7,77.0
Pizza Hut,3025 Lougheed Hwy #255,3.1,141.0
Pizza Hut,#1-4287 Kingsway Kingsway,3.5,165.0
Pizza Hut,#13786 104 Ave,2.9,182.0
Pizza Hut,2850 Shaughnessy St #2111,3.1,92.0
Pizza Hut,7515 Market Crossing #170,3.6,87.0
Pizza Hut,2850 Grandview Hwy,3.6,325.0
Pizza Hut,2988 Mountain Hwy,3.0,104.0
Pizza Hut,2619-2625 E 49th Ave,3.2,46.0
Pizza Hut,12477 88 Ave #130,3.2,150.0
Pizza Hut,#A5 10160 152 St,3.4,155.0
Pizza Hut,3425 Main St,3.0,196.0
Pizza Hut,6082 Fraser St,3.1,150.0
Pizza Hut,640-879 Marine Dr,3.2,200.0
Pizza Hut,1725 Robson St #4,3.0,156.0
Pizza Hut,13753 72 Ave #103,3.7,311.0
Pizza Hut,1829 W 4th Ave,3.2,76.0
Pizza Hut,640-879 Marine Dr,3.2,200.0
Pizza Hut,13753 72 Ave #103,3.7,311.0
Pizza Hut,7111 120 St,3.3,280.0
Pizza Hut,15951 Fraser Hwy #103,3.4,163.0
Pizza Hut,20690 Lougheed Hwy #104,3.6,143.0
Pizza Hut,8980 No. 3 Rd #140,3.3,85.0
Pizza Hut,15133 56 Ave #103,3.2,74.0
Pizza Hut,20159 88 Ave c102,2.9,143.0
Pizza Hut,4540 W 10th Ave,3.2,56.0
Pizza Hut,17700 56 Ave #107,3.3,137.0
Pizza Hut,6131 200 St Unit 5,3.6,502.0
Pizza Hut,3675 Westminster Hwy Unit 120,3.2,72.0
Pizza Hut,156-4857 Elliott St,3.1,58.0
Pizza Hut,2711 192 St #103,4.2,54.0
Veggie Hut Pizza,7025 128 St,4.4,129.0
Pizza Hut,8340 Westminster Hwy,,
Prime Hut Pizza Inc,9403 120 St,4.3,74.0
Pizza Hut,#1738 152 St,3.5,111.0
Pizza Hut,1559 56 St,3.6,57.0
Papa John's Pizza,555 North Rd #2A,3.5,105.0
Pizza Pizza,527 6th St,4.1,228.0
Pizza Pizza,4461 Lougheed Hwy #3,4.2,234.0
Pizza Hut,26426 Fraser Hwy,4.1,115.0
Pizza Hut,11939 240 St #140,3.8,12.0
Pizza Pizza,311 E Broadway,3.9,72.0
Pizza Pizza,8380 112 St #120,3.8,114.0
Papa John's Pizza,#300-3320 Kingsway,4.0,124.0
Panago Pizza,534 Clarke Rd,3.9,98.0
Papa John's Pizza,4196 Dawson St,4.0,92.0
D-Plus Pizza,13588 88 Ave A105,3.6,299.0
Pizza Pizza,1893 Cornwall Ave,3.9,96.0
Papa John's Pizza,10558 King George Blvd,3.8,94.0
D Plus Pizza,10207 King George Blvd,4.0,453.0
Pizza Inn,19390 68 Ave,4.1,99.0
Pizza Hut,32700 S Fraser Way #200,3.6,424.0
Pizza Hut,31956 Lougheed Hwy,3.0,89.0
D-Plus Pizza and lighthouse fresh & tasty,9547 152 St #105A,4.3,86.0
D-Plus Pizza,150-8047 120 St,3.6,139.0
Papa John's Pizza,Store #10392 2030 Alma St,3.2,90.0
Pizza Factory,7898 6th St,3.4,70.0
