name,address,rating,review_count
Starbucks,8906 University Heights Street,3.7,163
Starbucks,8888 University Dr E,3.8,122
Starbucks,9855 Austin Rd Unit 215A,3.8,155
Starbucks,580 Clarke Rd,3.4,38
Starbucks,3713 Kensington Ave,3.7,122
Starbucks,6568 Hastings St,4.2,292
Starbucks,Safeway Grocery Store 6564 E Hastings St,3.2,27
Starbucks,2201 Holdom Ave #101,4.2,409
Starbucks,Safeway 1033 Austin Ave,2.9,20
Starbucks,411 E Columbia St,4.2,349
Starbucks,The Village at 289 Nelson's Ct,4.1,166
Starbucks,800 McBride Blvd Unit #21 Royal Square Mall,4.2,188
Starbucks,Como Lake Village Shopping Centre 1980A Como Lake Ave,4.1,468
Starbucks,Sobey's 800 McBride Blvd Safeway,4.2,19
Starbucks,4331 Dominion St,3.8,24
Starbucks,7155 Kingsway #125,3.9,404
Starbucks,4461 Lougheed Hwy #105,4.1,192
Starbucks,1361 Lougheed Hwy,4.3,320
Starbucks,4567 Lougheed Hwy #205B,4.1,244
Starbucks,4415 Skyline Dr #4,4.3,158
Starbucks,555 6th St,4.2,280
Starbucks,6200 McKay Ave #120,4.1,428
Starbucks,4191 Hastings St Space 101,4.2,274
Starbucks,4847 Kingsway,4.1,276
Starbucks,610 6th St,3.9,68
Starbucks,Safeway 1033 Austin Ave,2.9,20
Starbucks,4800 Kingsway #325,4.0,247
Starbucks,1361 Lougheed Hwy,4.3,320
Starbucks,4700 Kingsway #2255,4.0,279
Starbucks,Chapters 4700 Kingsway,3.8,124
Starbucks,1988 United Blvd #110,4.3,83
Starbucks,4469 Kingsway 2225 Save On Foods,3.9,53
Starbucks,The Tandem 4122 Dawson St,4.1,540
Starbucks,The City of Lougheed Shopping Centre 9855 Austin Ave,4.0,3
Starbucks,601 Columbia St,4.2,465
Starbucks,3300 Boundary Rd #200,4.1,615
Starbucks,176 Brew St,4.3,156
Starbucks,221 Ioco Rd #330,4.1,347
Starbucks,800 Carnarvon St 331 Plaza 88,4.1,186
Starbucks,3665 Kingsway #190,4.1,316
Starbucks,7585 Market Crossing,4.1,552
Starbucks,1005 Columbia St 110 Columbia Square Plaza,4.1,357
Starbucks,Safeway Grocery Store 898 Carnarvon St,3.5,6
Starbucks,5761 Marine Way 400 Big Bend Crossing,4.2,233
Starbucks,2662 Austin Ave,4.3,225
Starbucks,2840 Bentall St,4.2,343
Starbucks,2100 Dollarton Hwy,3.9,181
Starbucks,3410 Kingsway,3.8,66
Starbucks,Landing SC 805 Boyd St #150,4.1,333
Starbucks,2795 E Hastings St,3.9,613
Starbucks,Centre 2929 Barnet Hwy #2600,4.0,372
Starbucks,10362 King George Blvd,4.2,450
Starbucks,7010 Kerr St,4.1,369
Starbucks,8540 River District Crossing,4.3,194
Starbucks,10385 120 St #101,4.2,328
Starbucks,2905 Hebb Ave,4.3,315
Starbucks (Centrepoint),4847 Kingsway,,
Starbucks,2881 Barnet Hwy,4.1,376
Starbucks,Safeway Grocery Store 10355 King George Blvd,3.9,208
Starbucks,1410 Parkway Blvd C1 Westwood Plateau Village,4.2,201
Starbucks,2991 Lougheed Hwy Unit 78,4.1,494
Starbucks,Safeway Grocery Store 1175 Mt Seymour Rd,3.6,60
Starbucks,333 Brooksbank Ave #510,4.0,236
Starbucks,2799 Central City SC 10153 King George Blvd,4.0,360
Starbucks,2685 E 49th Ave,4.1,302
Starbucks,9908 King George Blvd #203,4.1,276
Starbucks,2561 Shaughnessy St #101,4.0,275
Starbucks,2517 Commercial Dr,3.9,392
Starbucks,2695 Guildford Town Centre #1007,4.0,355
Starbucks,4501 Lougheed Hwy,4.9,7
Starbucks,13737 96 Ave 108 City Centre 1,4.1,83
